lane,packet_path,manifest_rows,manifest_missing_rows,manifest_mismatch_rows,manifest_sha256,sha256sums_sha256
B3 359 package,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_DFB0AC3E_R3_AEED_R6_6A_CONTEXT_BATCH_20260707,10,0,0,BB2589FA5358F809DE447C1DDCFB81C78F34B00BB77599CA22748C11849E2F20,3DE8C50510126E769595544508691197DB0621A07BA7A8B1BA130926F1BF235E
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,18,0,0,5E757F6F038B66186DDEC0655DC58FB81E06D5BCC8ACCFD6410E993F1FBCB291,CB0EF1B3925F639A8DB575FB3E6ADBF46D9E29768BD4AC7688B59716A83CD0E2
R6 DFB0 source-start,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_DFB0AC3E_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707,18,0,0,B183AB3FFAD83DF42E379BD301625DCED2694C5B07831D4CEA6A64122E748637,377C869C57DFE6A42B051BA860F1082A72390C620603C742F0CAC968393D7400
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,153,0,0,AF36F6F53DD2D79B3CD9FC253CBECA4C9C23C7D553F5D3D56E90B78B5F731019,46EF2C9BCFFA6C302F09D015F35ABDD22E1D26F5A0FC8E6034432954F5FF54B4
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,30,30,0,646C275C7D02D7BB1C827B31107470E5F7A085A8880D20775A6FA523D3552F28,312822C4ABFDBF1EFFF11DFC4B73CCDCC7D47FEFF63B39B8FBC8002EB3B07ED8
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,16,16,0,BB0248C5545B36F9D6803CE9B0F84AFA4C0264D5BFE3977BA9BA5DE172B58C04,3ABFE8F195685A98938B287C7DEFC7F8B0F1631E4292D73A9237E1CF3FCE3B8C
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,38,0,0,75894FCE3904C5D9050C91692C90EF39C8A18D471D4E8D87C2A2F5AA44BC6A9E,5D8D79AEC0173EBF55038497E2293D43E6C2EC827414B609950FFC4A02A8AA13
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,20,0,0,05F86D8AA382799D8BA878742FF3F3639E65BEC7367D73AB0B01B2443A9A6C25,7F4748083C2F8B58CAD622172C06609F5021754F9F5028405B22BDF285E127C6
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,19,19,0,91B555388D1E7D77BA10999B4ABD6189DDBB59FD1BBEBB5D96288DFD4D182CE0,0B612829AD12FB3E2F7A1BBACE0839A61F1A0BEF07886154741257860571F1AE
R7 Malay/SEA/Pacific DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_DFB0AC3E_SAME_FRONTIER_TOKEN_RESET_DEDUP_REVERIFY_20260707,8,8,0,9B034E436F7847A6209057C7C28FFE23829D92BA96698DC2B586C37157D368ED,E08420CC6D6C206E3D8F1581F70D1EA27C0E0A98E76517FA09AF0F1F5E6B1803
R9 Africa/Horn/West DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_DFB0AC3E_FRONTIER_REPAIRED_CONTEXT_INTAKE_20260707,17,0,0,16AD34DEDF46F00FF1132FFFA94237AA9D2BC734BB95E01E5FA43D0E15F49726,2720C467CFC59926D7614406E9231EA45AB1DA3692950478898C1E08E97A6FDB
OLP DFB0 support,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_DFB0AC3E_R7_SAME_FRONTIER_REVIEW_SUPPORT_20260707,10,0,0,AC17D20972692E91D07AC2BEE380156B0176D088E92991818E346B83B7C2B09D,BAB12D8EBABCB45738DB1106E1FD8F283174BE866E934CB276ECD2113A9FBEE6
Slavic DFB0 isolation,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_DFB0AC3E_LIVE_FRONTIER_DELTA_WATCHER_20260707,15,0,0,721D57EB9873BF5527AF4587891187A477D4444DBC6C4C8FAAAAF6028AAD0B7C,61336A9E1F61B59D6724BBA4FF0D15B50867300C7978F8C3530DB2F1018E8B85
