compare_label,filename,status,additions,deletions,changes
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/B3_UPLOADER_READY_SUMMARY.csv,added,14,0,14
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/MANIFEST.csv,added,19,0,19
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/PACKAGE_VALIDATION.json,added,30,0,30
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_ARABIC_25B_VALIDATION.csv,added,20,0,20
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_ARABIC_BLOCKERS.csv,added,6,0,6
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_ARABIC_SOURCE_USE_GAP_ROLLUP.csv,added,7,0,7
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_B3_HELD_BLOCKER_LOCAL_REPAIR_STATUS.csv,added,2,0,2
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_BOUNDARY_GUARDS_AND_NEXT_ACTIONS.csv,added,8,0,8
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_BRANCH_COMMITS_FROM_2BD3E449.csv,added,2,0,2
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_BRANCH_DELTA_FROM_2BD3E449.csv,added,70,0,70
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_BRANCH_FRONTIER_VERIFICATION.csv,added,2,0,2
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_BRANCH_SOURCE_DOCUMENTS.csv,added,8,0,8
DFB0AC3E_to_359BC213,interlanguage-sidecar/r3-aeed56e7-current-frontier-source-use-gap-recovery-20260707/R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z/R3_AEED56E7_FABLE_SOURCE_USE_ADVERSE_LEDGER.csv,added,5,0,5
