lane,relative_output_path,extension,bytes,sha256_if_le_25MiB,category,blocker_signal
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_ACTIVE_ROW_SCOPE_RECHECK_20260704.json,.json,2349,113C7F0FEBD5E725302BC46B357F5A233A30C5E50B0C15610E7E7A3788D04CAB,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_ACTIVE_ROW_SCOPE_RECHECK_20260704.md,.md,2865,AAD0FCF11569486081150DEB6AE7225F33FA1534563903B40A641AFDB44397EA,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_ACTIVE_ROW_SCOPE_RECHECK_MANIFEST_20260704.md,.md,924,83615DD1D013D1A5D2A5D870E76AC00BFBE857412B53E5F4E5E6B56ABDFEB512,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_ACTIVE_ROW_SCOPE_RECHECK_SHA256_20260704.txt,.txt,377,A2CD0BA81DB5C4E3554FD5E325471D872AC2AF26223FF056FD94CF1D664AD62B,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_COMPLETION_FIXPASS_PROOF_20260704.json,.json,3038,268C394B5D1C30425CBB155E2B1CF580335639332B7180F8A00C6D500E6C70C6,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_COMPLETION_FIXPASS_PROOF_20260704.md,.md,5080,A14A03146CFC3E2475FE83B45E2326A282EFDA0B53FCBE15705B4FE4D56DEE7C,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_COMPLETION_FIXPASS_PROOF_MANIFEST_20260704.md,.md,988,C2058CA0C895CEFF720382FD5DC2D0A54F50C1546076E286E4586E00FBD03F3F,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_COMPLETION_FIXPASS_PROOF_SHA256_20260704.txt,.txt,377,D893DD7EE7073707E6916C480CC4D726FCCB27A9CA4E0D18177D8E5ECC1B8BAE,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_MANIFEST_20260704.md,.md,1712,09162526312229C675164919562FD1E462F7F233F8F20D683D92B6ED4A9DE525,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SHA256_20260704.txt,.txt,490,866699A675239FD5A74940AC89175AD5A06F5ECE60C05E6F123F4A6BE73C2BFC,provenance_or_text_evidence,
noether-arabic-rtl-source-evidence-draft-lane,NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SLICES_20260704.json,.json,7552,440B36357DD006FE156DB44F35551486132355B4A35B189B7BA4CE65FC4EA51D,provenance_or_text_evidence,
