source_root,relative_path,bytes,sha256_if_le_25MiB,open_license_hint
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,interslavic_triangulation/20260624_slavic_math_reference/README.md,13358,7384B0584BACA62246ED580E4B4A0C7CC4C5CD3FC7C190D0AB15A7388BC1362B,
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,interslavic_triangulation/20260624_slavic_math_reference/archive_org/README.md,2253,D1EB0EEDB41621DDA3B4EF157D40D73461F00CB208F5A5151904F9CA930A2140,
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,non_slavic_existing_translation_artifacts/zenodo_20836874_20260628/extracted/12_Noether_-_Spanish_Current_RA10_20260612/README.md,3228,9C1953BA1E68FF556CFF66C1B7C34BA5E313195E108264E1D958327DBC0A8D49,
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,non_slavic_existing_translation_artifacts/zenodo_20836874_20260628/extracted/13_Noether_-_Japanese_Current_RA10_20260612/README.md,1950,6E116710A7036C5CD1C1C9C49D0BFDC91DBC3121936EE8D8F58EB40B7F210CEF,
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,non_slavic_existing_translation_artifacts/zenodo_20836874_20260628/extracted/14_Noether_-_French_and_Simplified_Chinese_Checkpoint_P19s06_20260612/README.md,711,12EE53A2A07E41ED063568325C08A9419A31C378FDE66EA08E168794F1E809B7,
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/arabic/arabtex/source/arabtex/readme.txt,4490,6770AD0352446E5455E2F7EB7E8026B3343BB6D60532451128F3B63DB2F4A385,LaTeX Project Public License
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/arabic/arabtex/source/arabtex/doc/txt/readme.txt,4490,6770AD0352446E5455E2F7EB7E8026B3343BB6D60532451128F3B63DB2F4A385,LaTeX Project Public License
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,non_slavic_reference_corpus/20260628T211531Z_persian_arabic_tex_source_first/arabic/arabtex/source/arabtex/readme.txt,4490,6770AD0352446E5455E2F7EB7E8026B3343BB6D60532451128F3B63DB2F4A385,LaTeX Project Public License
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,non_slavic_reference_corpus/20260628T211531Z_persian_arabic_tex_source_first/arabic/arabtex/source/arabtex/doc/txt/readme.txt,4490,6770AD0352446E5455E2F7EB7E8026B3343BB6D60532451128F3B63DB2F4A385,LaTeX Project Public License
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,non_slavic_reference_corpus/20260628T211612Z_persian_arabic_tex_source_first/arabic/arabtex/source/arabtex/readme.txt,4490,6770AD0352446E5455E2F7EB7E8026B3343BB6D60532451128F3B63DB2F4A385,LaTeX Project Public License
