source_root,relative_path,extension,bytes,mtime_utc,category,sha256_if_le_25MiB
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,PAPERS_01_10_SOURCE_INVENTORY.csv,.csv,7955,2026-06-09T20:26:03Z,provenance_manifest_or_text_evidence,6979A09D6E89EEE2F573753E6377ECA530572EF45BB17FD8A7206026D546D408
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,PAPERS_01_10_SOURCE_INVENTORY.json,.json,24866,2026-06-09T20:26:03Z,provenance_manifest_or_text_evidence,C70432534954E94525B204DE79D0A9D52E953FFA4F94DA5C8C203C29702A8624
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,PAPERS_01_43_PLUS_POST_NUMBERED_SOURCE_INVENTORY.csv,.csv,34890,2026-06-10T13:46:56Z,provenance_manifest_or_text_evidence,94B265364545F375EA1A46A041CD9C41BDAC92B46FB87F0E1CC1F50301DFBD3C
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,PAPERS_01_43_PLUS_POST_NUMBERED_SOURCE_INVENTORY.json,.json,146834,2026-06-10T13:46:56Z,provenance_manifest_or_text_evidence,30585EB68C1E03401E5C2CAB2817BD6D4373042614AE524583D9A317A3858872
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,PAPERS_01_43_PLUS_POST_NUMBERED_SOURCE_INVENTORY_VALIDATION.json,.json,1464,2026-06-09T22:01:02Z,provenance_manifest_or_text_evidence,5B952858B9820C9BDCCB195DA6002433BDE376D4CB826F497CDB7A321F46B96F
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/PAPERS_01_10_SOURCE_INVENTORY.csv,.csv,7751,2026-06-09T20:23:14Z,provenance_manifest_or_text_evidence,F6649D4055AD8FC6E7F225CA744F729BB674D53FDB16F15C8C25DE466EA529B9
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/PAPERS_01_10_SOURCE_INVENTORY.json,.json,24335,2026-06-09T20:23:14Z,provenance_manifest_or_text_evidence,D8325FC57D62F1D8D75AD754A49073028A6D54CCCE96A00B8D4ADB83EFBC1D9B
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/paper01/Noether_Paper01_English_FINAL_AUDITED_control_slice.tex,.tex,8202,2026-06-09T20:23:08Z,source_level_tex_latex_candidate,F43016C4AD2E2B5EE4930646A42FA3B5D2219A6DDEEF8F3493062605A8835224
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/paper01/Noether_Paper01_German_FINAL_AUDITED_slice.tex,.tex,8641,2026-06-09T20:23:08Z,source_level_tex_latex_candidate,347E02C7375743AB4704F81DEB2706D3A1EBBBD9A04B887F862B5DB9C0F7B9D2
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/paper02/Noether_Paper02_English_FINAL_AUDITED_control_slice.tex,.tex,139866,2026-06-09T20:23:09Z,source_level_tex_latex_candidate,A8FC3BADC02806D53B05E551715737C6809F6E0B0A32286A2C35C1D147804781
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/paper02/Noether_Paper02_German_FINAL_AUDITED_slice.tex,.tex,140450,2026-06-09T20:23:09Z,source_level_tex_latex_candidate,EBAE8279D09EC0BBDE7652F7E0BB130325D44CDEC04695F96E59E85DB0DF9710
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/paper03/Noether_Paper03_English_FINAL_AUDITED_control_slice.tex,.tex,8463,2026-06-09T20:23:10Z,source_level_tex_latex_candidate,831C30FE6AB4693531B87F7C97290DD9955632FBD972EAC4654684563D137038
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/paper03/Noether_Paper03_German_FINAL_AUDITED_slice.tex,.tex,8776,2026-06-09T20:23:10Z,source_level_tex_latex_candidate,D67214D2A3A4905D889E6BC20BED3EE31DE3FB29D214F2797CCE791E76EBEC3D
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/paper04/Noether_Paper04_English_FINAL_AUDITED_control_slice.tex,.tex,95473,2026-06-09T20:23:10Z,source_level_tex_latex_candidate,D14B9429C7F5A35423F9A3790F7DFCE2F1BEAE6FC1C7F86FA797BF771AE4CF70
C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources,archive_initial_boundary_pass_20260609/paper04/Noether_Paper04_German_FINAL_AUDITED_slice.tex,.tex,100382,2026-06-09T20:23:10Z,source_level_tex_latex_candidate,18A0F1CD48040A265AD2999B27F1CD03DC72406E0CB45F4725DC34D1BA316D17
