physical_page	printed_page	embedded_image_count	pixel_size	authority_pdf_to_lossless	lossless_sha256
1	58	1	1920x2850	PASS_PIXEL_IDENTICAL	74FF38A78A0F44EFDD638CF91F7A6C444F7CF64B00F9A6288D534CAD6B506DBA
2	59	1	1920x2850	PASS_PIXEL_IDENTICAL	40BB58860CB2E2229FAA786E1FC618018A47C1ACF9904AA6179452E9A68E33AB
3	60	1	1920x2850	PASS_PIXEL_IDENTICAL	F617B75F27D8AC4F8833C7D9B47962080CB721CE56B1B05A2AFD32EC6916C4D7
4	61	1	1920x2850	PASS_PIXEL_IDENTICAL	FDA49730F8523EB014B9EAA4A1EDF19D26A0EC65BA338CC80F951D45B18A9FEA
5	62	1	1920x2850	PASS_PIXEL_IDENTICAL	224FF2C7FABFF903F59EAFEF30DCF984DF938619B664A26CCA67A9CAAAE8D6EF
6	63	1	1920x2850	PASS_PIXEL_IDENTICAL	15AFA77A191814508D969E187FD61E7BD00D9667039ABB8B467BFF33B7EA58A7
7	64	1	1920x2850	PASS_PIXEL_IDENTICAL	A3FE950FB694FB99C2649DF1400C95AC4F5734562824E9B7E25F6E4F86AE45BE
8	65	1	1920x2850	PASS_PIXEL_IDENTICAL	50B8C3017CAC8E2AC5A0D0376CAC04DC1ACA9BBF86E2B8954AB744EF0E0BF8C4
9	66	1	1920x2850	PASS_PIXEL_IDENTICAL	8CD0406AAA8629084F4422A5CA0C85060E485128E1974F582F8D0BAA97F829D9
10	67	1	1920x2850	PASS_PIXEL_IDENTICAL	304C8988D10B65819D1DADB1CE82609BA7169FC7C1E54C349BA8CD68F3ED5A74
11	68	1	1920x2850	PASS_PIXEL_IDENTICAL	9C66E3F76CF676BD12CD848C7D84B0EA8659D1D47BA6235A7807985DB73E28A8
12	69	1	1920x2850	PASS_PIXEL_IDENTICAL	605DECB5BCF668F9C49B0D2B5DB31AA0681AE712A76C7F366F31280DB6B8D971
13	70	1	1920x2850	PASS_PIXEL_IDENTICAL	C8A66F6D4EC739786F7A3B67B3BB3B187165B374776A9FB60740D10DD80F42F8
14	71	1	1920x2850	PASS_PIXEL_IDENTICAL	5EE39B92933DBB6C18E1D9925103872C05C819CEA8E036586689207947C4A468
15	72	1	1920x2850	PASS_PIXEL_IDENTICAL	3C92577CF61BAA5BE65DB9C2D9C8C77C8D368704960680D9AF7925EC97D4F0C4
16	73	1	1920x2850	PASS_PIXEL_IDENTICAL	8056D7C5ADAC22BC66F598584E417D657A156096B4C2407687E36B5E39F0D2E3
17	74	1	1920x2850	PASS_PIXEL_IDENTICAL	B18D407FBCBD746580CA7223F3E10141A6B35E3E29A93E32F1D69DB0B1625AC2
18	75	1	1920x2850	PASS_PIXEL_IDENTICAL	8FC695DEC20AE3E5FE779A4619AE0B539F4338FFF95339442213F979D9D53870
19	76	1	1920x2850	PASS_PIXEL_IDENTICAL	023FB9E68E0FAF1885AE3642104E400A17670045C1182D5B95D2A6F014BE7F88
20	77	1	1920x2850	PASS_PIXEL_IDENTICAL	FB50A36A099887D299901F7EF78664415D4CD03F900000349C58860B8EACFD31
21	78	1	1920x2850	PASS_PIXEL_IDENTICAL	FF2E54AA4594F8124B3803CB754BDD4D65BA82F674B8FFB4B3BE357C76ADAB78
22	79	1	1920x2850	PASS_PIXEL_IDENTICAL	BD98338B7C82A56B15763F8DF1FD3A5A6219565F28597381E08FDFDFA56B98AA
