edition	physical_page	render_pixels	ink_bbox	margins_ltrb	ink_ratio	extract_chars	formula_tags	status
source_language	1	1149x1704	84,82,1066,1667	84,82,83,37	0.029351	1089		PASS
source_language	2	1149x1704	85,76,1065,1667	85,76,84,37	0.030869	1115	1.1.1	PASS
source_language	3	1149x1704	85,86,1065,1667	85,86,84,37	0.035585	1383	1.3,1.4.1,1.5.0	PASS
source_language	4	1149x1704	85,86,1065,1667	85,86,84,37	0.038342	1504	1.5.1,1.5.2,1.5.3,1.5.4	PASS
source_language	5	1149x1704	84,83,1066,1667	84,83,83,37	0.040848	1597		PASS
source_language	6	1149x1704	83,86,1065,1667	83,86,84,37	0.041865	1656		PASS
source_language	7	1149x1704	84,86,1068,1667	84,86,81,37	0.045233	1608	2.1.1,2.1.2	PASS
source_language	8	1149x1704	84,83,1065,1667	84,83,84,37	0.039547	1541	2.1.3,2.3.1	PASS
source_language	9	1149x1704	84,106,1066,1667	84,106,83,37	0.032247	1301	2.3.0,2.3.2,2.3.2.1,2.3.3,2.3.4,2.3.5,2.3.6	PASS
source_language	10	1149x1704	84,83,1066,1667	84,83,83,37	0.034902	1382	2.3.7,2.3.8,2.3.9,2.3.10,2.3.11,2.3.12	PASS
source_language	11	1149x1704	84,86,1064,1667	84,86,85,37	0.034336	1349	2.3.13,2.3.14,2.4.1,2.4.2	PASS
source_language	12	1149x1704	84,106,1065,1667	84,106,84,37	0.030526	1174	2.4.3,2.5.1,2.5.2	PASS
source_language	13	1149x1704	84,86,1065,1667	84,86,84,37	0.039440	1522	2.5.3,2.5.4,2.6.1	PASS
source_language	14	1149x1704	85,103,1065,1667	85,103,84,37	0.031842	1261	2.6.2,2.6.3,2.7.1	PASS
source_language	15	1149x1704	85,83,1064,1667	85,83,85,37	0.031040	1279	2.8.1,2.8.2,2.8.3,2.8.4,2.8.5	PASS
source_language	16	1149x1704	84,83,1066,1667	84,83,83,37	0.028166	1148	2.8.6,2.9.1,2.9.2,2.9.3,2.9.4	PASS
source_language	17	1149x1704	84,86,1065,1667	84,86,84,37	0.032973	1311	2.10.1	PASS
source_language	18	1149x1704	84,87,1068,1667	84,87,81,37	0.046556	1632	3.1.1	PASS
source_language	19	1149x1704	84,107,1065,1667	84,107,84,37	0.030854	1238	3.1.2,3.1.3,3.1.4,3.2.1,3.2.2,3.2.3.1	PASS
source_language	20	1149x1704	84,86,1065,1667	84,86,84,37	0.039574	1615		PASS
source_language	21	1149x1704	84,87,1066,1667	84,87,83,37	0.041811	1578	3.4.1,3.4.2	PASS
source_language	22	1149x1704	87,76,1066,1667	87,76,83,37	0.048473	1849		PASS
english	1	1149x1704	93,86,1056,1622	93,86,93,82	0.034594	1052		PASS
english	2	1149x1704	94,83,1057,1042	94,83,92,662	0.036793	1081	1.1.1	PASS
english	3	1149x1704	94,90,1057,958	94,90,92,746	0.041769	1303	1.3,1.4.1,1.5.0	PASS
english	4	1149x1704	94,90,1055,957	94,90,94,747	0.046306	1504	1.5.1,1.5.2,1.5.3,1.5.4	PASS
english	5	1149x1704	93,88,1057,855	93,88,92,849	0.047039	1485		PASS
english	6	1149x1704	93,90,1057,771	93,90,92,933	0.051191	1608		PASS
english	7	1149x1704	92,89,1057,946	92,89,92,758	0.050043	1514	2.1.1,2.1.2	PASS
english	8	1149x1704	94,88,1054,1197	94,88,95,507	0.048472	1515	2.1.3,2.3.1	PASS
english	9	1149x1704	93,91,1056,1077	93,91,93,627	0.037145	1201	2.3.0,2.3.2,2.3.2.1,2.3.3,2.3.4,2.3.5,2.3.6	PASS
english	10	1149x1704	94,88,1054,1240	94,88,95,464	0.039639	1278	2.3.7,2.3.8,2.3.9,2.3.10,2.3.11,2.3.12	PASS
english	11	1149x1704	94,89,1058,999	94,89,91,705	0.038606	1218	2.3.13,2.3.14,2.4.1,2.4.2	PASS
english	12	1149x1704	94,117,1055,952	94,117,94,752	0.037104	1152	2.4.3,2.5.1,2.5.2	PASS
english	13	1149x1704	93,90,1056,1623	93,90,93,81	0.047332	1488	2.5.3,2.5.4,2.6.1	PASS
