term_id,language_lane,english_concept,draft_target_rendering,alternates,row_kind,priority,mathematical_domain,pages_checked,queue_exact_page_hits,validated_romance_tex_total_hits,validated_romance_tex_hit_files,draft_confidence,evidence_status,recommended_resolution_decision_for_sidecar_only,native_review_status,canonical_approval_status
term-fr-0006,french,module,module,,page_context_note,high,module_theory,62,62,1606,57,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0007,french,quotient module,module quotient,quotient de module in explanatory prose,page_context_note,high,module_theory,12,10,10,6,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0008,french,tensor product,produit tensoriel,,page_context_note,high,module_theory,15,10,93,20,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0009,french,submodule,sous-module,,page_context_note,high,module_theory,36,36,71,11,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0014,french,Noetherian ring,anneau noethérien,,page_context_note,high,noetherian,17,13,24,6,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0015,french,Noetherian,noethérien,noethérienne with feminine nouns; noethériens/noethériennes in plural,page_context_note,high,noetherian,45,45,362,16,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0016,french,irreducible,irréductible,,page_context_note,high,representation_theory,41,41,162,14,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0017,french,representation,représentation,,page_context_note,high,representation_theory,3,3,176,43,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0018,french,ring,anneau,,page_context_note,medium,ring_theory,63,63,1164,57,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0019,french,ideal,idéal,idéaux plural,page_context_note,medium,ring_theory,47,38,699,36,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0020,french,maximal ideal,idéal maximal,,page_context_note,medium,ring_theory,15,7,122,18,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0021,french,prime ideal,idéal premier,,page_context_note,medium,ring_theory,16,8,127,12,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0001,french,algebra,algèbre,,page_context_note,normal,algebra_core,60,60,1264,42,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0002,french,commutative algebra,algèbre commutative,,page_context_note,normal,commutative_algebra,14,14,35,10,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0003,french,Hilbert basis,base de Hilbert,théorème de la base de Hilbert when theorem context is explicit,page_context_note,normal,commutative_algebra,1,1,0,0,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0004,french,localization,localisation,,page_context_note,normal,commutative_algebra,14,14,57,21,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0005,french,field,corps,,page_context_note,normal,field_theory,52,52,2019,64,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0010,french,automorphism,automorphisme,,page_context_note,normal,morphism,15,15,137,22,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0011,french,endomorphism,endomorphisme,,page_context_note,normal,morphism,34,34,85,20,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0012,french,homomorphism,homomorphisme,,page_context_note,normal,morphism,6,6,542,24,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-fr-0013,french,isomorphism,isomorphisme,,page_context_note,normal,morphism,53,53,1470,56,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0008,spanish,module,módulo,,manual_source_review_resolution_note,high,module_theory,21,0,571,47,medium_high_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0009,spanish,quotient module,módulo cociente,módulo factor in some teaching registers,manual_source_review_resolution_note,high,module_theory,6,0,0,0,medium_draft,manual_resolution_candidate_not_applied,candidate_resolve_or_defer_after_human_confirms_supplemental_source_evidence,not_reviewed,not_approved
term-es-0010,spanish,tensor product,producto tensorial,,manual_source_review_resolution_note,high,module_theory,1,0,3,3,medium_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0011,spanish,submodule,submódulo,,manual_source_review_resolution_note,high,module_theory,21,0,30,8,medium_high_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0016,spanish,Noetherian ring,anillo noetheriano,,manual_source_review_resolution_note,high,noetherian,42,0,78,14,medium_high_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0017,spanish,Noetherian,noetheriano,noetheriana with feminine nouns; noetherianos/noetherianas in plural,manual_source_review_resolution_note,high,noetherian,58,0,262,19,medium_high_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0018,spanish,irreducible,irreducible,,manual_source_review_resolution_note,high,representation_theory,63,0,844,45,medium_high_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0019,spanish,representation,representación,,manual_source_review_resolution_note,high,representation_theory,29,0,14,4,medium_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0020,spanish,irreducible representation,representación irreducible,,manual_source_review_resolution_note,high,representation_theory,2,0,3,2,medium_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0021,spanish,semisimple,semisimple,,manual_source_review_resolution_note,high,representation_theory,19,0,5,1,medium_draft,manual_resolution_candidate_not_applied,candidate_resolve_to_context_note_entry_after_nonquoted_manual_note_pending_human_confirmation,not_reviewed,not_approved
term-es-0007,spanish,finitely generated,finitamente generado,de generación finita; de tipo finito when the source context is finite-type rather than generated-by-finite-set,page_context_note,medium,finiteness,50,45,314,28,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0022,spanish,ring,anillo,,page_context_note,medium,ring_theory,80,80,1938,62,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0023,spanish,ideal,ideal,ideales plural,page_context_note,medium,ring_theory,77,77,1169,49,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0024,spanish,maximal ideal,ideal maximal,,page_context_note,medium,ring_theory,27,13,45,13,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0025,spanish,prime ideal,ideal primo,,page_context_note,medium,ring_theory,42,21,308,30,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0001,spanish,algebra,álgebra,,page_context_note,normal,algebra_core,28,24,417,52,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0002,spanish,Hilbert basis,base de Hilbert,,page_context_note,normal,commutative_algebra,10,10,4,4,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0003,spanish,localization,localización,,page_context_note,normal,commutative_algebra,22,21,6,5,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0004,spanish,Hilbert basis theorem,teorema de la base de Hilbert,,page_context_note,normal,commutative_algebra,8,8,2,2,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0005,spanish,commutative algebra,álgebra conmutativa,,page_context_note,normal,commutative_algebra,20,20,19,12,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0006,spanish,field,cuerpo,campo only if a local source/context explicitly prefers it,page_context_note,normal,field_theory,73,73,1452,42,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
term-es-0012,spanish,automorphism,automorfismo,,page_context_note,normal,morphism,15,15,209,28,medium_high_draft,context_note_draft_not_applied,draft_context_note_ready_for_human_confirmation_only,not_reviewed,not_approved
