term_id,language_lane,english_concept,draft_target_rendering,coverage_status,source_slice_ids,unresolved_or_blocker_note,native_review_status,canonical_approval_status
term-fr-0001,french,algebra,algèbre,translated_slice,R01,,not_reviewed,not_approved
term-fr-0002,french,commutative algebra,algèbre commutative,translated_slice,R01,,not_reviewed,not_approved
term-fr-0003,french,Hilbert basis,base de Hilbert,translated_slice_with_evidence_gap,"R02;R07","German Hilbert module-basis theorem translated; validated French shelf has 0 exact base de Hilbert hits, so theorem phrasing needs review.",not_reviewed,not_approved
term-fr-0004,french,localization,localisation,translated_slice_with_source_note,R09,"German source uses Quotientenring/localized notation rather than literal Lokalisierung.",not_reviewed,not_approved
term-fr-0005,french,field,corps,translated_slice,R10,,not_reviewed,not_approved
term-fr-0006,french,module,module,translated_slice,"R06;R08;R10",,not_reviewed,not_approved
term-fr-0007,french,quotient module,module quotient,translated_slice,"R08;R12","Restklassenmodul rendered as module quotient / module de classes résiduelles.",not_reviewed,not_approved
term-fr-0008,french,tensor product,produit tensoriel,term_evidence_blocked_no_german_slice,,"No exact Tensorprodukt source slice found in current German baseline; local Romance shelf supports term only.",not_reviewed,not_approved
term-fr-0009,french,submodule,sous-module,translated_slice,"R06;R10;R12",,not_reviewed,not_approved
term-fr-0010,french,automorphism,automorphisme,translated_slice,R14,,not_reviewed,not_approved
term-fr-0011,french,endomorphism,endomorphisme,term_evidence_blocked_no_german_slice,,"No exact Endomorphismus source slice found in current German baseline; automorphism/homomorphism slices not used as substitute.",not_reviewed,not_approved
term-fr-0012,french,homomorphism,homomorphisme,translated_slice,"R08;R14",,not_reviewed,not_approved
term-fr-0013,french,isomorphism,isomorphisme,translated_slice,"R08;R14",,not_reviewed,not_approved
term-fr-0014,french,Noetherian ring,anneau noethérien,translated_slice_with_source_note,"R02;R03;R06","Modern Noetherian term anchored to German Endlichkeitsbedingung / finite-chain source.",not_reviewed,not_approved
term-fr-0015,french,Noetherian,noethérien,translated_slice_with_source_note,"R02;R03;R06","Modern Noetherian adjective anchored to German Endlichkeitsbedingung / finite-chain source.",not_reviewed,not_approved
term-fr-0016,french,irreducible,irréductible,translated_slice,"R04;R07;R12;R13",,not_reviewed,not_approved
term-fr-0017,french,representation,représentation,translated_slice,"R11;R12;R13",,not_reviewed,not_approved
term-fr-0018,french,ring,anneau,translated_slice,R03,"Ringbereich rendered contextually as anneau / domaine annulaire.",not_reviewed,not_approved
term-fr-0019,french,ideal,idéal,translated_slice,"R03;R04;R05",,not_reviewed,not_approved
term-fr-0020,french,maximal ideal,idéal maximal,term_evidence_blocked_no_german_slice,,"No exact Maximalideal / maximales Ideal source slice found in current German baseline; maximal nilpotent ideal and maximal order were not treated as equivalent.",not_reviewed,not_approved
term-fr-0021,french,prime ideal,idéal premier,translated_slice,"R05;R07;R09",,not_reviewed,not_approved
term-es-0001,spanish,algebra,álgebra,translated_slice,R01,,not_reviewed,not_approved
term-es-0002,spanish,Hilbert basis,base de Hilbert,translated_slice,"R02;R07",,not_reviewed,not_approved
term-es-0003,spanish,localization,localización,translated_slice_with_source_note,R09,"German source uses Quotientenring/localized notation rather than literal Lokalisierung.",not_reviewed,not_approved
term-es-0004,spanish,Hilbert basis theorem,teorema de la base de Hilbert,translated_slice,"R02;R07",,not_reviewed,not_approved
term-es-0005,spanish,commutative algebra,álgebra conmutativa,translated_slice,R01,,not_reviewed,not_approved
term-es-0006,spanish,field,cuerpo,translated_slice,R10,"Spanish campo not used in this corpus slice.",not_reviewed,not_approved
term-es-0007,spanish,finitely generated,finitamente generado,translated_slice_with_source_note,"R02;R03;R06","Modern Spanish phrase used for finite-basis/finitely generated contexts; not a literal rendering of every endlich phrase.",not_reviewed,not_approved
term-es-0008,spanish,module,módulo,translated_slice,"R06;R08;R10",,not_reviewed,not_approved
term-es-0009,spanish,quotient module,módulo cociente,translated_slice,"R08;R12","Restklassenmodul rendered as módulo cociente / módulo de clases residuales.",not_reviewed,not_approved
term-es-0010,spanish,tensor product,producto tensorial,term_evidence_blocked_no_german_slice,,"No exact Tensorprodukt source slice found in current German baseline; local Romance shelf supports term only.",not_reviewed,not_approved
term-es-0011,spanish,submodule,submódulo,translated_slice,"R06;R10;R12",,not_reviewed,not_approved
term-es-0012,spanish,automorphism,automorfismo,translated_slice,R14,,not_reviewed,not_approved
term-es-0013,spanish,endomorphism,endomorfismo,term_evidence_blocked_no_german_slice,,"No exact Endomorphismus source slice found in current German baseline; automorphism/homomorphism slices not used as substitute.",not_reviewed,not_approved
term-es-0014,spanish,homomorphism,homomorfismo,translated_slice,"R08;R14",,not_reviewed,not_approved
term-es-0015,spanish,isomorphism,isomorfismo,translated_slice,"R08;R14",,not_reviewed,not_approved
term-es-0016,spanish,Noetherian ring,anillo noetheriano,translated_slice_with_source_note,"R02;R03;R06","Modern Noetherian term anchored to German Endlichkeitsbedingung / finite-chain source.",not_reviewed,not_approved
term-es-0017,spanish,Noetherian,noetheriano,translated_slice_with_source_note,"R02;R03;R06","Modern Noetherian adjective anchored to German Endlichkeitsbedingung / finite-chain source.",not_reviewed,not_approved
term-es-0018,spanish,irreducible,irreducible,translated_slice,"R04;R07;R12;R13",,not_reviewed,not_approved
term-es-0019,spanish,representation,representación,translated_slice,"R11;R12;R13",,not_reviewed,not_approved
term-es-0020,spanish,irreducible representation,representación irreducible,translated_slice_with_source_note,"R12;R13","Covered through reducible/irreducible representation class contexts; needs specialist review.",not_reviewed,not_approved
term-es-0021,spanish,semisimple,semisimple,translated_slice_with_manual_review_flag,R13,"German vollständig reduzibel / halbeinfach contexts mapped to modern Spanish semisimple only as draft.",not_reviewed,not_approved
term-es-0022,spanish,ring,anillo,translated_slice,R03,"Ringbereich rendered contextually as anillo / ámbito de anillos.",not_reviewed,not_approved
term-es-0023,spanish,ideal,ideal,translated_slice,"R03;R04;R05",,not_reviewed,not_approved
term-es-0024,spanish,maximal ideal,ideal maximal,term_evidence_blocked_no_german_slice,,"No exact Maximalideal / maximales Ideal source slice found in current German baseline; maximal nilpotent ideal and maximal order were not treated as equivalent.",not_reviewed,not_approved
term-es-0025,spanish,prime ideal,ideal primo,translated_slice,"R05;R07;R09",,not_reviewed,not_approved
