paper,printed_page,output_page,locus,before,after,status
P20,26,218,footnote 1 position,period before mark,mark before period,patched
P20,26,218,display (1),right-margin tag,left-margin source number,patched
P20,27,218-219,phrase after inequality,"""und es gilt.""","""und es gilt""",patched
P20,27,218-219,display (2),right-margin tag,left-margin source number,patched
P20,27,219,display (3) and footnote 4,right-margin tag; period before mark,left-margin source number; mark before period,patched
P20,27,219,footnote 5 position,comma before mark,mark before comma,patched
P20,28,219,footnote 7 position,period before mark,mark before period,patched
P20,28,219,Kronecker substitution footnote 8,footnote attached to section lead-in,footnote moved to substitution display,patched
P20,28,219,display (4),right-margin tag,left-margin source number,patched
P20,28,219,display (5),right-margin tag,left-margin source number,patched
P20,28,219,display (6),right-margin tag,left-margin source number,patched
P20,28,219,display (7),right-margin tag,left-margin source number,patched
P20,29,220,display (8),right-margin tag,left-margin source number,patched
P20,31,221,second display (12),right-margin tag,left-margin source number,patched
P20,31,221,footnote 10 position,comma before mark,mark before comma,patched
P20,31,221,display (14),right-margin tag,left-margin source number,patched
P20,32,221,"S(Z,u) coefficient family",U_i,U_\lambda,patched
