row_id,language_lane,row_kind,english_concept,mathematical_domain,draft_target_rendering,alternate_renderings_or_scope,rendering_confidence,pages_checked,pages_with_exact_term_occurrence,packet_population_decision,native_review_status,canonical_approval_status
term-ja-0009,japanese,page_context_note_draft,tensor product,module_theory,テンソル積,,strong_source_backed,18,18,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0010,japanese,page_context_note_draft,module,module_theory,加群,,strong_source_backed,73,73,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0011,japanese,page_context_note_draft,simple module,module_theory,単純加群,,source_backed_limited,1,1,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0012,japanese,page_context_note_draft,free module,module_theory,自由加群,,strong_source_backed,21,21,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0013,japanese,page_context_note_draft,submodule,module_theory,部分加群,,strong_source_backed,47,47,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0018,japanese,page_context_note_draft,Noether/Noetherian,noetherian,ネーター／Noetherian,ネーター環 for Noetherian ring,needs_native_register_check,8,8,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0019,japanese,page_context_note_draft,Noetherian,noetherian,ネーター的,Noetherian; ネーター,needs_native_register_check,1,1,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0020,japanese,page_context_note_draft,Noetherian/Noether,noetherian,ネーター的／ネーター,Noetherian; Noether,needs_native_register_check,3,3,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0025,japanese,page_context_note_draft,Harish-Chandra,representation_theory,ハリシュ＝チャンドラ,Harish-Chandra,proper_name_needs_style_check,5,5,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0026,japanese,page_context_note_draft,Lie group,representation_theory,リー群,,strong_source_backed,3,3,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0027,japanese,page_context_note_draft,semisimple,representation_theory,半単純,,strong_source_backed,13,13,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0028,japanese,page_context_note_draft,completely reducible,representation_theory,完全可約,,source_backed_limited,5,5,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0029,japanese,page_context_note_draft,character,representation_theory,指標,,source_backed_limited,3,3,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0030,japanese,page_context_note_draft,irreducible representation,representation_theory,既約表現,,strong_source_backed,12,12,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0031,japanese,page_context_note_draft,group ring/group algebra,representation_theory,群環／群代数,use 群環 for group ring; 群代数 for group algebra,needs_context_check,3,3,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0032,japanese,page_context_note_draft,representation,representation_theory,表現,,strong_source_backed,35,35,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0033,japanese,page_context_note_draft,representation theory,representation_theory,表現論,,strong_source_backed_after_retry,6,6,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0005,japanese,page_context_note_draft,Artin/Artinian,finiteness,アルティン／アルティン的,Artin; Artinian,needs_native_register_check,5,5,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0006,japanese,page_context_note_draft,Artinian/Artin,finiteness,アルティン的／アルティン,Artinian; Artin,needs_native_register_check,5,5,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0007,japanese,page_context_note_draft,finite-dimensional,finiteness,有限次元,,strong_source_backed,17,17,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0008,japanese,page_context_note_draft,finitely generated,finiteness,有限生成,,strong_source_backed,40,40,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
term-ja-0034,japanese,page_context_note_draft,ideal,ring_theory,イデアル,,strong_source_backed,63,63,draft_context_note_available_not_applied_to_reviewer_packet,not_reviewed,not_approved
