audit_entry_number,parent_pdf_index_0based,parent_pdf_page_1based,printed_page_from_audit,audit_heading
319,322,323,,"### #319 (2026-07-05) — idx322 (vol p309 = Exposé V p13) — **§1.11 fin (Ĝ'(A), iso gradué) + Lemme 1.12 (statement + début preuve): ★ x→χ + «on montre»→«on va montrer» ([agent] dropped «va») + 4 DISPLAY→INLINE demotes + display-separators «,»/«.»→«;» + display trailing-comma + «On»→«on» (post-«;»-display) + many colon/semicolon restores («telles que :», «canonique :», «composé :», «en sens inverse :»)** — fix322.py (6 blocks)"
1074,322,323,309,"### #1074 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx322 (Exposé V §1.11-fin + ★★Lemme-1.12-énoncé + preuve-début : footer «309» / top «-13-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 1 EMPHASE-DROP-STATEMENT(énoncé-Lemme-1.12-SOULIGNÉ). Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx322 : top «-13-»=idx-309 (idx322-309=13, band-top+a-CLAIR) ; haut-droit «V» ; footer «309»=idx-13(band-d). ★★ §1.11-fin (band a, L6985-6992) = MATCH [«la série 1+⋯+ā_n+⋯, où ā_n est la classe de a_n dans Gr^nA. Son noyau est le groupe Ĝ'(A) des séries formelles telles que~: [display a_0=1 ; ∀i≥1, a_i∈Fil^{i+1}A ;] on a donc un isomorphisme, fonctoriel en A~: [display Ĝ(A)/Ĝ'(A) →~ 1+Ĝr(A)^+.]» ; ā_n/Gr^nA/Ĝ'(A)/a_0=1/a_i∈Fil^{i+1}A ; ★★→~-ISO-ARROW-TILDE-CONFIRMÉ-scan(Ĝ(A)/Ĝ'(A)→~1+Ĝr(A)^+ ; .tex-\xrightarrow{\sim}-MATCH ; iso-canonique) ; «a_0=1 ;»-thin-space-display ; «∈»-Fil]. ★★ Lemme-1.12-ÉNONCÉ (band b, L6994-7000) : «Lemme 1.12.»-label(\textbf) + ★★ÉNONCÉ-SOULIGNÉ-scan(«Soit H:𝒞_g→Ab fil un foncteur sur 𝒞_g ; alors l'homomorphisme canonique~: [display ρ:Hom_{Ab fil}(1+·̂^+,H) ⟶ Hom_{Ab fil}(Ĝ,H∘Gr),] est un isomorphisme.» = «Soit»/«Ab fil»/«un foncteur sur»/«alors l'homomorp..."
320,323,324,,"### #320 (2026-07-05) — idx323 (vol p310 = Exposé V p14) — **Lemme 1.12 preuve (fin) + Théorème 1.13: ★ WORD-ORDER RESTORE («X_i sur le … coefficient de χ pour i>1» ← [agent] «X_i, pour i>1, sur le … de x») + x→χ + 7 DISPLAY→INLINE demotes + K[X_i]→K[(X_i)] parens ×4 (diagram) + (H∘Gr)→H∘Gr ×2 + «1+Gr̂^+»→«1+Gr̂(·)^+» (dot restored) + «Or»→«or» + diagram-trailing «.»→«;» + colon/semicolon restores** — fix323.py (5 blocks)"
1075,323,324,310,"### #1075 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx323 (Exposé V Lemme-1.12-preuve-fin + ★★Théorème-1.13-énoncé-début : footer «310» / top «-14-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 1 EMPHASE-DROP-STATEMENT(énoncé-Théorème-1.13-SOULIGNÉ). Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx323 : top «-14-»=idx-309 (idx323-309=14, band-top+a-CLAIR) ; haut-droit «V» ; footer «310»=idx-13(band-d). ★ Lemme-1.12-preuve-fin (band a/b/c, L7017-7028) = MATCH [«K-algèbres filtrées K[X_i]_{i≥1}→A en envoyant X_1 sur 0 et X_i sur le (i-1)-ième coefficient de χ pour i>1 ; utilisant cet homomorphisme...s'annule pour l'élément 1+X_2t+⋯+X_{n+1}t^n+⋯ . On utilise alors l'endomorphisme f de K[X_i]_{i≥1} défini par f(X_i)=X_{i+1} pour tout i, et le diagramme commutatif~: [tikzcd Ĝ(K[(X_i)])→H∘Gr(K[(X_i)]) / Ĝ(f)↓ H(Gr(f))↓ / Ĝ(K[(X_i)])→H∘Gr(K[(X_i)]) ;]» + «or Gr(f)=Gr(f_1), f_1 étant l'homomorphisme d'augmentation de K[X_i]_{i≥1} ; comme ce dernier annule φ, il résulte du diagramme analogue écrit pour f_1 que H(Gr(f)) annule l'image de φ dans H∘Gr(K[X_i]_{i≥1}), d'où le résultat.»(★«annule φ, il résulte»-VIRGULE-APRÈS-φ-CONFIRMÉE-scan[get_text-menti-«;»] ; «résultat.»-point..."
321,324,325,,"### #321 (2026-07-05) — idx324 (vol p311 = Exposé V p15) — **Thm 1.13 conditions i)/ii) + Remarque 1.14 + §1.15 début: ★ «C'est immédiat»→«Immédiat» ([agent] added «C'est») + split-paragraph + «n>1»→«n≥1» + \pmod→mod. + «tels que (notations de 1.4,1.5) :» ([agent] «avec les notations…») + «(où B^{≥n}=∏B^i)» parenthetical restored + «(qui est séparée et complète)» parenthetical + 4 DISPLAY→INLINE demotes + ξ→Φ (§1.15) + drop-comma + i)«;» + colon/semicolon restores** — fix324.py (7 blocks)"
1076,324,325,311,"### #1076 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx324 (Exposé V Théorème-1.13-array + Remarque-1.14 + §1.15-début : footer «311» / top «-15-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 0 emphase-drop-NOUVEAU. Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx324 : top «-15-»=idx-309 (idx324-309=15, band-top+a-CLAIR) ; haut-droit «V» ; footer «311»=idx-13(band-d). ★ Théorème-1.13-énoncé-fin+array (band a, L7030-7037) = MATCH [«1+X de 1+K̂[X]^+ est injective ; son image est le sous-groupe de H(K[X]) formé des éléments θ tels que (notations de 1.4,1.5)~: [array i) H(f_1)(θ)=0 ; ii) ∀n≥1, H(f_n)(u_H^n(θ))≡u_H^n(θ) mod. F^nH(K[X_1,…X_n]).]» ; énoncé-CONTINUE-SOULIGNÉ-idx324(«est injective...son image...sous-groupe...formé des éléments...tels que...notations de»-soulignés = MÊME-DROP-Théorème-1.13-compté-idx323 ; PAS-nouveau-compte) ; ★«est injective ;»-thin-space-avant-semicolon(convention) ; ★array-i)-«H(f_1)(θ)=0 ;»-SEMICOLON(per-occ ; comme Théorème-1.10 idx321 ; vs Théorème-1.6 idx314-point) ; array-PLAIN ; «(notations de 1.4,1.5)»-virgule-sans-espace(«1.4,1.5»-.tex-match) ; «1+X de 1+K̂[X]^+»/θ ; ≡-mod.-F^nH]. ★ L7039/L7041 (band a) = MATCH [«Immédiat à partir d..."
322,325,326,,"### #322 (2026-07-09) — idx325 (vol p312 = Exposé V p16) — **§1.15 polynômes universels d'un morphisme de foncteurs: ★ DROPS cross-ref «(1.7)» (restore «Nous avons vu (1.7) que») + DROPS «de (Ĝ(K[X_i^{(j)}]_{i≥1,j=1..k}))^k (resp. …)» locus-clause (restore) + MATH-DROP «entre n et m»→«entre n et mn» (restore n) + DROPS «a_j^{(i)}» coefficient-label (restore) + FABRICATED display-equation «1+X_1t+⋯=∏(1+T_j t)» from prose «décomposant … en …» («=»→«en», (1)→(i)) + 7 DISPLAY→INLINE demotes + SPLIT-paragraph JOINED + «etc. L'élément»→«etc..~; l'élément» + «(φ^{(j)})_j» subscript + «Cela»→«ceci» + «s'effectue»→«s'effectuant» + «(i fixe et j variable)» parens + «. Les/En/Alors»→«~; les/en/alors» + km«.»→«~:» + «plus haut,» comma + ξ→Φ ×11** — fix325.py (4 blocks)"
1077,325,326,312,"### #1077 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx325 (Exposé V §1.15-polynômes-universels : footer «312» / top «-16-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 1 EMPHASE-DROP-INLINE(def-terme «n-ième polynôme universel de Φ»-souligné). Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx325 : top «-16-»=idx-309 (idx325-309=16, band-top+a-CLAIR) ; haut-droit «V» ; footer «312»=idx-13(band-d, faible-shadow). ★★ §1.15-suite (band a/b/c, L7059) = MATCH [«(1.7) que Φ est déterminé par sa valeur sur l'élément (φ^{(j)})_{j=1..k} de (Ĝ(K[X_i^{(j)}]_{i≥1, j=1..k}))^k (resp....).. Supposons que H soit un foncteur tel que Ĝ, Ĝ_g, Ĝ_a, 1+Ĝr^+, etc.. ; l'élément Φ((φ^{(j)})_j) est une série formelle à coefficients dans K[X_i^{(j)}]_{i≥1,j=1..k} ; le n-ième coefficient de cette série sera appelé n-ième polynôme universel de Φ ; la connaissance de ces polynômes équivaut donc à la connaissance de Φ. D'après la démonstration de 1.6, ces polynômes sont eux-mêmes déterminés par l'élément Φ(1+X^{(1)}t,…,1+X^{(k)}t), le calcul s'effectuant selon la méthode de la démonstration~: on calcule les éléments Φ(1+X_1^{(1)}t+⋯+X_n^{(1)}t^n,…,1+X_1^{(k)}t+⋯+X_n^{(k)}t^n), en décomposant 1+X_1..."
323,326,327,,"### #323 (2026-07-09) — idx326 (vol p313 = Exposé V p17) — **§1.15 fin (cas H=Ĝ / H=Ĝ_a) + §1.16 (caractère de Todd) + §2 titre + §2¶1: ★ REMOVES spurious \bar on morphism (\bar\xi→\Phi — NO overbar in scan, 4-glyph 18× comparison) + RESTORES dropped parenthetical «(avec Gr̂^+=·̂^+∘Gr, ·̂^+ étant le foncteur défini sur 𝒞_g par B̂^+=∏_{i≥1}B^i)» + 4 DISPLAY→INLINE demotes + REMOVES spurious commas «qui, d'après … 1.12,»→«qui d'après … 1.12» + «(1.8), et»→«(1.8) et» + «. Alors/On»→«~;/~: alors/on» + «: »/«; » restores + «en posant~:» + ξ→Φ ×6** — fix326.py (4 blocks)"
1078,326,327,313,"### #1078 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx326 (Exposé V §1.15-fin[H=Ĝ/H=Ĝ_a] + §1.16-caractère-Todd + §2-DÉBUT-λ-anneaux[header+intro] : footer «313» / top «-17-» / haut-droit «V») = **1 FIX inline (coquille-source «maintenant»->«maintement» restaurée), 0 emphase-drop, 1 FAUX-FIX-Todd ÉVITÉ (RELIRE-.tex-sauve). ★★★ COEUR-λ-anneaux : §1.16-Td + §2-header atteints.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx326 : top «-17-»=idx-309 (idx326-309=17, band-top+a-CLAIR) ; haut-droit «V» ; footer «313»=idx-13 (band-d, get_text-menti-«513»-3->5). ★★ §1.15-fin (band a/b, L7063-L7065) = MATCH [★L7063 «Supposons en particulier que H=Ĝ~; alors le n-ième polynôme universel de Φ n'a pas de composantes de poids <n. Considérons maintement le morphisme canonique~: H⟶1+Ĝr^+~; par composition avec Φ, on obtient un morphisme~: (Ĝ)^k⟶1+Ĝr^+, qui d'après la démonstration de 1.12 se factorise par (1+Ĝr^+)^k et définit un morphisme Φ:(1+·̂^+)^k⟶1+·̂^+~; on voit aussitôt que le n-ième polynôme universel de Φ est le même que celui de (Ĝ)^k⟶1+Ĝr^+, c'est-à-dire la composante isobare de poids n du n-ième polynôme universel de Φ.» ; ★★★COQUILLE-SOURCE «maintement»(pour «maintenant»)-ZOOM-9000dpi-CONFIRMÉ(le..."
