id,source_tex_lines,printed_volume_pages,source_pdf_pages,target_tex_lines,source_reading,target_reading,external_candidate_issue,comparison_result,notes
SGA2-I1-F001,92,6,13,78-81,"\Gamma_\Phi(F)= subgroup of \Gamma(F) with support in \Phi","\Gamma_\Phi(F)=\{f\in\Gamma(F)\mid\operatorname{supp}(f)\in\Phi\}","Candidate uses a text/code block rather than source TeX notation.",pass,"Equation (1); set-builder representation is mathematically exact and recorded."
SGA2-I1-F002,94-96,6,13,84-95,"\Gamma_Z is global in defining equation (2); isolated prose occurrence is underlined","\Gamma_Z is global; translator note documents isolated source underline","Candidate silently chooses plain Gamma without documenting the source anomaly.",resolved_source_emendation,"Formula (2) and every subsequent global/sheaf distinction establish the intended reading."
SGA2-I1-F003,100,6,13,99-103,"\Gamma_Z(F)=\Gamma_Z(F|V)","\Gamma_Z(F)=\Gamma_Z(F|_V)","No mathematical delta.",pass,"Equation (3)."
SGA2-I1-F004,103,6,13,109-113,"\Gamma_Z(F|V)=\ker\rho^V_{V-Z}","\Gamma_Z(F|_V)=\ker\rho^V_{V-Z}","No mathematical delta.",pass,"Equation (4)."
SGA2-I1-F005,107-119,7,13-14,123-156,"W\mapsto\Gamma_W(F); i^!(F)\subset i^*(F); Proposition 1.1","W\mapsto\Gamma_W(F); i^!(F)\subset i^*(F); Proposition 1.1","Candidate drops the superscript star and prints i*(F).",pass,"Every i^* restored and both canonical arrows preserved."
SGA2-I1-F006,123,7,14,159-164,"i^!(F)=i^*(F)=F|Z; \Gamma_Z(F)=\Gamma(Z,F)","i^!(F)=i^*(F)=F|_Z; \Gamma_Z(F)=\Gamma(Z,F)","Candidate prints i*(F).",pass,"Equation (6)."
SGA2-I1-F007,128-133,7-8,14,166-178,"U\mapsto\Gamma_{U\cap Z}(F|U)=\Gamma(U\cap Z,i^!(F)); underlined \Gamma_Z(F)=i_*i^!(F)","U\mapsto\Gamma_{U\cap Z}(F|_U)=\Gamma(U\cap Z,i^!(F)); \uGamma_Z(F)=i_*i^!(F)","Candidate's 'Gamma Z' notation is ambiguous and loses the support subscript.",pass,"Equation (7); underline and Z subscript retained."
SGA2-I1-F008,135-146,8,14,180-202,"\Gamma(U,\underline{\Gamma}_Z(F))=\Gamma_{U\cap Z}(F|U); \underline{\Gamma}_Z(F)\hookrightarrow F; F\to\underline{\Gamma}_Z(F)","\Gamma(U,\uGamma_Z(F))=\Gamma_{U\cap Z}(F|_U); \uGamma_Z(F)\hookrightarrow F; F\to\uGamma_Z(F)","Candidate uses an ambiguous plain Gamma-Z surrogate.",pass,"Equations (8), (8'), and corrected tag (8''); arrow directions checked in source PDF."
SGA2-I1-F009,146-154,8,14,199-214,"editor note: original reference was (8); \underline{\Gamma}_Z(F)\simeq i_*i^*(F)","editor note translated; \uGamma_Z(F)\simeq i_*i^*(F)","Candidate includes the note but prints i* without a superscript star.",pass,"Equation (6 bis)."
SGA2-I1-F010,157-170,8-9,14-15,216-242,"i^!:\underline C_X\to\underline C_Z; i_!:\underline C_Z\to\underline C_X; support family \Phi_{U\cap Z,U}","i^!:\uC_X\to\uC_Z; i_!:\uC_Z\to\uC_X; support family \Phi_{U\cap Z,U}","Candidate approximates underlined category notation with code text.",pass,"Proposition 1.2."
