id,sga,unit,source_tex_path,source_tex_line_start,source_tex_line_end,printed_volume_page,source_pdf_page,target_tex_path,target_tex_line_start,target_tex_line_end,category,french_source_reading,external_candidate_reading,accepted_english,rejected_choice,evidence_role,delta_polarity,mathematical_impact,authority_basis,evidence_paths,rationale,disposition,review_status,manager_merge_status
SGA2-D001,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",90,154,"6-8","13-14","working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",69,214,"functor decoration","plain \Gamma_Z for global sections; underlined \Gamma_Z for the sheaf-valued functor","plain Gamma_Z versus an ambiguous 'Gamma Z' surrogate","plain \Gamma_Z versus \uGamma_Z with support subscript retained","loss of underline or support subscript","comparison witness",adverse_candidate,high,"corrected French TeX plus rendered French PDF","ledgers/SOURCE_FORMULA_COMPARISON.csv; render_check/source_fr_pages_013_017/source-013.png; render_check/source_fr_pages_013_017/source-014.png","The decoration changes the codomain and is never cosmetic.",reject,independent_pass,pending_manager_merge
SGA2-D002,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",111,154,"7-8","13-14","working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",136,214,"inverse-image notation","i^*(F)","i*(F) at multiple occurrences","i^*(F)","i*(F)","comparison witness",adverse_candidate,high,"corrected French TeX plus rendered French PDF","controls/recovered_english_candidate/candidate_A_source_intake.md; ledgers/SOURCE_FORMULA_COMPARISON.csv","The superscript star is part of the inverse-image functor.",reject,independent_pass,pending_manager_merge
SGA2-D003,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",263,268,12,17,"working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",414,429,"inverse-image notation","j^*(G) and k^*(G)","j*(G) and k*(G)","j^*(G) and k^*(G)","j*(G) and k*(G)","comparison witness",adverse_candidate,high,"corrected French TeX plus rendered French PDF","controls/recovered_english_candidate/candidate_A_source_intake.md; render_check/source_fr_pages_013_017/source-017.png","Both stars are mathematically required in exact sequence (17).",reject,independent_pass,pending_manager_merge
SGA2-D004,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",197,211,10,16,"working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",292,315,"internal Hom notation","underlined Hom for sheaf Hom","calligraphic Hom","underlined Hom","calligraphic or plain Hom","comparison witness",adverse_candidate,high,"corrected French TeX plus rendered French PDF","render_check/source_fr_pages_013_017/source-016.png; ledgers/SOURCE_FORMULA_COMPARISON.csv","The source distinguishes global Hom from sheaf Hom by underlining.",reject,independent_pass,pending_manager_merge
SGA2-D005,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",232,233,11,16,"working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",365,371,"referent accuracy","replace Z' by Z'' in (14)","replace Z by Z'' in (14)","replace Z' by Z''","replace Z by Z''","comparison witness",adverse_candidate,medium,"corrected French TeX plus rendered French PDF","controls/recovered_english_candidate/candidate_A_source_intake.md; render_check/source_fr_pages_013_017/source-016.png","The candidate changes which subset is substituted and is textually false.",reject,independent_pass,pending_manager_merge
SGA2-D006,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",91,170,"6-9","13-15","working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",75,242,"register normalization","partie fermée / localement fermée","closed part / locally closed part","closed subset / locally closed subset","closed part / locally closed part","comparison witness",beneficial_candidate,none,"SGA-wide English style policy plus mathematical idiom","02_native_examples/SGA_ENGLISH_STYLE_AND_TERMINOLOGY.md; ledgers/TERMINOLOGY_AND_REJECTED_CHOICES.csv","Normalization improves English without changing the object.",adopt,independent_pass,pending_manager_merge
SGA2-D007,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",94,96,6,13,"working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",84,95,"documented source anomaly","isolated prose occurrence underlines \Gamma_Z although defining equation (2) and all later uses require global plain \Gamma_Z","candidate silently uses plain \Gamma_Z","plain \Gamma_Z with an explicit translator note","silent correction or propagation of the isolated underline","French source authority with internal and rendered evidence",source_emendation,high,"equation (2), subsequent systematic notation, and rendered French page 13","render_check/source_fr_pages_013_017/source-013.png; ledgers/SOURCE_FORMULA_COMPARISON.csv","This is a necessary, transparent emendation rather than silent modernization.",editorial_note_required,independent_pass,pending_manager_merge
SGA2-D008,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",90,278,"6-12","13-17","working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",69,455,"source numbering","equations (1)-(18), including 6 bis, 8', 8'', 15', 16 bis; statements 1.1-1.10","candidate metadata relabels equations as eq:I.1.1 etc.","printed source numbering retained exactly","candidate metadata numbering","comparison witness",adverse_candidate,medium,"corrected French TeX plus rendered French PDF","ledgers/SOURCE_FORMULA_COMPARISON.csv; render_check/unit_I_1_en/contact_sheet.png","Stable source locators are required for cross-volume citation and review.",reject,independent_pass,pending_manager_merge
SGA2-D009,SGA2,"Exposé I §1","source_control/french_arxiv/smf_doc-math_4_01.tex",236,258,12,17,"working/unit_I_1/SGA2_Expose_I_section_1_English_SourceAligned.tex",373,412,"technical terminology","flasque","flasque","flasque","flabby","SGA-wide policy control",source_faithful_exception,none,"SGA5 usage and recovered SGA native controls","ledgers/TERMINOLOGY_AND_REJECTED_CHOICES.csv","Retain the lane term consistently; do not alternate locally.",retain_exception,independent_pass,pending_manager_merge
SGA2-D010,SGA2,"full recovered witness","controls/recovered_english_candidate/candidate_A_source_intake.md",1,13999,"1-207","control PDF 1-211","controls/recovered_english_candidate/candidate_A_source_intake.md",1,13999,"provenance boundary","French TeX is authority; external English may only be a comparison candidate","self-declared jcreinhold LLM-generated snapshot; not mathematically proofed","control-only witness attributed to Jacob Reinhold under CC BY 4.0; mathematical/source fidelity unresolved","publication or silent promotion of the full witness","provenance evidence",source_faithful_exception,high,"verified upstream lineage plus user mandate","controls/PROVENANCE_AND_COVERAGE_AUDIT.md","Resolved attribution/license does not turn broad structural coverage into mathematical or source parity.",retain_exception,reviewed,pending_manager_merge
