lane_refresh_id,lane,current_head,base_212dfb_status,source_gated_routing_rows,source_use_label_counts,branch_visible_ac6f4e_artifact_rows,local_212dfb_package_path,local_r9_support_path,current_head_requirement,boundary,b3_route
AC6F4E-LANE-001,Pan-Turkic,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,647,native-source-body=359; audit-ledger=84; source-rescribe-workpass=50; method-note=50; generated-draft=44; OCR-witness=42; pointer-only=8; compile-output=6; manifest=2; image-witness=2,117,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-002,Persianate/Tajik,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,current-212DFB-source-backed-routing-present,474,native-source-body=228; OCR-witness=92; source-witness-pdf-with-ocr-locator=46; audit-ledger=34; generated-draft=19; source-acquisition-target=17; source-discovery-not-promoted=13; pointer-only=8; adjacent-source-body=4; source-discovery-body=4; method-note=2; source-witness-pdf-with-ocr-locator / adjacent TeX source-format evidence=2; methodology=2; source-discovery-witness-not-promoted=1; false-friend-gap=1; source-witness-indirect=1,380,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-003,OLP,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,390,audit-ledger=110; method-note=97; source-witness=50; source-witness; external-wikimedia-recovery; not row-verified relation/function attestation=38; pointer-only=26; native-source-body=19; blank=13; review-only-generator=12; source-witness; source-acquisition-recovery; not row-verified relation/function attestation=10; generated-draft/non-canonical=7; generated-draft=5; manifest=3,179,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-004,CJK,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,426,generated-draft=81; adverse_evidence_source_or_audit_ledger=70; native-source-body=66; source-witness=66; language_family_witness=41; methodology=24; audit-ledger=20; draft_translation_triangulation=17; candidate-source-body=8; audit_ledger_manifest=8; korean-addendum-community-provenance-not-canonical=4; do-not-use-as-source-canon-generated-review=4; pointer-only=3; community-provenance-not-canonical=2; korean-addendum-name-routing-only=2; korean-addendum-partial-provenance-not-module=2; do-not-use-as-source-canon=2; community-name-routing-only=2; community-isomorphism-routing-not-module=2; candidate_form_source_pointer_only=1; adverse_evidence_source=1,226,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-005,Arabic,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,554,native-source-body=221; pointer-only=195; OCR-witness=80; audit-ledger=19; method-note=10; rejected=5; package-support=4; generated-draft=3; manifest=3; native-source-body + OCR-witness=3; covered_active_row=3; covered_active_row_manual_flag=3; native-source-body + pointer-only provenance=1; native-source-body + OCR-witness + pointer-only provenance=1; active_summary=1; no_active_insufficient_rows=1; non_active_gap_row=1,459,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-006,Romance,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,975,native-source-body=574; project-source-body=330; source_gated_generated_draft_support_allowed=44; blank=19; generated-draft=6; blocked_source_acquisition_gap_no_generated_draft_use=2,68,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-007,R6,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,621,provenance_metadata_logbook_no_source_authority_claim=250; local_source_body_for_provenance_review_no_reuse_clearance=143; sign_access_source_route_metadata_no_media_reuse_clearance=140; pointer_only_material_not_corpus=20; blocker_ethics_rows_no_gate_promotion=12; generated_draft_noncanonical_support_no_authority_claim=12; lexicon_body_or_route_table_no_accepted_terms=10; reviewer_authority_evidence_no_return_approval=10; ocr_witness_separate_not_source_truth=8; generated-draft-ledger=6; audit-ledger=4; source-use-ledger=3; native_community_source_body_index_no_authority_claim=2; fable-r6-ledger=1,183,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-008,R7,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,222,native-source-body=186; generated-draft=28; pointer-only=8,86,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-009,R9,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,2445,"audit-ledger=1529; native-source-body=828; ocr-witness=36; image-witness=16; method-note=8; generated-draft=8; {""audit-ledger"": 3, ""native-source-body"": 6}=3; {""audit-ledger"": 2, ""native-source-body"": 5, ""ocr-witness"": 3}=1; {""audit-ledger"": 4, ""native-source-body"": 10, ""ocr-witness"": 6}=1; {""audit-ledger"": 3, ""native-source-body"": 13}=1; {""generated-draft"": 4}=1; {""audit-ledger"": 1}=1; {""audit-ledger"": 529}=1; {""audit-ledger"": 36}=1; {""audit-ledger"": 17}=1; {""image-witness"": 6, ""native-source-body"": 48}=1; {""native-source-body"": 40}=1; {""audit-ledger"": 13, ""native-source-body"": 8, ""ocr-witness"": 4}=1; {""audit-ledger"": 5, ""native-source-body"": 8, ""ocr-witness"": 5}=1; {""native-source-body"": 84}=1; {""native-source-body"": 75}=1; {""image-witness"": 2, ""native-source-body"": 84}=1; {""audit-ledger"": 1, ""method-note"": 4, ""native-source-body"": 14}=1; {""audit-ledger"": 3, ""native-source-body"": 7}=1",24,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_R9_ENFORCEMENT_SUPPORT_20260706,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-LANE-010,Slavic/Interslavic,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,shared-212DFB-rules-present; lane-specific-212DFB-application-gap-open,6261,"actual ru/uk/interslavic translation branch body or render copied from old noether-slavic-canonical tree=3852; source-control, handoff, review-visible, or logbook support file for Slavic branch bodies=1270; source text/build dependency body=265; source PDF/body evidence where TeX is unavailable=260; methodology / audit-ledger / consistency shelf=248; Noether term/glossary body associated with the Slavic translation branch=215; generated section-slice recovery audit body=29; section-slice render logbook/compile log=20; current lane governance/source-canon/draft-boundary artifact=19; generated-draft / draft / non-canonical support=16; harvester provenance manifest or gap report=14; source archive or source package body=9; audit-ledger / data ledger=9; source-canon provenance/support body=7; audit-ledger / methodology=6; generated-draft section PDF render from recovered slice=6; generated-draft section TeX slice from existing through-section body=6; literal TeX-family/source body evidence=4; source-acquisition/gap row=1; operational logbook excerpt=1; generated-draft / draft / non-canonical boundary note=1; logbook excerpt=1; package README=1; generated-draft / non-canonical=1",1432,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_212DFB_ENFORCEMENT_GAP_AUDIT_20260706,,compare AC6F4E branch deltas and apply shared Fable/source-use/adverse standards to owner-lane source bodies,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
