authority_route_id,current_head,lane,category,required_surface,inherited_212dfb_evidence_path,lane_source_gated_rows,current_head_route,boundary,b3_route
AC6F4E-AUTHORITY-ROUTE-0001,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Pan-Turkic,branch-weighting,branch_weight_ledger.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,647,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0002,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Pan-Turkic,marginal-intelligibility,marginal_intelligibility.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv,647,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0003,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Pan-Turkic,source-use,source_use_status.csv / source_documents.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv,647,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0004,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Pan-Turkic,adverse-evidence,adverse_evidence_ledger.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv,647,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0005,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Pan-Turkic,normalization,normalization_decisions / forms.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv,647,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0006,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Pan-Turkic,marker-table,marker-table / interlinear scaffolding rows,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv,647,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0007,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Pan-Turkic,do-not-use,do_not_use.csv / false_friend_ledger.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv,647,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0008,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Pan-Turkic,Interslavic-correction,Interslavic correction ledger; current State C row,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,647,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0009,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Persianate/Tajik,branch-weighting,branch_weight_ledger.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,474,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
AC6F4E-AUTHORITY-ROUTE-0010,ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e,Persianate/Tajik,marginal-intelligibility,marginal_intelligibility.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv,474,owner-lane application required; B3 packages; authority lane does not approve terms,"AC6F4E current-head authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
