"row_id","upstream_file","rows_read","lane_relevance","slavic_decision"
"non_slavic_rollup_a55","SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_A55A9D0F.csv","4","Non-Slavic Core rollup for A55 R3/R6/B3 context","coordination_context_only"
"non_slavic_eight_lane_a55","EIGHT_LANE_ROUTE_STATUS_ROWS_A55A9D0F.csv","8","Eight-lane route status; no Slavic ownership mutation","keep_non_slavic_separate"
"non_slavic_blockers_a55","EXACT_BLOCKER_RECOVERY_ROWS_A55A9D0F.csv","6","Explicit source-use/gate blockers","carry_as_adverse_boundary"
"visible_wake_a55","VISIBLE_THREAD_WAKE_STATUS_A55A9D0F.csv","6","Sibling wake status from coordinator","wake_useful_stale_siblings_once"
"r3_source_use_7b","R3_7B34EC91_SOURCE_USE_GAP_RECOVERY_ROWS.csv","5","R3 Persianate route boundary evidence","do_not_import_as_slavic_body"
"r3_fable_7b","R3_7B34EC91_FABLE_ADVERSE_BOUNDARY_LEDGER.csv","4","Adverse/do-not-use boundary","carry_no_promotion_rule"
"r3_language_boundary_7b","R3_7B34EC91_LANGUAGE_BOUNDARY_ROWS.csv","6","Language gates remain separate","no_slavic_gate_closure"
"r6_source_use_7b","R6_7B34EC91_SOURCE_USE_CONTINUATION_LEDGER.csv","7","R6 source-start carryforward outside Slavic lane","exclude_from_canonical_slavic"
"r6_fable_7b","R6_7B34EC91_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","5","R6 adverse no-promotion boundaries","carry_do_not_claim_boundaries"
"r6_witness_scope_7b","R6_7B34EC91_SOURCE_WITNESS_SCOPE_COUNTS_CARRYFORWARD.csv","110","R6 witness counts, not Slavic witnesses","boundary_only"
