delta_id,category,manager_baseline,selected_sga1_form,rejected_regression_category,evidence_channel,scope,status
N-001,spelling,US spelling,neighborhood,British spelling drift,shared SGA baseline,all SGA1 prose except quotations and titles,active
N-002,capitalization,lowercase ordinary adjectival form,noetherian,mid-sentence capitalization drift,shared SGA baseline,all SGA1 prose,active
N-003,categorical terminology,formal categorical register,morphism,informal map substitution,shared baseline and source register,all formal prose,active
N-004,historical terminology,source-sensitive historical vocabulary,prescheme where the authority uses the historical term,silent modernization,source-sensitive baseline,all source-sync units,active
N-005,products,exact base and factor order,preserve every fiber-product base and factor order,dropped or altered base,mathematical-fidelity baseline,all formulas,active
N-006,heading register,translate rather than simplify,Notions of differential calculus,heading simplification,French heading and lane baseline,I.1,closed
N-007,logic term,retain available English technical cognate,sorites,automatic lexical substitution,French lexical evidence and English technical usage,I.1 and later context,active
N-008,citation form,retain work volume locator and attachment,Cf. EGA IV 16.3 in source-controlled footnote,relocation or loss,French TeX citation structure,I.1,closed
N-009,source-page evidence,distinguish source pagination from output pagination,qualified French source page marker,bare ambiguous margin numeral,French TeX page witness,all source-page markers,active
N-010,witness independence,no scalar decision from correlated controls,one Hosgood derivative lineage,false vote counting,Git authorship and migration history,all candidate comparisons,active
N-011,rights handling,explicit attribution and rights caveats,translate from French authority and require archive review,assuming public visibility is a license,source notice and usage evidence,all checkpoints,active
N-012,theorem register,preserve source environment and numbering,defer until first theorem-bearing I.2 unit,premature scalar standardization,French theorem environment and shared baseline,future units,pending
