adverse_id,unit,pressure_category,risk,selected_response,evidence_channel,status
A-001,I opening,directional normalization,resolves an authority ambiguity and may shift applicability,retain literal after-no.-I.2 wording,French line 566 and independent source-first review,rejected
A-002,I.1 heading,heading simplification,flattens authority register,retain Notions register,French line 568,rejected
A-003,I.1 first sentence,notation and base-relation loss,omits alternate notation or weakens the relation,retain alternate diagonal notation and over Y,French lines 570-573 and notation anchor,rejected
A-004,I.1 parenthetical,lexical weakening,loses hoax or farce register,select farcical,French line 579 and lexical evidence,rejected
A-005,I.1 parenthetical,unsupported adverb addition,adds location absent from authority,omit added adverb,French lines 577-581,rejected
A-006,I.1 notation,silent mathematical repair,rewrites authoritative notation,preserve the authority subscript exactly,French line 580,rejected
A-007,I.1 formula layout,display promotion,changes source paragraph and emphasis,retain inline equality,French lines 588-590,rejected
A-008,I.1 formula typography,font-family substitution,changes the source calligraphic family,retain calligraphic P,French line 589,rejected
A-009,I.1 terminology,regional spelling drift,conflicts with manager-controlled baseline,use US neighborhood,shared baseline counts,rejected
A-010,I.1 logic term,automatic lexical replacement,discards an available English technical cognate,use singular sorites,French line 600 and lexical review,rejected
A-011,I.1 ending,instrumental-use semantic shift,changes speaking usefully into using an object,retain something-useful-to-say sense,French lines 601-603,rejected
A-012,I.1 ending,unsupported exclusivity marker,adds identification absent from authority,use in connection with smooth morphisms,French lines 602-603,rejected
A-013,candidate provenance,false independence assumption,creates spurious corroboration,record one derivative lineage,Git history and blame,corrected
A-014,candidate coverage,status-only inference,overstates zero-body stub files,record measured stubs and contradiction,tracked contents and byte counts,corrected
A-015,candidate quality,unresolved machine-aided control,cannot support certification or source alignment,use only as adverse and terminology control,repository notice and tracked markers,controlled
A-016,candidate rights,public-visibility inference,creates verbatim-reuse and publication risk,do not copy and require archive rights review,usage notice and tracked license tree,controlled
A-017,inherited control,full-volume appearance,may be mistaken for source-aligned completeness,retain control-only status until unitwise French comparison,internal provenance header,controlled
A-018,SGA5 packaging,mutable shared control,can hide historical 38-of-39 ledger drift,report drift without rewriting frozen SGA5 or shared control,hash and modification-time recheck,open_coordinated_maintenance
