"probe_id","timestamp_local","probe_surface","query","result_count","candidate_or_result_summary","classification","source_url_or_candidate_url","license_or_access_signal","sha256_or_hash_signal","language_topic_tags","gap_or_blocker_note","non_claim_boundary"
"AR-GH-PROBE-001","2026-07-04T22:22:06+02:00","gh_search_code","""جبر خطي"" extension:tex","0","No GitHub code-search hits returned.","zero_hit","https://github.com/search?q=%22%D8%AC%D8%A8%D8%B1+%D8%AE%D8%B7%D9%8A%22+extension%3Atex&type=code","GitHub search metadata only; no source body fetched.","none","Arabic;linear algebra;TeX","No Arabic TeX/source witness found for exact linear-algebra term in this probe.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-002","2026-07-04T22:22:06+02:00","gh_search_code","""نظرية الحلقات"" extension:tex","0","No GitHub code-search hits returned.","zero_hit","https://github.com/search?q=%22%D9%86%D8%B8%D8%B1%D9%8A%D8%A9+%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A7%D8%AA%22+extension%3Atex&type=code","GitHub search metadata only; no source body fetched.","none","Arabic;ring theory;TeX","No Arabic TeX/source witness found for exact ring-theory phrase in this probe.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-003","2026-07-04T22:22:06+02:00","gh_search_code","""نظرية الزمر"" extension:tex","0","No GitHub code-search hits returned.","zero_hit","https://github.com/search?q=%22%D9%86%D8%B8%D8%B1%D9%8A%D8%A9+%D8%A7%D9%84%D8%B2%D9%85%D8%B1%22+extension%3Atex&type=code","GitHub search metadata only; no source body fetched.","none","Arabic;group theory;TeX","No Arabic TeX/source witness found for exact group-theory phrase in this probe.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-004","2026-07-04T22:22:06+02:00","gh_search_code","""نظرية التمثيل"" extension:tex","0","No GitHub code-search hits returned.","zero_hit","https://github.com/search?q=%22%D9%86%D8%B8%D8%B1%D9%8A%D8%A9+%D8%A7%D9%84%D8%AA%D9%85%D8%AB%D9%8A%D9%84%22+extension%3Atex&type=code","GitHub search metadata only; no source body fetched.","none","Arabic;representation theory;TeX","No Arabic TeX/source witness found for exact representation-theory phrase in this probe.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-005","2026-07-04T22:22:06+02:00","gh_search_code","""الحلقات والحقول"" extension:tex","0","No GitHub code-search hits returned.","zero_hit","https://github.com/search?q=%22%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A7%D8%AA+%D9%88%D8%A7%D9%84%D8%AD%D9%82%D9%88%D9%84%22+extension%3Atex&type=code","GitHub search metadata only; no source body fetched.","none","Arabic;rings;fields;TeX","No Arabic TeX/source witness found for exact rings-and-fields course phrase in this probe.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-006","2026-07-04T22:22:06+02:00","gh_search_code","""تشاكل"" ""حلقة"" extension:tex","0","No GitHub code-search hits returned.","zero_hit","https://github.com/search?q=%22%D8%AA%D8%B4%D8%A7%D9%83%D9%84%22+%22%D8%AD%D9%84%D9%82%D8%A9%22+extension%3Atex&type=code","GitHub search metadata only; no source body fetched.","none","Arabic;homomorphism;ring;TeX","No Arabic TeX/source witness found for homomorphism/ring terms in this probe.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-007","2026-07-04T22:22:06+02:00","gh_search_code","""تماثل"" ""حلقة"" extension:tex","5","Returned five TeX hits; sampled repositories are programming/ML/school-computing/blockchain contexts, not Arabic algebra source packages.","false_positive_cluster","https://github.com/search?q=%22%D8%AA%D9%85%D8%A7%D8%AB%D9%84%22+%22%D8%AD%D9%84%D9%82%D8%A9%22+extension%3Atex&type=code","GitHub search metadata only; no source body fetched.","none","Arabic;isomorphism;ring;TeX","False-positive cluster includes Hamza5/Learn-to-program-with-C_AR, MohamedMegdoud/ML-GWAS-SNPs-Alzheimers-prediction, magbareya/school_workspace, and tos-network/whitepaper; not admitted as Arabic mathematics witnesses.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-008","2026-07-04T22:22:06+02:00","gh_search_code","""ارتيني"" extension:tex OR ""أرتيني"" extension:tex","0","No GitHub code-search hits returned for Artinian spelling variants in the attempted query.","zero_hit","https://github.com/search?q=%22%D8%A7%D8%B1%D8%AA%D9%8A%D9%86%D9%8A%22+extension%3Atex+OR+%22%D8%A3%D8%B1%D8%AA%D9%8A%D9%86%D9%8A%22+extension%3Atex&type=code","GitHub search metadata only; no source body fetched.","none","Arabic;Artinian;TeX","No Arabic TeX/source witness found for Artinian spelling variants in this probe.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-009","2026-07-04T22:22:06+02:00","gh_search_repos","Arabic LaTeX algebra","0","No GitHub repository-search hits returned.","zero_hit","https://github.com/search?q=Arabic+LaTeX+algebra&type=repositories","GitHub search metadata only; no source body fetched.","none","Arabic;algebra;LaTeX;repository","No Arabic algebra LaTeX repository found by English metadata query.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
"AR-GH-PROBE-010","2026-07-04T22:22:06+02:00","gh_search_repos","جبر خطي LaTeX","0","No GitHub repository-search hits returned.","zero_hit","https://github.com/search?q=%D8%AC%D8%A8%D8%B1+%D8%AE%D8%B7%D9%8A+LaTeX&type=repositories","GitHub search metadata only; no source body fetched.","none","Arabic;linear algebra;LaTeX;repository","No Arabic linear-algebra LaTeX repository found by Arabic/LaTeX metadata query.","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer-packet population, or Git push."
