printed_page	authority_pdf_page	scope_leaf	entry	classification	source_ambiguity	body_emendation	status
65	82	3	apparatus/pages/p065.md	No conjectural emendation.	NONE	NONE	SOURCE_REVIEWED
66	83	4	apparatus/pages/p066.md	Unqualified converse retained.	NONE	NONE	SOURCE_REVIEWED
67	84	5	apparatus/pages/p067.md	No conjectural emendation.	NONE	NONE	SOURCE_REVIEWED
68	85	6	apparatus/pages/p068.md	Lexical and display fidelity.	NONE	NONE	SOURCE_REVIEWED
69	86	7	apparatus/pages/p069.md	No conjectural emendation.	NONE	NONE	SOURCE_REVIEWED
70	87	8	apparatus/pages/p070.md	Legible printed sign inconsistency retained.	NONE	NONE	SOURCE_REVIEWED
71	88	9	apparatus/pages/p071.md	Footnote restored to the witness.	NONE	NONE	SOURCE_REVIEWED
72	89	10	apparatus/pages/p072.md	No conjectural emendation.	NONE	NONE	SOURCE_REVIEWED
73	90	11	apparatus/pages/p073.md	No conjectural emendation.	NONE	NONE	SOURCE_REVIEWED
74	91	12	apparatus/pages/p074.md	Batch boundary, not an end of the paper.	NONE	NONE	SOURCE_REVIEWED
