"witness_id","work","language","format","path","bytes","pages","sha256","role","status"
"NOETHER-R822-DE-TEX","Noether 1-43","German","tex","C:\IL_GitHub\00_main_current\sources\noether\current-german-source-control-v26-r822-20260717\Noether_German_Cumulative_v26_R822integrated_20260717.tex","2125686","","BD556B477E29200A70B03015B31F76C61DB1356F3D88EB3F8F72703AB560CCD1","current source-control authority","authoritative"
"NOETHER-R822-DE-PDF","Noether 1-43","German","pdf","C:\IL_GitHub\00_main_current\sources\noether\current-german-source-control-v26-r822-20260717\Noether_German_Cumulative_v26_R822integrated_20260717.pdf","2650172","466","0B021464C16322D55992AADB431201C638EBB737BBBFDF811E312293B7D2C8EE","current German reader","authoritative"
"NOETHER-RA10-EN-TEX","Noether 1-43","English","tex","01_recovered_witnesses\noether_ra10_complete_english\Noether_RA10_cumulative_English.tex","1831986","","2BDB5EAB5DB6D7A46CF10EC8C99F720320A956EF866B473DAE4C28F8F49BF6C9","complete older English cumulative","sync-required"
"NOETHER-RA10-EN-PDF","Noether 1-43","English","pdf","01_recovered_witnesses\noether_ra10_complete_english\Noether_RA10_cumulative_English.pdf","2613593","416","E4BD718802678886815DF70A43A245D0942BE8473F9C9EE092C4ABAF5D609F64","complete older English reader","sync-required"
"NOETHER-PAPERS-EN-TEX","Noether 1-43","English","collection","01_recovered_witnesses\noether_papers_01_43_editable\papers_tex","","43 files","","per-paper editable English","sync-required"
"NOETHER-PAPERS-EN-PDF","Noether 1-43","English","collection","01_recovered_witnesses\noether_papers_01_43_standalone_pdf\english_papers_01_43","","43 files","","standalone English readers","sync-required"
"SGA1-EN-PDF","SGA 1","English","pdf","01_recovered_witnesses\sga1_4_english_baselines\pdf\SGA1_English_snapshot.pdf","1258496","321","AF6AA94AC6489F1FA75495FC25727193631E3C281D752389C0A4A93A0DB21ABF","style and terminology control","control-only"
"SGA2-EN-PDF","SGA 2","English","pdf","01_recovered_witnesses\sga1_4_english_baselines\pdf\SGA2_English_snapshot.pdf","833670","211","E75CE35163D0D3588E22F18F9CA696BBDA613A081A8A3A8D494B69BB5D333B72","style and terminology control","control-only"
"SGA3-EN-PDF","SGA 3","English","pdf","01_recovered_witnesses\sga1_4_english_baselines\pdf\SGA3_English_clean_rebuild.pdf","5333189","1389","2E669E87A6D4E1C6948DE084B0B6478855FAC9762ACC48BC440CD46EB15EC17C","style and terminology control","control-only"
"SGA3-EN-TEX","SGA 3","English","tex","01_recovered_witnesses\sga1_4_english_baselines\sga3_editable\SGA3_existing_english_from_jcreinhold_mathfixed.tex","4529576","","3425BB3D0D5ACC31A51529B3E4B1ED97F9138B68B1C3778A1090DF118F320EAC","editable style control","control-only"
"SGA4-EN-PDF","SGA 4","English","pdf","01_recovered_witnesses\sga1_4_english_baselines\pdf\SGA4_English_working_draft.pdf","2173339","484","658D20EB5F592F11C0B5201ACBDA00DB476E39A9BFB21D12E9D79699EEAD6BE5","mixed-spelling style control","control-only"
"SGA5-LEGACY-EN-TEX","SGA 5","English","tex","01_recovered_witnesses\sga5_english_legacy\SGA5_english_strict_cumulative.tex","756192","","6CEAB9D43C519EE7C9585933CC314A4807DC7A95750D1C8E8FAB2752A8EBF8CD","complete legacy English base","sync-required"
"SGA5-LEGACY-EN-PDF","SGA 5","English","pdf","01_recovered_witnesses\sga5_english_legacy\SGA5_english_legacy_reader.pdf","1915994","296","925DD4B10734C49186106B0107536D89315B482B199A370A3FFF29F088EABE3B","archived legacy reader","sync-required"
"SGA5-CURRENT-FR-TEX","SGA 5","French","tex","02_native_examples\sga5_current_french_workpass\sga5_fr_workpass.tex","848165","","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","current source-checked French synchronization control","authoritative-control"
"SGA5-SYNC-EN-TEX","SGA 5","English","tex","03_working_translations\sga5_english_sync_workpass\SGA5_English_sync_workpass.tex","796755","","3CC5204680B2A2CE92FDF09401AB1A4654F9E0A4B0ED932D110FC0B1B024720F","source-synchronized English cumulative; exact content live in Zenodo 21420146","technical-content-ready-live-rights-remediation"
"SGA5-SYNC-EN-PDF","SGA 5","English","pdf","03_working_translations\sga5_english_sync_workpass\SGA5_English_sync_workpass.pdf","2054026","309","176759209CD284F1DD6D3E26D0C7600EC146AB01FAA637BF6F6BB97BFAA396A4","compiled source-synchronized reader; exact standalone PDF live in Zenodo 21420146","technical-content-ready-live-rights-remediation"
"SGA6-SOURCE-SCAN","SGA 6","French source","pdf","C:\Users\Floris\Documents\Papors\OS\sga6.pdf","54325694","702","5194436E290B8FCA54BACD5FF672588335408F1AAD3AE07D62BBA68DF35E3D76","source-scan authority","authoritative"
"SGA6-SOURCE-SCAN-HIRES","SGA 6","French source","pdf","C:\Users\Floris\Documents\Papors\OS\Théorie des Intersections et Théorème de Riemann-Roch.pdf","26833956","720","73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA","French-rescribe governing 360-dpi supplemental witness; contains pages omitted by the declared 702-page scan","authoritative-supplement"
"SGA6-CURRENT-FR-TEX","SGA 6","French","tex","C:\IL_GitHub\00_main_current\sources\sga\sga6-claude-workpass-source-rescribe-20260704\sga6_fr_workpass.tex","1301260","through idx646","DCCF1BE9533FAC29E6F12989537F017EFC41340A2D2B2F0B89CB8FE9A4A236FB","current source-checked rescribe","authoritative-control"
"SGA6-INHERITED-EN-TEX","SGA 6","English","tex","01_recovered_witnesses\sga6_english_controls\complete_inherited\SGA6_English_pages_001_702_complete.tex","1042371","","C7C1C4DBE67D89E2CB7921B18D94CE830B5788CDE019C7CD4D27B46F46CE9625","complete inherited English control","unsynchronized"
"SGA6-INHERITED-EN-PDF","SGA 6","English","pdf","01_recovered_witnesses\sga6_english_controls\complete_inherited\SGA6_English_pages_001_702_complete.pdf","2050896","349","DCFFF3D69C085E1611A5DA2721F6890DE7A8CE9695298E3E55BFFF33BFE809A2","complete inherited English reader","unsynchronized"
"SGA6-REPAIR108-EN-TEX","SGA 6","English","tex","01_recovered_witnesses\sga6_english_controls\repair108_unsynced\sga6_en_unsynced_baseline_repair108.tex","1085092","","FFCE609E3F38124C801304F109767C60A94B9319637B0F926B9D797CCCDC74D8","later inherited control","unsynchronized"
"SGA6-REPAIR108-EN-PDF","SGA 6","English","pdf","01_recovered_witnesses\sga6_english_controls\repair108_unsynced\sga6_en_unsynced_baseline_repair108.pdf","2453002","364","C02A318F6AD48105672AFDC615282082254D6FBF0D4B341FCD19AE336571244D","later inherited reader","unsynchronized"
"SGA6-532-551-EN-TEX","SGA 6 Exposé X","English","tex","03_working_translations\sga6_exposeX_cumulative_sync_idx532_551_en_20260717\SGA6_Expose_X_idx532_551_English_SourceChecked.tex","29174","idx532-551","581F8BA272D3894C12E42B670FD8F197B3B7A6BB1E87FE697D97ADF72E039899","sealed predecessor cumulative workpass","sealed-predecessor"
"SGA6-532-551-EN-PDF","SGA 6 Exposé X","English","pdf","03_working_translations\sga6_exposeX_cumulative_sync_idx532_551_en_20260717\SGA6_Expose_X_idx532_551_English_SourceChecked.pdf","280237","10","21A5DD9B00485F4A230D36C0A1C28ACDA756BC5ECC49C31E5C4C3D18CDAC7769","sealed predecessor compiled reader","sealed-predecessor"
"SGA6-532-558-EN-TEX","SGA 6 Exposé X","English","tex","03_working_translations\sga6_exposeX_cumulative_sync_idx532_558_en_20260717\SGA6_Expose_X_idx532_558_English_SourceChecked.tex","40114","idx532-558","846BD40F5E8AD65A0764B7603784455B2A9898865576CAA45B16D215E1F84733","sealed predecessor cumulative workpass","sealed-predecessor"
"SGA6-532-558-EN-PDF","SGA 6 Exposé X","English","pdf","03_working_translations\sga6_exposeX_cumulative_sync_idx532_558_en_20260717\SGA6_Expose_X_idx532_558_English_SourceChecked.pdf","316069","14","2B484B8F8D840AB8992216B1DD95DAB79E8DA07BB2264437420BF703D320DABD","sealed predecessor compiled reader","sealed-predecessor"
"SGA6-532-567-EN-TEX","SGA 6 Exposé X","English","tex","03_working_translations\sga6_exposeX_cumulative_sync_idx532_567_en_20260717\SGA6_Expose_X_idx532_567_English_SourceChecked.tex","53298","idx532-567","337C434FFDA5970D2C7D5CD4F1C6B6D4C93C221E710C7C87643488F466655F19","sealed predecessor cumulative workpass","sealed-predecessor"
"SGA6-532-567-EN-PDF","SGA 6 Exposé X","English","pdf","03_working_translations\sga6_exposeX_cumulative_sync_idx532_567_en_20260717\SGA6_Expose_X_idx532_567_English_SourceChecked.pdf","380345","19","C2A1E563AC2B7D1E16CEE816A09ABF4A293CCC704C1C1672296FA03A1278D77C","sealed predecessor compiled reader","sealed-predecessor"
"SGA6-532-575-EN-TEX","SGA 6 Exposé X","English","tex","03_working_translations\sga6_exposeX_cumulative_sync_idx532_575_en_20260717\SGA6_Expose_X_idx532_575_English_SourceChecked.tex","66878","idx532-575","E295279EC86A2BC58E5DD85166098104854BD369532DB1E96102E7299734CAA2","sealed predecessor cumulative workpass","sealed-predecessor"
"SGA6-532-575-EN-PDF","SGA 6 Exposé X","English","pdf","03_working_translations\sga6_exposeX_cumulative_sync_idx532_575_en_20260717\SGA6_Expose_X_idx532_575_English_SourceChecked.pdf","409593","24","CBEEAA5BEE92BCF5A6718765F61E09E146CED4783DB810BDB69DD4AE8ACA5E1E","sealed predecessor compiled reader","sealed-predecessor"
