paper,old_chars,new_chars,old_tokens,new_tokens,similarity,delta_band,diff_hunks,inserted_tokens,deleted_tokens,replaced_old_tokens,replaced_new_tokens,equal_tokens,old_normalized_sha256,new_normalized_sha256,english_sync_status
1,7720,7925,1583,1659,0.95003085,large-delta,36,16,12,31,103,1540,eac2be32e94fdee37e9c8d76c431ee98d51f57b6568219a1cad87a5bb450139c,f21e00134a5520b85f545e57e59b9988dd3d558bd098921a53e5e2f6f5b208d8,review-and-propagation-required
2,134224,143874,46505,49336,0.84139356,large-delta,1680,3518,1653,4532,5498,40320,0f162745a62a96206358a1a90b2aebec2dfa58d1424af3464fc081214609536c,116d39c08933b46d6b6a7fcba6d1bc7aae8902010956d4cd216c1c53d50de021,review-and-propagation-required
3,8034,8093,1652,1698,0.96417910,large-delta,22,19,14,23,64,1615,2000ddd25c7edec96b9228a2c6dc066be45355d08488ddfc7921a64a2ea03bbd,32a84492eb887a4df55db02cfa19b59adaceee3d960e94c418a33411ffcd2649,review-and-propagation-required
4,98291,99648,29106,29570,0.98425251,moderate-delta,85,255,96,134,439,28876,09c80a6f04b0d093b6eb80d3b6391f5331f8a67edf9efad0cdfa2952c6d74f8b,7b67d4f6f92d63f062cc2288b2b75c17a81262b0c4f94bbf6e93f2b70bc4cfcf,review-and-propagation-required
5,7767,7961,1276,1347,0.95844453,large-delta,16,0,0,19,90,1257,83c244897872c9b256a515b126e48443bfc88f0235dccaf9812743c23ccacb17,b1e60b977a9cb6ddeabc3f1651072c8ce44a832db6e5120c966ae5949bddd5b3,r823-synchronized-component-ready
6,91742,92162,24071,24654,0.93052848,large-delta,608,252,437,964,1732,22670,433aa2f9e669c9d969c3edaaddf21765c3694d38df741359c99a1e284e942f65,bf02853e324f47327ee1db19afe388bb51bb9a7dbe75f6bc183e53a6b87aa565,review-and-propagation-required
7,8088,8264,2176,2223,0.98658786,moderate-delta,7,21,0,6,32,2170,349c495484f9d6ab932ac910d2e3fda3427eaea38f11d373265546eaf67df784,cb9287c69b928735b9346ed56a89ec7e4c3a127121270d20ea1186495e193c58,r823-synchronized-component-ready
8,24274,24739,6637,6806,0.96868259,large-delta,17,270,117,9,25,6511,294b34c4ee2d71fe08a72d1f7c0e4f58a1ce0e7c439ed81f4667f63e300cbeac,af4646fe433afa1d71196fc7672cf8c0ed898498fcd2720b704b5da7fd9abfd4,review-and-propagation-required
9,75275,76485,17086,17715,0.96284590,large-delta,221,121,94,238,840,16754,22ff90c067368b7b8fcbfc68d8cd62ff4b2f6c3f2591c63911b7920b584473dc,0357af1e3118874681173abf464f976abfd41570c598bf06a03d11a5fb1b5c6b,review-and-propagation-required
10,27459,27650,6864,6989,0.98361366,moderate-delta,36,14,0,51,162,6813,a8d3bf8cb8079cc38f22cfea88591c0284ccad9ef38f1bde1c4d9273434c2dc5,c6a0121e539ce6ccf9dc7658458dab18177ae0ff9a99c237e77716893d271275,r823-synchronized-component-ready
11,24685,25196,5764,6113,0.93761051,large-delta,121,14,50,146,531,5568,6bea4a26d4fda691a06cffee6401ad7446e6a776373a934917b28396b1296943,74f79e80046c72c20398b62d289f95051b1ceeed6e97e3e1f29bd4d0418c8c39,review-and-propagation-required
12,18329,18260,4421,4423,0.95838987,large-delta,56,32,95,88,153,4238,f9ebf93da00f73ef7da96872aaccd80bae72131ea7207617f3f023528ba5b383,fc0722ff6d995ed5ac0f99bcd1f7f81a56cb7def22701011a4d45ad939fcd3ea,review-and-propagation-required
13,56136,56886,14171,14463,0.95760285,large-delta,242,189,200,261,564,13710,6d36bfd14b16168d0c4804fc8ea7102086db2dd75c012691b2270be8309d2673,e7407ffe17ed7dc76a4c40f1a10406e02cb2ea7aff42c8663246e65b14b8036c,review-and-propagation-required
14,61402,62723,12121,12798,0.94433966,large-delta,390,212,13,342,820,11766,b967a6d449814546e5dc6be227695542adef5679a137053bf6f9d9d860d0cabb,f683b8254bb7dbfbe11392f889ce274e7b27f26033fbdcb3d6a2b8a7e3318c90,review-and-propagation-required
15,44244,45464,12003,12433,0.93444099,large-delta,327,273,125,461,743,11417,c033cb4ad06ff996939e3bf6bb8ca28222b947c1aec7cbf785ee5972d02334a9,052f411b47dc7e7753512bb8353a0aee4a8eca9ed56842d6adbed0263a905749,review-and-propagation-required
16,15943,16231,4255,4388,0.95568668,large-delta,41,30,74,51,228,4130,1fe8f464768981c9a6a1ba9a1487b9971dd0da1b3c0127d6e45199137ce36d8a,22e3c37ef6a2566439b71eff84eb9ccd4ba57eed884806f611281c84acdd216d,review-and-propagation-required
17,90492,92387,22776,23122,0.97285285,large-delta,336,280,23,427,516,22326,8a8bd3bb0dcd9a798d3ca1ebc70c87d11ca3c15b58b9c2451d78a5a27e9bbd06,9cad58d0736f59724ee26819e4e003779b1641d466a990c937037caa80d9b639,review-and-propagation-required
18,2399,2345,558,531,0.91092746,large-delta,13,2,35,27,33,496,8d5ed0da3608ee6f4f5094a676545a91a2ed88b7f4b7de4ae0672337a51000bf,600412d53fde90c5b08c27298a28966d8a340d9f8ea030a4b37a1969d825dc4a,r823-synchronized-component-ready
19,125433,129344,29087,30280,0.93405427,large-delta,913,792,269,1092,1762,27726,15df3aecf85a315a44b758741e4173ad98d508220037a25a4973b48709d3a1c5,53fba64adfd52811af5d3aab6dc3b1a4fb92c08fdabd42be600c6156a513a9ec,review-and-propagation-required
20,20522,20813,5568,5728,0.94104108,large-delta,130,140,104,149,273,5315,21ed39a276a86cc7340e6d9fbf15d6a954a0223ab9bedfb2978d6ed6990e5cba,f92416a9df21af3227ad679cc915635b509f32f746036415580540ee5bdda9ff,r823-synchronized-component-ready
21,9732,9757,2311,2318,0.93670339,large-delta,38,16,87,56,134,2168,2257d15bf95e3bf50ed14af7067dbfa56eceb6701b7c079ca494760981dd1bb7,aabe58368396414646aedd9107a485284cde284301ee96a4f47b780466f2f49e,review-and-propagation-required
22,78133,78928,22872,23035,0.97910994,large-delta,234,188,68,330,373,22474,1656ad50643f94c45852f465577a97e09a9a4d3646a17514be97993e6e20626d,66cfa106e2c78f75709dd0258bb504c830cf3108ab333bf2f11fc5f20ff5fe2b,review-and-propagation-required
23,21679,22123,4552,4684,0.91598094,large-delta,236,186,60,262,268,4230,ef404b500f0496baa330ea07661fc391c767025a4e76b924a20dda97b9748855,9dd1e3a7c97aae062ca40c77f16e7726af96051ed4aa2dd580162ded965db11a,review-and-propagation-required
24,96510,96622,23988,24240,0.95392718,large-delta,543,354,153,832,883,23003,690a09fa1c2f93c88ab01ad2a02e50adfbb4e915ba6cde888962aae79ac393f3,86afbe0b66ff1615fed492fd99cc4b9d391609224e59c669ca3a16e929f30511,review-and-propagation-required
25,12814,12934,2730,2765,0.98416742,moderate-delta,9,53,19,7,8,2704,525f35ca6988b79287c990c286a95e0aa18779ab34094981ca4eb5e0dbfb0b42,bae3854163565abffc2b29d32e8e2919b3dea0167b2e8f1ddd618a620bc000d2,r823-synchronized-component-ready
26,980,981,169,170,0.99705015,small-delta,1,1,0,0,0,169,34ff517f28f503644f03b7ab8b435d36b5691d469c9192145f19a2db2aacc0d2,9ec1556cd294c5ac8270b00ad84f770f0fa73ae42d3f5c41836c944ffe305284,r823-synchronized-component-ready
27,1685,1599,299,297,0.91275168,large-delta,10,7,2,25,18,272,af2d7e6b4a209f27cd8323e63314af873dd6579f33aed5091c646ba5f9ebd7c6,95075fa5f573f775cc190996218af40685bef762e7c5592c69114c95765e140f,r823-synchronized-component-ready
28,1353,1363,206,210,0.99038462,moderate-delta,3,4,0,0,0,206,c885bed118912bc067b683cb92de634258d3a7a09eb1964934ecca4ac085233b,aff5f11e95caabf075071bafdb06b2edead5c192cc90c0705bf5da9b6faacb3d,r823-synchronized-component-ready
29,20754,20864,4849,4865,0.98682314,moderate-delta,18,65,42,14,7,4793,8037ece23beb62a98dd2dd583ba220d8b6675aed3d6e52cf971f6ab5837ad403,932868ecfe6a3ba06147737eff4961599b2da3fa9bdab94184776f50fb885858,r823-synchronized-component-ready
30,91041,106113,21056,25022,0.83523590,large-delta,1186,1960,97,1716,3819,19243,4e0694d239c665e8d76618f1587297262cdd0ec02a8ac18c56cb1e2de53c487f,7c10003b3f7719bdba5ec7bc69315f8f13783c2999a9e693052a6e39924f7dd6,review-and-propagation-required
31,65298,79656,14309,18341,0.78070444,large-delta,939,1536,194,1370,4060,12745,39e6a8561218072e2da2c11784850d085d3907de8698f7f3c14cd9a9d21cb17e,dce7a3196412c986d9ee5401f8029357f906d94a6bee7834f7b57569695694e9,review-and-propagation-required
32,21463,22082,4943,5058,0.96750325,large-delta,76,47,0,105,173,4838,7cb66fcb5fe620d747e0d6ab7ecd523b7d67c04cae8e3c171ced7b2c2752d33d,b5589594b6cbe18884b82ba1291c61aca66cc78a66d6a415087ce23adeb9fbcc,review-and-propagation-required
33,8148,9252,1423,1699,0.74119154,large-delta,38,8,19,247,534,1157,05c8155e8eb77fe3195a5c41b16ce9ec5aaa0ffeb4ca1f42ec9e74e52c2fa37f,e0b5991e6852dccf6542480ac829f45de157e911c06253724042a228ecfdbfd6,review-and-propagation-required
34,104884,121742,26062,30614,0.84815442,large-delta,930,2938,592,1435,3641,24035,921214751f105b49e11cee20cc9c0b1422aefde2af5433375a302fee5ee5fc0d,2c1cba1c36821f303d05d0830aff9ccf678a3feed294569bf67cc3f2c0a74bd1,review-and-propagation-required
35,30531,32483,8296,8652,0.19070097,large-delta,102,39,198,6482,6997,1616,da20d3d4d59ecd51c73d0ee34aa3e6994be5961044e72f1da6b32b4a37dfd359,9c3d4c36267854f64501d6df610a8b2b3c6713f9d659efd51226ccef4fecf8cf,review-and-propagation-required
36,548,565,94,102,0.95918367,large-delta,5,8,0,0,0,94,a74ae97a824875dde846bf2754cdc98f55c9711ba9ea15d950ed328aef46ddb0,ec5e29fc39ab6cb1bf10c74bfc627f4881a9c5656368d59ce04da18b179a3576,r823-synchronized-component-ready
37,21351,21441,4926,4960,0.99049160,moderate-delta,31,44,8,22,20,4896,526ed434696c24e262ba5b298423af86718cdf5b669c5a4739a40029008f4688,9ce818d7aa60a9eea481843b4da5486888c582e51fbbd95795e3aded52bedd0e,r823-synchronized-component-ready
38,21824,26266,4781,5953,0.73169368,large-delta,313,832,293,561,1194,3927,70969ef5485d17501fcfe153ac724463da331804296a0dea04a136f257ab2391,e251ed90a1de12db09cdd77fc2d4de1ac6543cd2f09aca8399b7367d58cbde45,review-and-propagation-required
39,17158,18299,3380,3730,0.85091421,large-delta,305,183,37,318,522,3025,27c957c0cdb7e27903700b0fa95825722b93d14e3619f90cab58ec40d9c487db,8125b794168f93206cfd824e181049ba592a8da2445bdf2b0b09ef907ba8ec72,review-and-propagation-required
40,62381,81152,13422,18134,0.74065154,large-delta,1091,2317,325,1411,4131,11686,5e0d2038b59bb38c0812ca1de8b4a29db235c1a7e783246fcf70a87bd08478a7,9baf6503db9b264e1f036924519d3e3435780f098aac0c56b3f98296435544af,review-and-propagation-required
41,19050,26569,4237,6041,0.63202958,large-delta,507,777,58,931,2016,3248,a369ce48179a74c4e827751f5d8bdda3827881899c2d7f045c0004e6b8b3299e,915cbca3b237c5006b66963addf3fba709cbb80dc64939091712d0f1d29adda6,review-and-propagation-required
42,18151,23372,3982,5539,0.57451948,large-delta,721,626,39,1208,2178,2735,6a67e6643676fcb29551041b9a2e44a5a0052a07f39d3924bfce2404de068eec,875338c523211e11eecb04106fe5cbce89577472a691d19f3097c5cfa186064c,review-and-propagation-required
