expose,old_chars,new_chars,old_tokens,new_tokens,similarity,delta_band,diff_hunks,inserted_tokens,deleted_tokens,replaced_old_tokens,replaced_new_tokens,equal_tokens,old_normalized_sha256,new_normalized_sha256,english_sync_status
I,116071,116469,40071,40271,0.98842449,moderate-delta,208,157,187,178,408,39706,1c1541a646f110465aa7dc723d221cffbe415816826a2519cc8e2e8db79e1270,cf5cdd98dc5a71aa30688e42ba78fbab65e5723c0b0011a91bcc53282d5590cb,review-and-propagation-required
III,128852,132172,47319,48926,0.95491714,large-delta,537,1475,513,853,1498,45953,a4221b5d40bf7d079420e2f647e69dd9c1b0807bc8c84d7733cdc8de9f530180,8c66fbf6c1f9ad1c1be03afdf44de913cb5fc214cf222b695d09586553bd95ca,review-and-propagation-required
III B,126009,128887,45676,46962,0.96256396,large-delta,563,881,264,827,1496,44585,8dc9b3b42e25ec57d1df6dd09dc22953127dbcddc1fc8d2458a9ba015503ceef,f6ff5730f22ddcf989307f59e4078270f95d51276669411666cba0b0bcc5b5bd,review-and-propagation-required
V,75961,76838,24656,25091,0.98506443,moderate-delta,92,447,52,102,142,24502,df79b24967f16e97ea0a1a7dd0306d8fa506b80ce4c46f950c60f155415e054d,2987afdef86f53a1ba644f67cdfb3255b3935fbca97963805d046f2e3b2ffdfb,review-and-propagation-required
VI,49199,49276,13599,13635,0.99493280,moderate-delta,57,54,7,44,33,13548,ed932b33dc49fb6fd23df699ca1e725782a2692216d53bcc071e47172d30846e,ce944c0d3ed766d2abda4cf33161598efef78928bbfefe3a887ee15f31110a1d,review-and-propagation-required
VII,104424,107074,36916,38018,0.98006245,moderate-delta,205,807,60,136,491,36720,e38d1b6f4f2b79c49de862a5c8e0583aa533ef4a34ffe04cf8a27b7d63fb3c85,63df1b40a8deed67e94baad0d9ef9e3f596ba69f92531150991f789ecbcbe70f,review-and-propagation-required
VIII,30028,30225,9065,9135,0.98989011,moderate-delta,81,36,11,46,91,9008,cbdfec608794e6dbac0eb591b11daa0e6d7efe7018888efcec56cbfa17079173,d628f0bdc51b6085cf17fb7fd2120c8c7fd5cb75dc31133517e343954bf92166,review-and-propagation-required
X,44993,49107,15354,16792,0.92726933,large-delta,256,833,128,322,1055,14904,8ad331b92936a36e100ec2085558167049a18fa4ff01efc139b375f2c194658c,b9bdaf4dbafd206d5dcd548bdd1f83d95982f16b8f66e5964458bf902e3f2464,review-and-propagation-required
XII,34636,41596,13143,16065,0.81279102,large-delta,181,2137,156,1117,2058,11870,3276f84303db0040a439a8a2c9c85ecf2cca19d0b7088356be73acb3f41ceb8e,2e7afc810bfb39c4bfbb327f8c9e38df8bd2d8d6e8197fd92131802f62b4b411,review-and-propagation-required
XV,68071,70335,23463,24496,0.96044538,large-delta,196,265,33,399,1200,23031,06e4e23f9baf046175d03cd7b4bb48c6cb28ac1ea8a838bc9042fcb81a92dffb,2547a1876cc10c6339559f977002d8a0933360f97cdaca28428509b70a500aad,review-and-propagation-required
