script,scope,source,target,mapping_class,review_status,evidence_basis
Latin,contextual_exception,sootvětni prosti idealy,pridružene proste idealy,fixed_technical_compound,reviewed_execute,existing canonical technical term or governed-case context; checked against aligned source/corpus usage
Latin,contextual_exception,iz sootvětnosti,iz odpovědanja,active_participle_adjective_or_adverb,reviewed_execute,existing canonical technical term or governed-case context; checked against aligned source/corpus usage
Latin,surface_default,sootvetna,odpovědajuča,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvetne,odpovědajuče,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvetno,odpovědajuče,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvetnom,odpovědajučem,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvetnomu,odpovědajučemu,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvetny,odpovědajuči,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvętujut,odpovědajut,finite_verb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvěta,odpovědaje,finite_verb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětajut,odpovědajut,finite_verb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětajuči,odpovědajuči,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětiti,odpovědati,infinitive,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětna,odpovědajuča,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnaja,odpovědajuča,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětne,odpovědajuče,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětni,odpovědajuči,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnih,odpovědajučih,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětniti,odpovědati,infinitive,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětno,odpovědajuče,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnogo,odpovědajučego,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnoj,odpovědajučej,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnom,odpovědajučem,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnomu,odpovědajučemu,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnost,odpovědanje,verbal_noun_case_form,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnosti,odpovědanju,verbal_noun_case_form,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnovali,odpovědali,finite_verb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnu,odpovědajuču,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnuje,odpovědaje,finite_verb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnuju,odpovědajut,finite_verb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnujut,odpovědajut,finite_verb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnuti,odpovědati,infinitive,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnuče,odpovědajuče,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětny,odpovědajuči,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnych,odpovědajučih,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnye,odpovědajuče,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnyh,odpovědajučih,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnym,odpovědajučim,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětnymi,odpovědajučimi,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětná,odpovědajuča,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
Latin,surface_default,sootvětné,odpovědajuče,active_participle_adjective_or_adverb,reviewed_execute,accepted odpovědati family re-head; official first-conjugation participle grammar; local dictionary headword; canonical corpus attestation
