gate_id,branch_head,lane,owner_route,source_use_gate,instruction,previous_source_witness_rows,required_evidence_fields,label_boundary
8F7D-GATE-0001,8f7d1cb30ca4347812d05bfbe110b134bb758870,Arabic,Arabic RTL split/F and Arabic draft lane,source-body-present,target/source body path and hash are visible; owner lane may draft only as generated-draft/noncanonical,554,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0002,8f7d1cb30ca4347812d05bfbe110b134bb758870,Arabic,Arabic RTL split/F and Arabic draft lane,pointer-only,URL/path pointer exists but body/hash missing; keep as recovery/gap row,554,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0003,8f7d1cb30ca4347812d05bfbe110b134bb758870,Arabic,Arabic RTL split/F and Arabic draft lane,adverse-evidence-required,do-not-use/adverse evidence check must precede candidate term selection,554,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0004,8f7d1cb30ca4347812d05bfbe110b134bb758870,Arabic,Arabic RTL split/F and Arabic draft lane,normalization-required,normalization/marker source must be cited for interlinear scaffolding,554,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0005,8f7d1cb30ca4347812d05bfbe110b134bb758870,CJK,CJK split/E and CJK source-evidence draft lane,source-body-present,target/source body path and hash are visible; owner lane may draft only as generated-draft/noncanonical,426,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0006,8f7d1cb30ca4347812d05bfbe110b134bb758870,CJK,CJK split/E and CJK source-evidence draft lane,pointer-only,URL/path pointer exists but body/hash missing; keep as recovery/gap row,426,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0007,8f7d1cb30ca4347812d05bfbe110b134bb758870,CJK,CJK split/E and CJK source-evidence draft lane,adverse-evidence-required,do-not-use/adverse evidence check must precede candidate term selection,426,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0008,8f7d1cb30ca4347812d05bfbe110b134bb758870,CJK,CJK split/E and CJK source-evidence draft lane,normalization-required,normalization/marker source must be cited for interlinear scaffolding,426,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0009,8f7d1cb30ca4347812d05bfbe110b134bb758870,OLP,Session K / OLP relation-function support,source-body-present,target/source body path and hash are visible; owner lane may draft only as generated-draft/noncanonical,390,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
8F7D-GATE-0010,8f7d1cb30ca4347812d05bfbe110b134bb758870,OLP,Session K / OLP relation-function support,pointer-only,URL/path pointer exists but body/hash missing; keep as recovery/gap row,390,source path; source sha256; source-use label; access/license signal if present; formula-neighboring context; adverse-evidence check; reviewer question,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion
