lane_delta_id,branch_head,lane,owner_route,previous_source_witness_rows,source_linked_summary_rows,recovery_gap_rows,required_next_artifact,authority_lane_action,must_not,b3_route
8F7D-LANE-01,8f7d1cb30ca4347812d05bfbe110b134bb758870,Arabic,Arabic RTL split/F and Arabic draft lane,554,,29,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-02,8f7d1cb30ca4347812d05bfbe110b134bb758870,CJK,CJK split/E and CJK source-evidence draft lane,426,,43,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-03,8f7d1cb30ca4347812d05bfbe110b134bb758870,OLP,Session K / OLP relation-function support,390,,24,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-04,8f7d1cb30ca4347812d05bfbe110b134bb758870,Pan-Turkic,Session J / Pan-Turkic blocker lane,647,,16,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-05,8f7d1cb30ca4347812d05bfbe110b134bb758870,Persianate/Tajik,Persianate/Tajik split/F,474,,30,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-06,8f7d1cb30ca4347812d05bfbe110b134bb758870,R6,Session I / Indigenous-Creole-Sign access lane,621,,27,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-07,8f7d1cb30ca4347812d05bfbe110b134bb758870,R7,Session G / Malay-SEA-Pacific lane,222,,15,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-08,8f7d1cb30ca4347812d05bfbe110b134bb758870,R9,Session H / Africa-Horn-West Africa lane,2445,,19,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-09,8f7d1cb30ca4347812d05bfbe110b134bb758870,Romance,Romance split lane,975,,40,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
8F7D-LANE-10,8f7d1cb30ca4347812d05bfbe110b134bb758870,Slavic,Session L / Slavic canonical baseline,6261,,14,"owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows",route and enforce Fable/source-use/adverse-evidence standards; do not invent target-language renderings,native review; accepted terminology; canonical approval; license clearance; source certification; gate promotion; final status; bridge/pilot; translation completion,B3/package steward packages; this lane does not push
