"source_use_label","lead_id","language_gate","title","access_or_body_signal","url","next_action"
"source-gated support candidate for Urdu only; not Arabic/Persian/Dari/Tajik/Hindustani authorization","UR-WEB-20260706-001","ur_Arab","Urdu Wikibooks linear algebra chapter index","web/native HTML; raw bodies already captured locally in cycle3","https://ur.wikibooks.org/wiki/%D9%84%DA%A9%DB%8C%D8%B1%DB%8C_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7","Use as captured source-body candidate; continue university/open-course PDF search."
"source-gated Urdu eigen/linear-algebra support only","UR-WEB-20260706-002","ur_Arab","Urdu Wikibooks eigenvalue/eigenvector/eigenspace chapter","web/native HTML with formula-neighboring prose; raw body captured locally in cycle3","https://ur.wikibooks.org/wiki/%D9%84%DA%A9%DB%8C%D8%B1%DB%8C_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7/%D8%A8%D8%A7%D8%A8_6","Use for draft/non-canonical scaffold rows; seek independent PDF witness."
"comparator/source-context lead only; not accepted terminology","UR-WEB-20260706-003","ur_Arab","Urdu Wikipedia eigenvalue page","web encyclopedia comparator","https://ur.wikipedia.org/wiki/%D9%88%DB%8C%DA%98%DB%81_%D9%82%D8%AF%D8%B1","Keep as adverse/comparator lead; do not use to certify terms."
"glossary comparator only, not advanced linear-algebra source body","UR-WEB-20260706-004","ur_Arab","NYU Urdu math glossary PDF","PDF glossary; school-level math terms","https://docs.steinhardt.nyu.edu/pdfs/metrocenter/atn293/pdf/next_generation_math_glossary_terms_only_Urdu.pdf","Record as glossary lead; not sufficient for R3 proof/lecture witness."
"recovery lead only; possible generated/translated web text","UR-WEB-20260706-005","ur_Arab","Elevify Urdu linear algebra course prose","web course page; provenance/source-body uncertain","https://www.elevify.com/ur-pk/%DA%A9%D9%88%D8%B1%D8%B3%D8%B2/%D8%B7%D8%A8%DB%8C%D8%B9%DB%8C-%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%88%D8%B1-%D8%AA%D8%AD%D9%82%DB%8C%D9%82/%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C/%D8%A8%D9%86%DB%8C%D8%A7%D8%AF%DB%8C-%D9%84%DB%8C%D9%86%D8%A6%D8%B1-%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7-%DA%A9%D9%88%D8%B1%D8%B3-6315a","Do not treat as source-body closure; search for institution/open course PDFs."
"Ottoman/Turkic provenance only; not literal Ottoman Arabic-script body","OTA-WEB-20260706-001","ota_Arab","Belleten article on Takiyuddin Cebir Risalesi","modern Turkish article/provenance carrier","https://belleten.gov.tr/tam-metin/2426/tur","Use for manuscript/work tracing; do not draft Ottoman terms from this alone."
"Ottoman/Turkic provenance only; not literal source body","OTA-WEB-20260706-002","ota_Arab","DergiPark PDF for Takiyuddin Cebir Risalesi article","modern article PDF/provenance carrier","https://dergipark.org.tr/en/download/article-file/1641012","Trace cited manuscript/work details; no source certification."
"provenance/recovery lead only","OTA-WEB-20260706-003","ota_Arab","Dört Öge Ottoman mathematics overview","modern Turkish PDF with references","https://dergipark.org.tr/tr/download/article-file/567503","Use references for Cebir Risalesi and Hesab-i Tahlili recovery."
"provenance/recovery lead only","OTA-WEB-20260706-004","ota_Arab","Istanbul University thesis on Vidinli Hüseyin Tevfik Paşa","modern thesis PDF; points to Usul-i Cebir/Zeyl-i Usul-i Cebir","https://nek.istanbul.edu.tr/ekos/TEZ/52058.pdf","Trace catalog/scans for literal Ottoman-script algebra bodies."
"provenance/recovery lead only","OTA-WEB-20260706-005","ota_Arab","Yildiz PDF on Ottoman mathematics education and early mathematicians","modern PDF overview","https://www.ek.yildiz.edu.tr/images/images/yayinlar/osmanlidailkmatematikciler.pdf","Use bibliography for source-body search; no term promotion."
