"id","location","category","prior_english","current_english","authority","evidence","status"
"N25-001","printed title","source paratext","title omitted the final period","restored the printed final period","original JDMV/GDZ scan and R823 German authority","printed p. 116; R823 line 1","applied-source-fidelity"
"N25-002","opening block","source paratext","lecture occasion and author/place line omitted","restored the Marburg lecture line and By Emmy Noether in Göttingen","original JDMV/GDZ scan and R823 German authority","printed p. 116; R823 lines 9-12","applied-source-fidelity"
"N25-003","opening note","source apparatus","ordinary footnote attached to the first prose paragraph","restored source marker 1) on the lecture line and retained its note at page foot","original JDMV/GDZ scan and 1000 dpi opening crop","printed p. 116; crop SHA-256 57D6B20A...87C7","applied-source-fidelity"
"N25-004","step I display","mathematical notation","used modernized congruence notation \\pmod{\\mathfrak a}","restored printed \\equiv 0\\,(\\mathfrak a)","original JDMV/GDZ scan and R823 German authority","printed p. 118; R823 line 37","applied-source-fidelity"
"N25-005","step III Galois field","mathematical object identity","used unbarred \\mathfrak R for both the field of zeros and its Galois closure","restored \\overline{\\mathfrak R} for the second field only","original JDMV/GDZ scan and targeted native600 crop","printed p. 119; crop SHA-256 33054F6C...E8E90","applied-substantive"
"N25-006","steps 1 I and IV","controlled terminology","used largest primary function component and factor","uses greatest primary function component and factor","Paper 24 English terminology cohort and German größte","23 Paper 24 greatest-primary uses and zero largest-primary uses","applied-terminology"
"N25-007","step IV and closing integration","controlled terminology","used ground ideal","uses fundamental ideal","Paper 24 English terminology cohort and German Grundideal","34 Paper 24 fundamental-ideal uses and zero ground-ideal uses","applied-terminology"
"N25-008","steps 2 II III and closing","translation accuracy","used zero field","uses field of zeros","Paper 24 English terminology cohort and German Nullstellenkörper","sibling terminology control; not independent source attestation","applied-terminology"
"N25-009","step IV module clause","mathematical relation","said P(x_{i+1},...,x_n) was taken as a basis","identifies it as the coefficient field","R823 German Zugrundelegung and preceding coefficient-domain clause","R823 line 45","applied-substantive"
"N25-010","step II zero tuple","mathematical grammar","alpha_1,...,alpha_n denotes a zero","(alpha_1,...,alpha_n) is a zero","R823 German authority","R823 line 32","applied-accuracy"
"N25-011","step I zero sets","mathematical semantics","could be read as every associated prime having the same zero set","states that the ideal zero set is the union of the associated-prime zero sets","ideal decomposition semantics and R823 German authority","R823 lines 26-29","applied-clarification"
"N25-012","step IV quotient description","mathematical semantics","residue classes of isolated components","residue classes modulo isolated components","R823 German Restklassen ... nach","R823 line 49","applied-accuracy"
"N25-013","step 4","controlled mathematical English","linearly independent with respect to P","linearly independent over P","English mathematical register","German inbezug auf P","applied-terminology"
"N25-014","step III fundamental form","mathematical grammar","beta denotes a zero system in the y","beta=(beta_1,...,beta_n) is a zero tuple in the y-variables","R823 German authority","R823 line 43","applied-accuracy"
"N25-015","closing two paragraphs","translation accuracy","insertion subordinated and has the meaning of a resultant","integration subsumed and has a resultant interpretation","German Einordnung ordnet sich unter and Resultantenbedeutung","R823 lines 51-57","applied-prose"
"N25-016","opening and ideal definition","translation accuracy","stale literal syntax obscured field-theory and finite-basis relations","recast the English syntax without altering propositions or controlled terms","R823 German authority and complete RA10 English control","R823 lines 13-25","applied-prose"
"N25-017","collected-edition facsimile","adverse evidence","later facsimile might be treated as governing the opening apparatus and barred field","retained as adverse witness only because it omits the apparatus and the p. 119 overbar","original journal scan outranks later collected-edition reproduction at disputed loci","adverse SHA-256 B8675460...ADB8","rejected-as-governing-witness"
"N25-018","paper boundary","scope/layout","shared source pages include preceding and following articles","component begins at Noether title on p. 116 and ends at received date on p. 120","original JDMV/GDZ scan and R823 paper boundary","five printed pages inspected","disposed-no-English-change"
