"path","role","sha256","bytes","publication_status"
"Noether_Paper25_English_R823_SourceChecked.tex","promoted editable English source","A6A82132029FA3E88A1319D56A70DAF95CC45AB9AC448A30D65F40C23AE92533","27302","component-ready"
"output/pdf/Noether_Paper25_English_R823_SourceChecked.pdf","promoted compiled English reader","F4118520E9B1FE62A9074449DBA8855F74FE2928A08A42D3E1AA93B493BDA43F","215099","component-ready"
"output/pdf/Noether_Paper25_English_R823_SourceChecked.log","final pdflatex transcript","1FF2CE7D0987F0AE5108AD009844BF190A6C8E6AD037CD1D6B504CCAACF4A271","27713","qa-support"
"source/Noether_Paper25_English_standalone_control.tex","prior editable English control","5CF60297F40C3CBD88B4DC6AED68EB9B675BBAC604CA9C8B0F1B89CD0083BFDD","26858","source-control"
"source/Noether_Paper25_English_RA10_control.tex","complete RA10 English extraction","6999C9C189E07F2D8F3431188A6AAF9862E8AD32D2535731DA0F8EEDF76CAE39","12612","source-control"
"source/Noether_Paper25_German_R823_authority.tex","current German authority extraction","60F3335CA5AB41A5D660E54983261ADAA0506334ABBD81A61D15A53B8F3B7258","13248","source-control"
"CORRECTION_LEDGER.csv","R823 correction terminology and adverse-witness disposition","F06B536DFEFC23E599F9D1FC6E90C7A7E3FA9E897677906DC47EF080FEB8A02D","4958","audit-support"
"SOURCE_DEPENDENCY.md","typed authority provenance dependence and adjudication","97B3FE175390EE55459289B95B90D2B44501010A776BFFF9C92ED1CD371DC207","5286","audit-support"
"STATUS.md","scope and continuation status","416EE7FD5A4DE462F464E352380FF182E590E1525A5CF7F823FD0757F365187B","943","audit-support"
"BUILD_AND_VISUAL_QA.md","compile render and visual-QA record","3666FCDBE169EC5444B6194C582320785834B84FDCB0610B71015AC6E01BE469","1255","qa-support"
"PUBLICATION_READINESS.md","hard-gate publication decision","31358F665B838D532DE5D8CAD7EB25A0F67278C9F48AF7AA548C2C0B215354B8","671","zenodo-hold"
"ZENODO_PAYLOAD_MANIFEST.csv","proposed next-version component routing","2A99D5A69A782F624488A04A1CF3510CA56E70613DBB724DCC206A6EC4D82FCF","730","zenodo-hold"
"render_check/paper25-1.png","final visual-QA page 1","3DAF7375BE2493E6AFFA96B16E3985B7C84764B0C330E244C440C78CEE08E3FA","508307","qa-support"
"render_check/paper25-2.png","final visual-QA page 2","15FB5C0DCAA91A654224211BE5E23F9F070F5F61B852178B4130342713145868","549525","qa-support"
"render_check/paper25-3.png","final visual-QA page 3","6173E63EE16F25B44A127F4CDEAC3F4A9C85CBF4D8105E3806DF69BABC572352","127237","qa-support"
