"language","unit","public_postrepair_path","public_prechange_path","pre_sha256","post_sha256","post_bytes"
"interslavic","intro","current/tex/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex","prechange/tex/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex","6D10B190F1ADE83982B4CB27271E308AB3EB43F7D4056EB8C5DD62F2709D688A","A2244E98B56E8C1E61A46526971B6BEF2C5ECC13B0928BFA9F4A5708BAB2FDA1","9687"
"interslavic","s02","current/tex/interslavic/v001/Noether_Paper04_Section02_Interslavic_v001.tex","prechange/tex/interslavic/v001/Noether_Paper04_Section02_Interslavic_v001.tex","C609CFB21A902401AF5B99FD3B90C970AC3FC41B6B3E049F2D7A486E728488F8","537A115AE93A2CB72751359E713B3D931E0DA965459BC4DF525F532F2AF222CD","8632"
"interslavic","s03","current/tex/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex","prechange/tex/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex","54306B7C809C60CAC19AE21B7483922C349BE5D2F585B00E94239135F640C1CB","F91C649465A9E534293AC5242557886F97DA03125A48771B830AE901E93DC9CA","11919"
"interslavic","s04","current/tex/interslavic/v001/Noether_Paper04_Section04_Interslavic_v001.tex","prechange/tex/interslavic/v001/Noether_Paper04_Section04_Interslavic_v001.tex","3121F855AE25C461FC0F92D637DFBED5010FAF77F147124F7F6C9E1E090DF8D7","EFFDA05FEF9A9824925B525654AD65183BAAD36C15BBCE307CFC991F6B300E6B","8182"
"interslavic-cyrillic","intro","current/tex/interslavic-cyrillic/v001/Noether_Paper04_Introduction_Interslavic_Cyrillic_v001.tex","prechange/tex/interslavic-cyrillic/v001/Noether_Paper04_Introduction_Interslavic_Cyrillic_v001.tex","4251878B6EC3584307C864BD685E4D2AD2721D059F7E7B3FD921E4D58A5E9843","73A7A6423CF0340D03FC3149B89C837D8BB2AF42F476AFA18BDAB894AE98601F","14765"
"interslavic-cyrillic","s02","current/tex/interslavic-cyrillic/v001/Noether_Paper04_Section02_Interslavic_Cyrillic_v001.tex","prechange/tex/interslavic-cyrillic/v001/Noether_Paper04_Section02_Interslavic_Cyrillic_v001.tex","D079BEFBA258A2D9D1516CBD63DC849B1FEDB091A6A3D118A4AE5BACE9724E95","DE07F43C079443D94946BEFCCDED2AE9A2D1EB023EB342BDD592CDB2B67EFAFB","12864"
"interslavic-cyrillic","s03","current/tex/interslavic-cyrillic/v001/Noether_Paper04_Section03_Interslavic_Cyrillic_v001.tex","prechange/tex/interslavic-cyrillic/v001/Noether_Paper04_Section03_Interslavic_Cyrillic_v001.tex","08AF013FABBE6F379F3D6B01B2E5596ACCF16B9DFA17453D7F4EB1C099B44A1C","1DAD993AC6014F302F9ED85010229B9B46B0657BE89E3F1153ECF09E47D55FBF","15601"
"interslavic-cyrillic","s04","current/tex/interslavic-cyrillic/v001/Noether_Paper04_Section04_Interslavic_Cyrillic_v001.tex","prechange/tex/interslavic-cyrillic/v001/Noether_Paper04_Section04_Interslavic_Cyrillic_v001.tex","9DEE8249C59B0162DB234D2979C768A0B072B39C0963BB9C97CA0F28DBBF5CEC","4FF6C7A127079FED9C35DDC1BB0068E02A22900437C941A96EF700014CD3BFC8","10105"
"russian","intro","current/tex/russian/v001/Noether_Paper04_Introduction_Russian_v001.tex","prechange/tex/russian/v001/Noether_Paper04_Introduction_Russian_v001.tex","1967226DFE9246B5696679134260EFF240288E4003EC4045A357AE4F4B068C53","6EA6562172E6BC373F9EE854A0C5E1E1A8A6910FD367359AB47C9E86CADE163E","15164"
"russian","s02","current/tex/russian/v001/Noether_Paper04_Section02_Russian_v001.tex","prechange/tex/russian/v001/Noether_Paper04_Section02_Russian_v001.tex","4EDCF26F02DBFA586CF3689CD13247A688709DBA205EAAA98B8B989B41119AFE","A042DE7DAA078CEEE123B884A8A79389691396FBA01C18573E8CFC70492C6A00","13795"
"russian","s03","current/tex/russian/v001/Noether_Paper04_Section03_Russian_v001.tex","prechange/tex/russian/v001/Noether_Paper04_Section03_Russian_v001.tex","176E9A676B970D88CC49E316F789DD043211FCB6BB3816E17ED09DD1B7392E76","95A5C13A93CAEF1AB5956A955E5F577465E9C17AC8611A2B3742E42F3C059CBC","16026"
"russian","s04","current/tex/russian/v001/Noether_Paper04_Section04_Russian_v001.tex","prechange/tex/russian/v001/Noether_Paper04_Section04_Russian_v001.tex","B6B007FD4620F8133F2CEF1B02A150AC3D29D68EE65480C09C9B97CBFE05F8AC","5B75154F9A29C030750A8F640EE7C45EE3C8381DC7855BB4DDC4E17F5CD21E28","10309"
"ukrainian","intro","current/tex/ukrainian/v001/Noether_Paper04_Introduction_Ukrainian_v001.tex","prechange/tex/ukrainian/v001/Noether_Paper04_Introduction_Ukrainian_v001.tex","97336ACDBE8F842E9370E7760B19F80C6F9AC53186F3F2683E000679D4B77A43","CF620A96689ED2028F95F106449B7131FD1FA39A5E411CECCBCF953A2165DF78","14429"
"ukrainian","s02","current/tex/ukrainian/v001/Noether_Paper04_Section02_Ukrainian_v001.tex","prechange/tex/ukrainian/v001/Noether_Paper04_Section02_Ukrainian_v001.tex","75946A784A6FACED58B76B8087AF46004C111FC4BBC406949645041A42E770E6","AA913D40F07B7D11A96FC07BD56CE76691D5B495B5E7AD633693102CD9494B87","12727"
"ukrainian","s03","current/tex/ukrainian/v001/Noether_Paper04_Section03_Ukrainian_v001.tex","prechange/tex/ukrainian/v001/Noether_Paper04_Section03_Ukrainian_v001.tex","95D141EA5D82DC2810C0C4598D0F8ABFAF5B1DFA2219E9DAA01B3136F4D2F26F","633F36AA4A26111B65644A8FEE1811DD20E25AE149109003DCEA534C5957D82E","15390"
"ukrainian","s04","current/tex/ukrainian/v001/Noether_Paper04_Section04_Ukrainian_v001.tex","prechange/tex/ukrainian/v001/Noether_Paper04_Section04_Ukrainian_v001.tex","507FC9015E4202C1863233B0C7E4B2722D31C36DF7EEFB18CA53AD1B5A58DE61","0AD22847875442C609636BF638D025EB165A87C84BB91EEF55D1BD0F9D864945","10090"
