state,flag,row_count,unique_term_id_count,duplicate_excess
F10_v1_old_1254,F10-0,210,210,0
F10_v1_old_1254,F10-1,963,942,21
F10_v1_old_1254,F10-2,20,20,0
F10_v1_old_1254,F10-3,42,40,2
F10_v1_old_1254,F10-4,19,19,0
F10_postwriteback_1229,F10-0,203,203,0
F10_postwriteback_1229,F10-1,947,934,13
F10_postwriteback_1229,F10-2,19,19,0
F10_postwriteback_1229,F10-3,41,41,0
F10_postwriteback_1229,F10-4,19,19,0
automaton_v2_snapshot,F10-0,213,210,3
automaton_v2_snapshot,F10-1,961,940,21
automaton_v2_snapshot,F10-2,20,20,0
automaton_v2_snapshot,F10-3,42,40,2
automaton_v2_snapshot,F10-4,18,18,0
tail_routing_v1,F10-1 routed unique IDs,934,934,0
