automaton_term_id,stateC_term_id,match_quality,post_duplicate_count,chosen_form_latin,automaton_f10,stateC_f10,automaton_E,automaton_W,automaton_S,stateC_E,stateC_W,stateC_S,delta_E,delta_W,delta_S,route,route_key,recommended_action_v2
ISV-unnamed--30_marca_1926,ISV-30_märz_1926--30_marca_1926,unique_form,1,30. marca 1926.,F10-1,F10-1,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--a_jest_děljiva_črez_,ISV-a_ist_teilbar_durch_t_vielfaches_a_von_t--a_jest_děljiva_črez_,unique_form,1,"a jest děljiva črez t / ideal a, kratny od t",F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--abelove_grupypolja,ISV-abelsche_gruppenkörper--abelove_grupypolja,unique_form,1,Abelove grupy/polja,F10-1,F10-1,3.0,0.0,0.0,3,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--absolutno_algebraičn,ISV-absolut_algebraischer_körper--absolutno_algebraičn,unique_form,1,absolutno algebraično polje,F10-0,F10-0,2.0,1.0,1.0,2,1,1,0.0,0.0,0.0,,,ACCEPTABLE_LOW_PRIORITY
ISV-unnamed--adjungovati_funkciju,ISV-adjungieren_von_log_x_zum_rationalitätsb--adjungovati_funkciju,unique_form,1,adjungovati funkciju log x k oblasti racionalnosti,F10-1,F10-1,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--adjungujemo,ISV-adjungieren--adjungujemo,unique_form,1,adjungujemo,F10-1,F10-1,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--adjunkcija,ISV-adjunktion--adjunkcija,unique_form,1,adjunkcija,F10-0,F10-0,2.0,0.0,0.0,3,0,0,1.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--adjunkcija_adjungova,ISV-adjunktion_adjungieren--adjunkcija_adjungova,unique_form,1,adjunkcija / adjungovati,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--afekt_bez_afekta,ISV-affekt_affektlos--afekt_bez_afekta,unique_form,1,afekt / bez afekta,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraična_baza,ISV-algebraische_basis--algebraična_baza,unique_form,1,algebraična baza,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraična_baza_h_i,ISV-algebraische_basis_h_aus_theta--algebraična_baza_h_i,unique_form,1,algebraična baza H iz Theta,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično-cěle_alg,ISV-algebraisch-ganz_algebraisch-gebrochen--algebraično-cěle_alg,unique_form,1,algebraično-cěle / algebraično-drobne,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično-cěle_sub,ISV-algebraisch-ganzzahlige_substitutionen_a--algebraično-cěle_sub,unique_form,1,algebraično-cěle substitucije / cěle algebraične čisla,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično-cělo_zat,ISV-algebraisch-ganz_abgeschlossen--algebraično-cělo_zat,unique_form,1,algebraično-cělo zatvorjena,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično-cělo_zav,ISV-algebraisch-ganz_abhängig_von_hxi_i--algebraično-cělo_zav,unique_form,1,"algebraično-cělo zavisi od [H,xi_i]",F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično-drobno_č,ISV-algebraisch-gebrochene_zahl--algebraično-drobno_č,unique_form,1,algebraično-drobno čislo,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično_obrazova,ISV-algebraic_gebilde--algebraično_obrazova,unique_form,1,algebraično obrazovanje,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično_zamknjen,ISV-algebraisch-abgeschlossener_unterring_p--algebraično_zamknjen,unique_form,1,algebraično zamknjeno podkolco P,F10-3,F10-3,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,P1_REVIEW_ADVERSE_OR_COMPETITOR
ISV-unnamed--algebraično_zavisimy,ISV-algebraisch_abhängig_unabhängig--algebraično_zavisimy,unique_form,1,algebraično zavisimy / nezavisimy,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično_zavisny_,ISV-algebraisch-abhängig_algebraisch-unabhän--algebraično_zavisny_,unique_form,1,algebraično zavisny / algebraično nezavisny,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično_zavisny_,ISV-algebraisch_abhängig_unabhängig--algebraično_zavisny_,unique_form,1,algebraično zavisny / nezavisny,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--algebraično_čislovo_,ISV-algebraischer_zahlkörper--algebraično_čislovo_,unique_form,1,algebraično čislovo polje,F10-0,F10-0,2.0,1.0,1.0,2,1,1,0.0,0.0,0.0,,,ACCEPTABLE_LOW_PRIORITY
ISV-unnamed--baza_direktnoj_sumy_,ISV-basis_der_direkten_summe_blockdiagonale_--baza_direktnoj_sumy_,unique_form,1,baza direktnoj sumy / blokovo-diagonalna diskriminantna matrica,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--baza_diskriminantnog,ISV-idealbasis_des_diskriminantenideals--baza_diskriminantnog,unique_form,1,baza diskriminantnogo ideala,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--baza_prirěđena_posrě,ISV-vermöge_des_isomorphismus_zugeordnete_ba--baza_prirěđena_posrě,unique_form,1,baza ... prirěđena posrědstvom izomorfizma,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--baza_razširjenogo_id,ISV-basis_des_erweiterungsideals_des_diskrim--baza_razširjenogo_id,unique_form,1,baza razširjenogo ideala diskriminantnogo ideala,F10-0,F10-0,2.0,1.0,0.0,2,1,1,0.0,0.0,1.0,,,ACCEPTABLE_LOW_PRIORITY
ISV-unnamed--baza_za_tvorjenje_sl,ISV-basis_zur_erzeugung_der_spur--baza_za_tvorjenje_sl,unique_form,1,baza za tvorjenje slěda,F10-1,F10-1,3.0,0.0,0.0,3,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--bazis_modula_konečny,ISV-modulbasis_endliche_modulbasis--bazis_modula_konečny,unique_form,1,bazis modula / konečny bazis modula,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--beskonečno_mnogo_raz,ISV-unendlich_viele_zerlegungen--beskonečno_mnogo_raz,unique_form,1,beskonečno mnogo razkladov,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--bez_povtorjenja_jedi,ISV-ohne_wiederholung_einmal_und_nur_einmal--bez_povtorjenja_jedi,unique_form,1,bez povtorjenja / jedin raz i samo jedin raz,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--binarna_forma_binarn,ISV-binäre_form_binäre_linearform--binarna_forma_binarn,unique_form,1,binarna forma / binarna linearna forma,F10-0,F10-0,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--blokovo-trikutna_for,ISV-block-dreiecksform_matrizendarstellung--blokovo-trikutna_for,unique_form,1,blokovo-trikutna forma / matrično predstavjenje,F10-2,F10-2,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,OVERCLAIM_BACKFILL_NEEDED
ISV-unnamed--ciklotomične_polja,ISV-kreiskörper--ciklotomične_polja,unique_form,1,ciklotomične polja,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--cěla_racionalna_funk,ISV-ganze_rationale_funktion--cěla_racionalna_funk,unique_form,1,cěla racionalna funkcija,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--cěle_algebraične_fun,ISV-ganze_algebraische_funktionen--cěle_algebraične_fun,unique_form,1,cěle algebraične funkcije,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--cěle_racionalne_funk,ISV-ganze_rationale_funktionen--cěle_racionalne_funk,unique_form,1,cěle racionalne funkcije,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--cěle_veličiny_libovo,ISV-ganze_größen_eines_beliebigen_körpers--cěle_veličiny_libovo,unique_form,1,cěle veličiny libovoljnogo polja,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--cělokupnost,ISV-gesamtheit_aller_gesamtheit_der_restklas--cělokupnost,unique_form,1,cělokupnost,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--cěločislovy_invarian,ISV-ganzzahlige_invariante--cěločislovy_invarian,unique_form,1,cěločislovy invariant,F10-2,F10-2,3.0,0.0,0.0,3,1,1,0.0,1.0,1.0,,,OVERCLAIM_BACKFILL_NEEDED
ISV-unnamed--cěp_děliteljev,ISV-teilerkette--cěp_děliteljev,unique_form,1,cěp děliteljev,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--cěp_děliteljev_ili_k,ISV-teiler-_oder_vielfachenkette--cěp_děliteljev_ili_k,unique_form,1,cěp děliteljev ili kratnikov,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--cěp_kratnyh,ISV-vielfachenkette--cěp_kratnyh,unique_form,1,cěp kratnyh,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--definicija_se_pokryv,ISV-die_definition_deckt_sich_mit_der_in_7_1--definicija_se_pokryv,unique_form,1,"definicija se pokryva s definicijeju v §7, 1",F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
