term_id,chosen_form_latin,f10_flag,E,W,S,I,X,safe_to_show_external,required_fix,route,route_key,c2_priority,shelf_langs,witness_writeback_level,witness_writeback_concept
ISV-30_märz_1926--30_marca_1926,30. marca 1926.,F10-1,3,0,0,0,0,review,backfill witness vector from 20-source shelf or mark explicit gap,D_no_route_true_gap,,False,,,
ISV-a_b_c_a_b_c--a_b_c_a_b_c,"A) / B) / C), a) / b) / c)",F10-0,2,0,0,0,1,yes,add W/S witness forms or explicit gap note from the 20-source shelf,,,,,,
ISV-a_b_c_d--a_b_c_d,A) / B) / C) / D),F10-1,2,0,0,0,0,review,backfill witness vector from 20-source shelf or mark explicit gap,D_no_route_true_gap,,False,,,
ISV-a_b_c_d_a_b--a_b_c_d_a_b,"A) / B) / C) / D), a) / b)",F10-1,2,0,0,0,0,review,backfill witness vector from 20-source shelf or mark explicit gap,D_no_route_true_gap,,False,,,
ISV-a_ist_teilbar_durch_t_vielfaches_a_von_t--a_jest_děljiva_črez_,"a jest děljiva črez t / ideal a, kratny od t",F10-1,2,0,0,0,0,review,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,determinant,True,ar;bg;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,,
ISV-abbildungsfunktionen--funkcije_odobraženja,funkcije odobraženja,F10-1,2,0,0,0,0,review,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,coefficient,True,ar;es;fa;fr,,
ISV-abbildungskörper_abbildungsbereich--polje_obrazov_oblast,polje obrazov / oblast obrazov,F10-0,2,1,1,0,0,yes,record witness forms in the term row (currently prose/shelf only),,,,,,
ISV-abbildungssystem--odobražajuči_sistem,odobražajuči sistem,F10-1,2,0,0,0,0,review,backfill witness vector from 20-source shelf or mark explicit gap,B_intl_stem_probeable,sistem,False,all_shelves,,
ISV-abelsche_gruppenkörper--abelove_grupypolja,Abelove grupy/polja,F10-1,3,1,1,0,0,review,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,True,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,concept_shelf,field
ISV-abgeleitetes_hauptideal--glavny_ideal_izveden,"glavny ideal, izvedeny iz p",F10-1,2,0,0,0,0,review,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,ideal,True,be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,,
