automaton_term_id,stateC_term_id,match_quality,post_duplicate_count,chosen_form_latin,automaton_f10,stateC_f10,automaton_E,automaton_W,automaton_S,stateC_E,stateC_W,stateC_S,delta_E,delta_W,delta_S,route,route_key,recommended_action_v2
ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,same_id,1,"A) / B) / C), a) / b) / c)",F10-0,F10-0,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-a_b_c_d--a_b_c_d,ISV-a_b_c_d--a_b_c_d,same_id,1,A) / B) / C) / D),F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,D_no_route_true_gap,,MISSING_WITNESS_BACKFILL
ISV-a_b_c_d_a_b--a_b_c_d_a_b,ISV-a_b_c_d_a_b--a_b_c_d_a_b,same_id,1,"A) / B) / C) / D), a) / b)",F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,D_no_route_true_gap,,MISSING_WITNESS_BACKFILL
ISV-abbildungsfunktionen--funkcije_odobraženja,ISV-abbildungsfunktionen--funkcije_odobraženja,same_id,1,funkcije odobraženja,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,A_probe_covered_concept,coefficient,MISSING_WITNESS_BACKFILL
ISV-abbildungssystem--odobražajuči_sistem,ISV-abbildungssystem--odobražajuči_sistem,same_id,1,odobražajuči sistem,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,B_intl_stem_probeable,sistem,MISSING_WITNESS_BACKFILL
ISV-absolut-irreduzibel--absolutno_ireducibil,ISV-absolut-irreduzibel--absolutno_ireducibil,same_id,1,absolutno ireducibilny,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,A_probe_covered_concept,field,P1_REVIEW_ADVERSE_OR_COMPETITOR
ISV-absolut-irreduzible_darstellung--absolutno_ireducibil,ISV-absolut-irreduzible_darstellung--absolutno_ireducibil,same_id,1,absolutno ireducibilno predstavjenje,F10-1,F10-1,2.0,1.0,1.0,2,1,1,0.0,0.0,0.0,A_probe_covered_concept,field,P1_REVIEW_ADVERSE_OR_COMPETITOR
ISV-absolute_irreduzibilität_absolut_irreduz--absolutna_nerazložim,ISV-absolute_irreduzibilität_absolut_irreduz--absolutna_nerazložim,same_id,1,absolutna nerazložimost / absolutno nerazložimy,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-absoluter_multiplikatorenbereich--absolutna_oblast_mno,ISV-absoluter_multiplikatorenbereich--absolutna_oblast_mno,same_id,1,absolutna oblast množiteljev,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,C_concept_linked_shelf_plausible,multiplier domain,MISSING_WITNESS_BACKFILL
ISV-absolutes_primideal--absolutny_prosty_ide,ISV-absolutes_primideal--absolutny_prosty_ide,same_id,1,absolutny prosty ideal,F10-1,F10-1,2.0,1.0,1.0,2,1,1,0.0,0.0,0.0,A_probe_covered_concept,ideal,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK
ISV-abstrakte_idealtheorie--abstraktna_teorija_i,ISV-abstrakte_idealtheorie--abstraktna_teorija_i,same_id,1,abstraktna teorija idealov,F10-0,F10-0,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-adjunktion--adjunkcija,ISV-adjunktion--adjunkcija,same_id,1,adjunkcija,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
