"artifact","extension","bytes","risky_label_hits","direct_boundary_hits","sample_labels","boundary_resolution","boundary_evidence","method_guardrail_source"
"NOETHER_INTERSLAVIC_LEGIBILITY_LEDGER_20260704.csv",".csv","3151","5","4","current; complete; current; current; current","direct_boundary_present","NOETHER_INTERSLAVIC_LEGIBILITY_LEDGER_20260704.csv","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_INTERSLAVIC_LIMITED_SUPPORT_REVIEW_MICROPACKETS_20260704.csv",".csv","1413","7","3","current; cumulative; reader; cumulative; reader; cumulative; reader","direct_boundary_present","NOETHER_INTERSLAVIC_LIMITED_SUPPORT_REVIEW_MICROPACKETS_20260704.csv","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_INTERSLAVIC_LIMITED_SUPPORT_REVIEW_MICROPACKETS_20260704.md",".md","9813","14","7","current; current; Current; cumulative; reader; Current; current; cumulative","direct_boundary_present","NOETHER_INTERSLAVIC_LIMITED_SUPPORT_REVIEW_MICROPACKETS_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_BASELINE_GAP_CLOSURE_REGISTER_20260704.csv",".csv","11873","45","9","current; cumulative; cumulative; cumulative; Source baseline; current; current; current","direct_boundary_present","NOETHER_SLAVIC_BASELINE_GAP_CLOSURE_REGISTER_20260704.csv","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_BASELINE_WATCHER_20260704.ps1",".ps1","44079","159","11","current; handoff; Cumulative; cumulative; Cumulative; Reader; cumulative; cumulative","direct_boundary_present","NOETHER_SLAVIC_BASELINE_WATCHER_20260704.ps1","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_CANONICAL_BASELINE_ALL_OF_THAT_DONE_20260704.md",".md","14562","27","10","current; Current; Cumulative; handoff; HANDOFF; handoff; complete; release","direct_boundary_present","NOETHER_SLAVIC_CANONICAL_BASELINE_ALL_OF_THAT_DONE_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_CANONICAL_BASELINE_OUTPUT_HASHES_20260704T072423.csv",".csv","6548","4","0","CUMULATIVE; READER; CUMULATIVE; READER","global_guardrail_sidecar_for_machine_hash_ledger","NOETHER_SLAVIC_COMPLETED_READER_LABEL_GUARDRAIL_AUDIT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_CANONICAL_BASELINE_OUTPUT_HASHES_20260704T073433.csv",".csv","7446","4","0","CUMULATIVE; READER; CUMULATIVE; READER","global_guardrail_sidecar_for_machine_hash_ledger","NOETHER_SLAVIC_COMPLETED_READER_LABEL_GUARDRAIL_AUDIT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_CANONICAL_BASELINE_OUTPUT_HASHES_20260704T074124.csv",".csv","8342","4","0","CUMULATIVE; READER; CUMULATIVE; READER","global_guardrail_sidecar_for_machine_hash_ledger","NOETHER_SLAVIC_COMPLETED_READER_LABEL_GUARDRAIL_AUDIT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_CANONICAL_BASELINE_OUTPUT_HASHES_20260704T074444.csv",".csv","8524","4","0","CUMULATIVE; READER; CUMULATIVE; READER","global_guardrail_sidecar_for_machine_hash_ledger","NOETHER_SLAVIC_COMPLETED_READER_LABEL_GUARDRAIL_AUDIT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_CANONICAL_BASELINE_RUN_LOG_20260704.md",".md","31780","86","31","handoff; Current; Current; complete; Current; complete; Current; source baseline","direct_boundary_present","NOETHER_SLAVIC_CANONICAL_BASELINE_RUN_LOG_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_CUMULATIVE_READER_STREAM_ANCHORS_20260704.csv",".csv","2870","22","0","cumulative; cumulative; cumulative; cumulative; cumulative; cumulative; cumulative; cumulative","paired_markdown_boundary","NOETHER_SLAVIC_CUMULATIVE_READER_STREAM_ANCHORS_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
