structural_id,unit_type,parent_id,order_index,source_path,source_line_start,source_line_end,source_char_start,source_char_end,source_printed_page,source_fragment_sha256,target_path,target_line_start,target_line_end,target_char_start,target_char_end,target_printed_page,target_fragment_sha256,cross_references,dependencies,completion_state,review_state,publication_state,boundary_confidence,continuation_cursor
NOE-P29-KO-U02-ROOT-001,work,,0,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,1,15,,,29-31,CC49054C39245CD67DBCB874ADDB30B7B6FC72FD7B70C10303D3A56A4D9305B0,ko/Noether_Paper29_Korean_U02_v001.tex,12,40,,,29-31,D3905C3AD4C8AB71F436F0C2526552253740BCF243EA65E6364B958C18F5402E,NOE-P29-KO-U02-SEC-001,,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-SEC-001,subsection,NOE-P29-KO-U02-ROOT-001,1,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,1,1,,,29,1E4D14E0A4CC064CF50AC07E210BB54ADFC3EC8B120CB2A1F24844D5A8696E3C,ko/Noether_Paper29_Korean_U02_v001.tex,12,12,,,29,CFC338B4EDA2910D8C41496F78A3A9AC6F2D56E6DE21E59DFB04A746EA627E2B,NOE-P29-KO-U02-THM-001;NOE-P29-KO-U02-COR-001,NOE-P29-KO-U02-ROOT-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-THM-001,theorem,NOE-P29-KO-U02-SEC-001,1,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,3,13,,,29-31,C4ACC7B98B42CF3F367189B9B170E7D09FE7D46B6ADB6E648E246C803AC541C6,ko/Noether_Paper29_Korean_U02_v001.tex,14,38,,,29-31,B70B617EE2274C472346440549F60627E1F501E39D8073EBDB002999F6F9D240,NOE-P29-KO-U02-FORM-001;NOE-P29-KO-U02-FORM-002;NOE-P29-KO-U02-PARA-001;NOE-P29-KO-U02-PROOF-001,NOE-P29-KO-U02-SEC-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-FORM-001,closed_prose_unit,NOE-P29-KO-U02-THM-001,1,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,3,3,,,29,BDF0BB00C3E4DB53697BF1C5517E89228278AA3B3925F4AB73A1EB9D46A64EBD,ko/Noether_Paper29_Korean_U02_v001.tex,14,14,,,29,00C685EB77193685C74965FC57083BB945F92A943586D5116EF824531DE67682,,NOE-P29-KO-U02-THM-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-FORM-002,closed_prose_unit,NOE-P29-KO-U02-THM-001,2,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,5,5,,,29,E7FBE21FAF8A4646B7F1FE3D7A46522E2232892812678FE640CA2A938A7A619A,ko/Noether_Paper29_Korean_U02_v001.tex,16,16,,,29,C04DD9D22634C2277DBB9F54C1C8CA3E9A1837DFA5614EAA6E155568313C9F1A,NOE-P29-KO-U02-NOTE-001,NOE-P29-KO-U02-FORM-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-NOTE-001,note,NOE-P29-KO-U02-FORM-002,1,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,5,5,223,573,29,6EA99351F0DA6A207E9D461538E30859412935FF6457F27F44D948961DCE8C22,ko/Noether_Paper29_Korean_U02_v001.tex,16,16,194,380,29,7F1172E32D2AC568C16C1B731DA82C04C8FF0369C67079A3DC43056F1931C4C0,,NOE-P29-KO-U02-FORM-002,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-PARA-001,paragraph,NOE-P29-KO-U02-THM-001,3,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,7,7,,,30,150D145DD72306A7B1653E480965BCE132026DEB9254E564AED131E04F8F3AC0,ko/Noether_Paper29_Korean_U02_v001.tex,18,18,,,30,9F3F196386D8C5F100EAA4031F2FE0017826FDA13EBD6DB775EE623EB21B6EA3,,NOE-P29-KO-U02-FORM-001;NOE-P29-KO-U02-FORM-002,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-PROOF-001,proof,NOE-P29-KO-U02-THM-001,4,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,9,13,,,30-31,D618BD9D473CD44E116AEDA56612696AC972F16347911622A3FBF34C8B87D843,ko/Noether_Paper29_Korean_U02_v001.tex,20,38,,,30-31,AE93596A64D49EABFF68D5CC85707DEF4767719DA09FCE91A90181C4A8D79233,NOE-P29-KO-U02-STEP-001;NOE-P29-KO-U02-STEP-002;NOE-P29-KO-U02-STEP-003,NOE-P29-KO-U02-PARA-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-STEP-001,proof_step,NOE-P29-KO-U02-PROOF-001,1,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,9,9,,,30,06AC103A66A936DC3A5274773AD481FC9C835BABB3E1F5935389ED3EECA8EAC0,ko/Noether_Paper29_Korean_U02_v001.tex,20,20,,,30,C5A04F695D2BF8F824EF99F4B68F6FDB3B2C0230093DF1CDEB3AD98D66DF4DF5,,NOE-P29-KO-U02-PROOF-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
NOE-P29-KO-U02-STEP-002,proof_step,NOE-P29-KO-U02-PROOF-001,2,source/Noether_Paper29_German_P31_U02_Rationalbasis_exact_lf.tex,11,11,,,30,70D48D8DD1E758FF42963C5D554332EA83361E2DC61CE1FAC69062812BEFFEE4,ko/Noether_Paper29_Korean_U02_v001.tex,22,28,,,30,E03E7283FF9EF98E2112E8999CD05548C10812BB116155AE29AB04EF4B8ABABA,NOE-P29-KO-U02-DSP-001,NOE-P29-KO-U02-STEP-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U03; continue at exact full-P29 source line 41, 2. \srcspaced{Beweis des Endlichkeitskriteriums.}; line 40 is a blank separator."
