"thread_id","lane","visible_status","wake_action","reason","artifact_required","label"
"019f2b1b-b71d-7a13-8daa-f60f930faf65","R9 Africa/Horn/West","active","not duplicate-woken","current B952 owner packet exists and thread active","continue R9 source-return/OCR/Unicode source-use/gap rows","dedup"
"019f2b1b-09a8-7861-aa25-c87b6d5adf16","CJK native/source","systemError","sent","systemError with CJK native boundary still incomplete","CJK source-use/codepoint/gap/Fable/adverse rows","wake"
"019f2b3c-ba4c-7a20-adf3-b273a8b12f4c","CJK draft","systemError","sent","systemError with Japanese/Simplified Chinese draft/source gate incomplete","draft/non-canonical source-gated rows and blockers","wake"
"019f2b3c-6c21-7013-9928-855d3ec34bd4","Romance French/Spanish","systemError","sent","systemError with Romance source-gate incomplete","French/Spanish source-use/gap or draft rows","wake"
"019f2b3d-0b6a-79f3-8cf4-4ab1d84ffc0d","Arabic RTL","systemError","sent","systemError after C430 Arabic wake","Arabic source-use/gap/Fable/adverse rows and exact blockers","wake"
"019f2b3d-6628-7243-ba7a-429e022f974b","Persianate/Tajik","systemError","sent","systemError with fa_IR/prs_AF/tg_Cyrl_TJ boundaries incomplete","Persian/Dari source-use/gap rows; Tajik source-discovery blockers","wake"
"019f2b1a-e5f6-7603-95c8-138242581298","Interlanguage/Fable authority","systemError","sent","systemError after B952 authority packet","branch-weight/source-use/adverse/do-not-use/normalization/gap rows","wake"
"019f2b1c-6412-7630-a8d7-11bd75a54bb9","OLP relation/function support","systemError","sent","systemError after B952 OLP packet","OLP source-use/gap/Fable/adverse and zero-claim rows","wake"
"019f2b1c-9b41-71b3-8924-5d774941fb10","Slavic baseline watcher","systemError","sent","systemError while baseline watcher incomplete","source-baseline watcher rows or blockers","wake"
"019f2b1a-9ff1-7530-b677-82bd81bd2c83","legacy PR branch steward","notLoaded","sent","notLoaded legacy package steward; B3 replacement active","supersession/blocker artifact only; do not duplicate B3","wake"
"019f3329-ad9c-78a2-8255-5c23752caf73","B3 package steward","active","handoff pending after packet build","B3 packages coordinator outputs","package only B3-safe artifacts","b3"
