"blocker_id","status","evidence","next_recovery","label"
"B952-SYS-BLOCK-0001","open","same-frontier, no new branch delta","append only if child/B3 facts or branch advance appear","frontier-watch"
"B952-SYS-BLOCK-0002","open","CJK native and CJK draft systemError","wakes sent; await source-use/codepoint/draft packet returns","draft/non-canonical/source-use/gap"
"B952-SYS-BLOCK-0003","open","Romance systemError","wake sent; await French/Spanish source-use/gap rows","source-use/gap"
"B952-SYS-BLOCK-0004","open","Arabic RTL systemError","wake sent; await Arabic source-use/gap/Fable/adverse rows","source-use/gap/blocker"
"B952-SYS-BLOCK-0005","open","Persianate/Tajik systemError","wake sent; await fa_IR/prs_AF rows and Tajik source-discovery blockers","draft/non-canonical/source-use/gap"
"B952-SYS-BLOCK-0006","open","Interlanguage/Fable and OLP systemError","wakes sent; await authority/zero-claim/adverse ledgers","source-use/Fable/adverse/gap"
"B952-SYS-BLOCK-0007","open","Slavic baseline watcher systemError","wake sent; await baseline watcher rows","source-baseline/gap"
"B952-SYS-BLOCK-0008","open","Legacy PR steward notLoaded while B3 replacement active","wake sent for supersession/blocker artifact only","package/supersession"
"B952-SYS-BLOCK-0009","open","Tajik has no independent promotion evidence","keep source-discovery-only until source evidence promotes","source-discovery/gap"
"B952-SYS-BLOCK-0010","open","No coordinator/language push allowed","B3 handles packageable artifacts only","governance/package"
