"key","value"
"parent_frontier","04a2af16d14e53c5398b6884719a36405a8ef180"
"packaged_route_frontier","99be7f683c27ab351a568ca46220d6f344f0962e"
"prior_frontier","2c2df6b09c48aa13b0341219929ae89ff3d5fe33"
"observed_superseding_head","04a2af16d14e53c5398b6884719a36405a8ef180"
"b3_prior_packet","B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707"
"b3_prior_package_roots","3"
"b3_prior_package_files","48"
"b3_prior_manifest_bad","0"
"b3_prior_sha_bad","0"
"non_slavic_2c2_r7_packet_status","OK=11/NONOK=0"
"non_slavic_2c2_wake_packet_status","OK=9/NONOK=0"
"held_olp_99be_roots","3 roots plus 3 transfer notes held for owner README/note placeholder repair"
"handling","B3-safe import of clean Non-Slavic 99BE route visibility packet; held OLP 99BE owner roots are not imported; source-use/provenance/gap only"
