pdf_page_1based,printed_page,role
11,1,continuous_scan_pp001_303
12,2,continuous_scan_pp001_303
13,3,continuous_scan_pp001_303
14,4,continuous_scan_pp001_303
15,5,continuous_scan_pp001_303
16,6,continuous_scan_pp001_303
17,7,continuous_scan_pp001_303
18,8,continuous_scan_pp001_303
19,9,continuous_scan_pp001_303
20,10,continuous_scan_pp001_303
21,11,continuous_scan_pp001_303
22,12,continuous_scan_pp001_303
23,13,continuous_scan_pp001_303
24,14,continuous_scan_pp001_303
25,15,continuous_scan_pp001_303
26,16,continuous_scan_pp001_303
27,17,continuous_scan_pp001_303
28,18,continuous_scan_pp001_303
29,19,continuous_scan_pp001_303
30,20,continuous_scan_pp001_303
31,21,continuous_scan_pp001_303
32,22,continuous_scan_pp001_303
33,23,continuous_scan_pp001_303
34,24,continuous_scan_pp001_303
35,25,continuous_scan_pp001_303
36,26,continuous_scan_pp001_303
37,27,continuous_scan_pp001_303
38,28,continuous_scan_pp001_303
39,29,continuous_scan_pp001_303
40,30,continuous_scan_pp001_303
41,31,continuous_scan_pp001_303
42,32,continuous_scan_pp001_303
43,33,continuous_scan_pp001_303
44,34,continuous_scan_pp001_303
45,35,continuous_scan_pp001_303
46,36,continuous_scan_pp001_303
47,37,continuous_scan_pp001_303
48,38,continuous_scan_pp001_303
49,39,continuous_scan_pp001_303
50,40,continuous_scan_pp001_303
51,41,continuous_scan_pp001_303
52,42,continuous_scan_pp001_303
53,43,continuous_scan_pp001_303
54,44,continuous_scan_pp001_303
55,45,continuous_scan_pp001_303
56,46,continuous_scan_pp001_303
57,47,continuous_scan_pp001_303
58,48,continuous_scan_pp001_303
59,49,continuous_scan_pp001_303
60,50,continuous_scan_pp001_303
61,51,continuous_scan_pp001_303
62,52,continuous_scan_pp001_303
63,53,continuous_scan_pp001_303
64,54,continuous_scan_pp001_303
65,55,continuous_scan_pp001_303
66,56,continuous_scan_pp001_303
67,57,continuous_scan_pp001_303
68,58,continuous_scan_pp001_303
69,59,continuous_scan_pp001_303
70,60,continuous_scan_pp001_303
71,61,continuous_scan_pp001_303
72,62,continuous_scan_pp001_303
73,63,continuous_scan_pp001_303
74,64,continuous_scan_pp001_303
75,65,continuous_scan_pp001_303
