structural_id,work_id,unit_id,kind,title,authority_pointer_id,authority_sha256,paper_interval_sha256,source_local_start,source_local_end,source_whole_start,source_whole_end,source_unit_sha256,source_slice_sha256,target_language,target_path,target_sha256,target_line_start,target_line_end,target_slice_sha256,parent_id,order,cross_references,completion_state,review_state,publication_state,continuation_cursor
NOE-P07-KO-STR-001,NOETH-P07,U01,section,Paper 7 main section,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,1,1,5842,5842,E0A011C29D5634C9ED07D99E0027F3E01513A4DDB58924119BC729D40AAA3705,DBCA46C4C9507CC8132731AA4E7E05290FEB1C7B63B30C336CC9E509F236A4ED,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U01_UNCHECKED.tex,96327E3C4C558450D56D62F2433EACFD8CD4ACFBBB8F648506BE939B01105507,11,11,D4FC378A5FD0699B522FB7A24BB643D2B08C266C0B1444A3F63C888101988965,,1,,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-002,NOETH-P07,U01,publication_metadata,Math. Ann. publication line,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,3,3,5844,5844,E0A011C29D5634C9ED07D99E0027F3E01513A4DDB58924119BC729D40AAA3705,BF007EC85D4DCF25225E9F89E06E024E49879BFD1EB1642C31952DE252028F8D,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U01_UNCHECKED.tex,96327E3C4C558450D56D62F2433EACFD8CD4ACFBBB8F648506BE939B01105507,13,13,BF007EC85D4DCF25225E9F89E06E024E49879BFD1EB1642C31952DE252028F8D,NOE-P07-KO-STR-001,2,,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-003,NOETH-P07,U01,title,Displayed article title,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,7,7,5848,5848,E0A011C29D5634C9ED07D99E0027F3E01513A4DDB58924119BC729D40AAA3705,5E29EED9B9EC4473F663EADF12BB1F32939C5B54BB5EFCD86B6AA7E9F21F6AC2,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U01_UNCHECKED.tex,96327E3C4C558450D56D62F2433EACFD8CD4ACFBBB8F648506BE939B01105507,17,17,9F1D8B24AD907B8CFB88AA2919E35156D6C7A1D7C3B2F4CF3BFB4B03F2D6F32D,NOE-P07-KO-STR-001,3,,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-004,NOETH-P07,U01,byline,Author and Erlangen affiliation,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,9,11,5850,5852,E0A011C29D5634C9ED07D99E0027F3E01513A4DDB58924119BC729D40AAA3705,3A389E100CB2E5F76C753C94F90319390394F2E65353019506804D5F9650BD53,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U01_UNCHECKED.tex,96327E3C4C558450D56D62F2433EACFD8CD4ACFBBB8F648506BE939B01105507,19,21,EE949162DC9A80054AE7DA3E828923771B6FBE3DBBF84DB80DF2E2E9A248E76E,NOE-P07-KO-STR-001,4,,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-005,NOETH-P07,U01,prose,Purpose and contrast with Hilbert proof,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,14,14,5855,5855,E0A011C29D5634C9ED07D99E0027F3E01513A4DDB58924119BC729D40AAA3705,B1750E1183C95A103CBC099C94580AEA762A1B561B8CC91A647E1812B05310C9,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U01_UNCHECKED.tex,96327E3C4C558450D56D62F2433EACFD8CD4ACFBBB8F648506BE939B01105507,24,24,7C894A103578AD80BD9795C32BB7320F529115D676AED07A10A9FD5EF27324F5,NOE-P07-KO-STR-001,5,,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-006,NOETH-P07,U01,note,Weber reference note,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,14,14,5855,5855,E0A011C29D5634C9ED07D99E0027F3E01513A4DDB58924119BC729D40AAA3705,B1750E1183C95A103CBC099C94580AEA762A1B561B8CC91A647E1812B05310C9,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U01_UNCHECKED.tex,96327E3C4C558450D56D62F2433EACFD8CD4ACFBBB8F648506BE939B01105507,24,24,7C894A103578AD80BD9795C32BB7320F529115D676AED07A10A9FD5EF27324F5,NOE-P07-KO-STR-005,6,,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-007,NOETH-P07,U01,bibliography_item,Weber Lehrbuch der Algebra citation,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,14,14,5855,5855,E0A011C29D5634C9ED07D99E0027F3E01513A4DDB58924119BC729D40AAA3705,B1750E1183C95A103CBC099C94580AEA762A1B561B8CC91A647E1812B05310C9,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U01_UNCHECKED.tex,96327E3C4C558450D56D62F2433EACFD8CD4ACFBBB8F648506BE939B01105507,24,24,7C894A103578AD80BD9795C32BB7320F529115D676AED07A10A9FD5EF27324F5,NOE-P07-KO-STR-006,7,,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-008,NOETH-P07,U02,prose,Finite group action and invariant definition setup,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,16,21,5857,5862,046B6E95E7DA1493157055ED0848F4FC0639DD2DE2CF7FFCD43784B8A7251114,06F50D5339B63CF94D39BC067D7F19AF824C97C99B882983EF6C203ED449B915,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U02_UNCHECKED.tex,813E2586E4FE975C51E21C74F8399CEEEA60139A9FDD833FF2C44888A6649177,11,16,517FF90ED84F7E2096EE21FB3332A3C89D866A0800B367977B248617E0E7A213,NOE-P07-KO-STR-001,8,NOE-P07-KO-STR-009|NOE-P07-KO-STR-010|NOE-P07-KO-STR-011,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-009,NOETH-P07,U02,display,Linear transformation display,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,17,20,5858,5861,046B6E95E7DA1493157055ED0848F4FC0639DD2DE2CF7FFCD43784B8A7251114,6DDF2AED00E65A852C33FD8E0C6F9B0A9CDABB147CF689493EA0403632B1EB5A,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U02_UNCHECKED.tex,813E2586E4FE975C51E21C74F8399CEEEA60139A9FDD833FF2C44888A6649177,12,15,6DDF2AED00E65A852C33FD8E0C6F9B0A9CDABB147CF689493EA0403632B1EB5A,NOE-P07-KO-STR-008,9,,draft_text_complete,unchecked,not_ready,independent_korean_checker
NOE-P07-KO-STR-010,NOETH-P07,U02,definition,Polynomial absolute invariant definition,NOETH-DE-AUTH-v003-20260804,D1F06B311F6CBD991DD247D745DD9A72DDE326A20396DF43CFE0C8EDB1593CDB,8C5D6E8DDF24B33C5AF719F59C4CEFA0B9CEABB61960E2AC30F888CB1206AFBC,21,21,5862,5862,046B6E95E7DA1493157055ED0848F4FC0639DD2DE2CF7FFCD43784B8A7251114,84E846A5CBA9C3F05F84B358BD1ABD0CD2D52C3B3F0A394B7FCDCEEF7E62D2C9,ko,${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper07_ko_translation_001_20260804\targets\Noether_P07_Korean_U02_UNCHECKED.tex,813E2586E4FE975C51E21C74F8399CEEEA60139A9FDD833FF2C44888A6649177,16,16,C447A16EAB477B7F4DB323174E0C447AD046EFB3D58607349A7D53896AEDB689,NOE-P07-KO-STR-008,10,,draft_text_complete,unchecked,not_ready,independent_korean_checker
