source_id,pdf_page,printed_or_numbered_page,evidence_class,observed_scope,qa_disposition
choriev_olimov_2017_course_manual,1,1,title_page,"Tajik course-methodology complex for Algebra and Number Theory by Choriev and Olimov",PASS_DIRECT_RENDER_REVIEW
choriev_olimov_2017_course_manual,4,4,contents,"Course plan; lecture notes; practical work; exercises; tests; bibliography",PASS_DIRECT_RENDER_REVIEW
choriev_olimov_2017_course_manual,6,6,curriculum_scope,"Sets and logic; relations; complex numbers; vectors; matrices and determinants; linear systems; polynomials; number theory",PASS_TEXT_AND_RENDER_REVIEW
choriev_olimov_2017_course_manual,21,21,lecture_body,"Set theory definitions and operations in Tajik mathematical prose",PASS_DIRECT_RENDER_REVIEW
choriev_olimov_2017_course_manual,83,83,lecture_body,"Cartesian products; binary relations; formulas; geometric relation example; mapping terminology",PASS_DIRECT_RENDER_REVIEW
choriev_olimov_2017_course_manual,164,164,bibliography,"Algebra, linear algebra, and number-theory bibliography",PASS_DIRECT_RENDER_REVIEW
davlatov_choriev_1976_part1,1,cover,title_page,"Algebra and Number Theory, Part 1; Davlatov and Choriev",PASS_DIRECT_RENDER_REVIEW
davlatov_choriev_1976_part1,6,6,mathematical_body,"Complex-number system, algebraic and geometric forms",PASS_DIRECT_RENDER_REVIEW
davlatov_choriev_1976_part1,41,35,abstract_algebra_body,"Definition and axioms of a group; identity and inverse elements",PASS_DIRECT_RENDER_REVIEW
davlatov_choriev_1976_part1,80,76,contents,"Complex numbers; sets and binary relations; algebraic structures; groups; rings; fields; isomorphisms; Gaussian elimination",PASS_DIRECT_RENDER_REVIEW
