"row_id","lexeme_id","field","text","codepoints","has_arabic","has_latin","has_tex_or_math","has_arabic_presentation_forms","has_bidi_controls","extraction_risk","source_use_label","witness_category","non_claim_boundary"
"ar-lex-algebra:source_form","ar-lex-algebra","source_form","الجبر","U+0627 U+0644 U+062C U+0628 U+0631","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-algebra:normalized_form","ar-lex-algebra","normalized_form","الجبر","U+0627 U+0644 U+062C U+0628 U+0631","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-algebra:formula_neighboring_note","ar-lex-algebra","formula_neighboring_note","Use الجبر for discipline; جبر for object. Examples: جبر \(A\); \(A\)-جبر. Needs RTL TeX/PDF QA.","U+0055 U+0073 U+0065 U+0020 U+0627 U+0644 U+062C U+0628 U+0631 U+0020 U+0066 U+006F U+0072 U+0020 U+0064 U+0069 U+0073 U+0063 U+0069 U+0070 U+006C U+0069 U+006E U+0065 U+003B U+0020 U+062C U+0628 U+0631 U+0020 U+0066 U+006F U+0072 U+0020 U+006F U+0062 U+006A U+0065 U+0063 U+0074 U+002E U+0020 U+0045 U+0078 U+0061 U+006D U+0070 U+006C U+0065 U+0073 U+003A U+0020 U+062C U+0628 U+0631 U+0020 U+005C U+0028 U+0041 U+005C U+0029 U+003B U+0020 U+005C U+0028 U+0041 U+005C U+0029 U+002D U+062C U+0628 U+0631 U+002E U+0020 U+004E U+0065 U+0065 U+0064 U+0073 U+0020 U+0052 U+0054 U+004C U+0020 U+0054 U+0065 U+0058 U+002F U+0050 U+0044 U+0046 U+0020 U+0051 U+0041 U+002E","True","True","True","False","False","rtl-ltr-formula-boundary-risk","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-algebra:source_form","ar-lex-algebra","source_form","جبور","U+062C U+0628 U+0648 U+0631","True","False","False","False","False","low","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-algebra:normalized_form","ar-lex-algebra","normalized_form","جبور","U+062C U+0628 U+0648 U+0631","True","False","False","False","False","low","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-algebra:formula_neighboring_note","ar-lex-algebra","formula_neighboring_note","Plural for Algebren flagged for reviewer/native mathematical register review.","U+0050 U+006C U+0075 U+0072 U+0061 U+006C U+0020 U+0066 U+006F U+0072 U+0020 U+0041 U+006C U+0067 U+0065 U+0062 U+0072 U+0065 U+006E U+0020 U+0066 U+006C U+0061 U+0067 U+0067 U+0065 U+0064 U+0020 U+0066 U+006F U+0072 U+0020 U+0072 U+0065 U+0076 U+0069 U+0065 U+0077 U+0065 U+0072 U+002F U+006E U+0061 U+0074 U+0069 U+0076 U+0065 U+0020 U+006D U+0061 U+0074 U+0068 U+0065 U+006D U+0061 U+0074 U+0069 U+0063 U+0061 U+006C U+0020 U+0072 U+0065 U+0067 U+0069 U+0073 U+0074 U+0065 U+0072 U+0020 U+0072 U+0065 U+0076 U+0069 U+0065 U+0077 U+002E","False","True","False","False","False","low","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-field:source_form","ar-lex-field","source_form","حقل","U+062D U+0642 U+0644","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-field:normalized_form","ar-lex-field","normalized_form","حقل","U+062D U+0642 U+0644","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-field:formula_neighboring_note","ar-lex-field","formula_neighboring_note","Examples: \(\Omega\) حقل عددي; حقل \(K\); حقل الدوال في \(n\) من المتغيرات. Keep math separated and inspect bidi order.","U+0045 U+0078 U+0061 U+006D U+0070 U+006C U+0065 U+0073 U+003A U+0020 U+005C U+0028 U+005C U+004F U+006D U+0065 U+0067 U+0061 U+005C U+0029 U+0020 U+062D U+0642 U+0644 U+0020 U+0639 U+062F U+062F U+064A U+003B U+0020 U+062D U+0642 U+0644 U+0020 U+005C U+0028 U+004B U+005C U+0029 U+003B U+0020 U+062D U+0642 U+0644 U+0020 U+0627 U+0644 U+062F U+0648 U+0627 U+0644 U+0020 U+0641 U+064A U+0020 U+005C U+0028 U+006E U+005C U+0029 U+0020 U+0645 U+0646 U+0020 U+0627 U+0644 U+0645 U+062A U+063A U+064A U+0631 U+0627 U+062A U+002E U+0020 U+004B U+0065 U+0065 U+0070 U+0020 U+006D U+0061 U+0074 U+0068 U+0020 U+0073 U+0065 U+0070 U+0061 U+0072 U+0061 U+0074 U+0065 U+0064 U+0020 U+0061 U+006E U+0064 U+0020 U+0069 U+006E U+0073 U+0070 U+0065 U+0063 U+0074 U+0020 U+0062 U+0069 U+0064 U+0069 U+0020 U+006F U+0072 U+0064 U+0065 U+0072 U+002E","True","True","True","False","False","rtl-ltr-formula-boundary-risk","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-field:source_form","ar-lex-field","source_form","مجال","U+0645 U+062C U+0627 U+0644","True","False","False","False","False","low","generated-draft","adverse-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-field:normalized_form","ar-lex-field","normalized_form","مجال","U+0645 U+062C U+0627 U+0644","True","False","False","False","False","low","generated-draft","adverse-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-field:formula_neighboring_note","ar-lex-field","formula_neighboring_note","Not preferred for algebraic field in this lane; do not silently substitute for حقل.","U+004E U+006F U+0074 U+0020 U+0070 U+0072 U+0065 U+0066 U+0065 U+0072 U+0072 U+0065 U+0064 U+0020 U+0066 U+006F U+0072 U+0020 U+0061 U+006C U+0067 U+0065 U+0062 U+0072 U+0061 U+0069 U+0063 U+0020 U+0066 U+0069 U+0065 U+006C U+0064 U+0020 U+0069 U+006E U+0020 U+0074 U+0068 U+0069 U+0073 U+0020 U+006C U+0061 U+006E U+0065 U+003B U+0020 U+0064 U+006F U+0020 U+006E U+006F U+0074 U+0020 U+0073 U+0069 U+006C U+0065 U+006E U+0074 U+006C U+0079 U+0020 U+0073 U+0075 U+0062 U+0073 U+0074 U+0069 U+0074 U+0075 U+0074 U+0065 U+0020 U+0066 U+006F U+0072 U+0020 U+062D U+0642 U+0644 U+002E","True","True","False","False","False","rtl-ltr-formula-boundary-risk","generated-draft","adverse-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-ring:source_form","ar-lex-ring","source_form","حلقة","U+062D U+0644 U+0642 U+0629","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-ring:normalized_form","ar-lex-ring","normalized_form","حلقة","U+062D U+0644 U+0642 U+0629","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
