"lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","local_path","license_or_access_signal","sha256_or_other_hash","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","gap_or_blocker_note","non_claim_boundary","source_row_id","source_detail_table"
"R6 Indigenous/Creole/Sign Access","Jamaican Creole / Jamaican Patois","Jamaica Early Childhood Curriculum Guide 4-5","Jamaica education/source route","Jamaican Creole / Jamaican Patois; creole/contact; official curriculum guide mentioning Jamaican patois/creole and mathematics concepts; source-canon","T2 local PDF capture; source-authority/reuse review still required","application/pdf","https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_early_childhood_curriculum_guide_4_5.pdf","license/reuse pending; source-owner/reviewer return required","649c98526f7979c8ae017730bb522365eea135e44da8af98d8e2999709650bdc","Jamaican Creole / Jamaican Patois","partial_context_or_route_not_exact_math_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-CR-P2-015","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Jamaican Creole / Jamaican Patois","Jamaica current STEM project stakeholder plan","Jamaica education/source route","Jamaican Creole / Jamaican Patois; creole/contact; current official STEM/curriculum project context; not Patois witness; source-canon","T2 local PDF capture; source-authority/reuse review still required","application/pdf","https://moey.gov.jm/wp-content/uploads/2025/06/SEP-Jamaica-Education-Project-P178595-16-JUN-2025.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_education_project_sep_2025.pdf","license/reuse pending; source-owner/reviewer return required","2ec4e8c0e9fa78a62c01a5e76431941a3fe752346f1595dc26c354bd0f813e22","Jamaican Creole / Jamaican Patois","partial_context_or_route_not_exact_math_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-CR-P2-016","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Kreyol / Haitian Creole","MIT-Ayiti Matematik subject index","MIT-Ayiti source route","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","T2 exact capture; T3 candidate classroom/source route; T4/T5 missing","HTML local capture","https://mit-ayiti.net/matye/matematik/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_index.html","license/reuse pending; link-only until source-owner or reviewer return","b32e6dbb79d9eb78e49af78478b0704971d0b09eeadf7904c4c30fdb0206f4a2","Kreyol / Haitian Creole","yes_source_or_access_route_not_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; HTML witness only | no excerpt, copied prose, term promotion, translation, surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-KR-SAR-001","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Kreyol / Haitian Creole","MIT-Ayiti math teaching article","MIT-Ayiti source route","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","T2 exact capture; T3 candidate local classroom/source route; T4/T5 missing","HTML local capture","https://mit-ayiti.net/anseyman-matematik/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_anseyman_matematik.html","license/reuse pending; link-only until source-owner or reviewer return","e60423506a27529b140f43bbaf327630dfc12daf2985ee53f8c26a2aeda85d27","Kreyol / Haitian Creole","yes_source_or_access_route_not_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; HTML witness only | no copied prose, excerpt, term promotion, translation, surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-KR-SAR-002","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Kreyol / Haitian Creole","Tiraj san remiz avek lod","MIT-Ayiti source route","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","T2 exact capture; T3 candidate domain/classroom source; T4/T5 missing","HTML local capture","https://mit-ayiti.net/resous/tiraj-san-remiz-avek-lod/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_tiraj_san_remiz_avek_lod.html","license/reuse pending; link-only until source-owner or reviewer return","05e2428742f1b70189e69b15cfa48f7d553a42656dc589cbce571e57bb446a21","Kreyol / Haitian Creole","yes_source_or_access_route_not_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; HTML witness only | no copied media/prose, excerpt, term promotion, translation, surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-KR-SAR-003","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Kreyol / Haitian Creole","CAPTEH - Matematik k ap bouyi sou 3 woch dife","MIT-Ayiti source route","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","T2 exact capture; T3 candidate early-numeracy classroom source; T4/T5 missing","HTML local capture","https://mit-ayiti.net/resous/matematik-k-ap-bouyi-sou-3-woch-dife/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_k_ap_bouyi_sou_3_woch_dife.html","license/reuse pending; link-only until source-owner or reviewer return","34e8592f68d669158040dc025ba7e85c4af969cdb32b082db6ec36e8ce48785d","Kreyol / Haitian Creole","yes_source_or_access_route_not_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; HTML witness only | no copied download/prose, excerpt, term promotion, translation, surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-KR-SAR-004","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Mauritian/Seychellois/Indian Ocean Creoles","Mauritius MIE curriculum page","Mauritius Institute of Education source route","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum locator with Kreol Morisien/Kreol Rodrige resource pointers; source-canon","T2 local HTML capture; source-authority/reuse review still required","text/html","https://mie.ac.mu/curriculum.html","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum.html","license/reuse pending; source-owner/reviewer return required","6bf4f367f90237bd4b767dcfcd893b1f23ccbbed88cc75ab1633870f9b90376a","Mauritian/Seychellois/Indian Ocean Creoles","partial_context_or_route_not_exact_math_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-CR-P2-010","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Mauritian/Seychellois/Indian Ocean Creoles","MIE curriculum books page","Mauritius Institute of Education source route","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum/textbook locator with Kreol resources and practice papers; source-canon","T2 local HTML capture; source-authority/reuse review still required","text/html; charset=UTF-8","https://web.mie.ac.mu/curriculum_books/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum_books.html","license/reuse pending; source-owner/reviewer return required","ef972eaf0ea191e456da7d6598ff7306b6fc8b494e7cb6784c08ec7e1440199b","Mauritian/Seychellois/Indian Ocean Creoles","partial_context_or_route_not_exact_math_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-CR-P2-011","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Mauritian/Seychellois/Indian Ocean Creoles","MIE FPLNS implementation guidelines","Mauritius Institute of Education source route","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; Mauritius implementation guideline with Kreol Morisien/numeracy context; source-canon","T2 local PDF capture; source-authority/reuse review still required","application/pdf","https://web.mie.ac.mu/wp-content/uploads/2025/01/Implementation-guidelines_abridged.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_fplns_implementation_guidelines_abridged.pdf","license/reuse pending; source-owner/reviewer return required","7aabdbceec529a90f1268c78e9c89215353ee93b04492e80de8189eac917e270","Mauritian/Seychellois/Indian Ocean Creoles","partial_context_or_route_not_exact_math_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-CR-P2-012","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
"R6 Indigenous/Creole/Sign Access","Nigerian Pidgin","NERDC primary 4-6 mathematics curriculum","Nigerian education comparator route","Nigerian Pidgin; creole/contact; official Nigerian mathematics comparator only; English, not Nigerian Pidgin; source-canon","T2 local PDF capture; source-authority/reuse review still required","application/pdf","https://nerdc.gov.ng/content_manager/primary/pri4-6_maths.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\nigeria_nerdc_pri4_6_maths.pdf","license/reuse pending; source-owner/reviewer return required","91fe69d3fed70762f334d3a5e850a062fbe542c16547c44b6f38da0de3683454","Nigerian Pidgin","partial_context_or_route_not_exact_math_authority","no","yes_non_tex_fallback_or_route","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","source-canon/provenance support only; no translation, term/sign approval, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push","R6-CR-P2-018","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv"
