"field","value","label"
"packet","R3_9D7DB086_CURRENT_HEAD_FOLLOWUP_20260706","b3-uploader-ready"
"local_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_9D7DB086_CURRENT_HEAD_FOLLOWUP_20260706\R3_9D7DB086_CURRENT_HEAD_FOLLOWUP_20260706T090130Z","local-output-path"
"prior_frontier","8be81510d284b9804706e426a312f1649f39d080","branch-comparison"
"current_head","9d7db086f00e8cce0aceeefa9d80acba9fd1af50","branch-comparison"
"observed_remote_head","9d7db086f00e8cce0aceeefa9d80acba9fd1af50","branch-observation"
"delta_rows","58","branch-delta-provenance"
"relevant_delta_rows","58","branch-delta-provenance"
"r3_authority_effect","9D7DB086 makes prior R3 1A1110EB and 8BE81510 packets branch-visible and adds adjacent R6/B3 carry-forward material; no new Arabic/Persianate bridge, review, license, gate, or completion authority is inferred.","authority-boundary"
"b3_target_path","interlanguage-sidecar/rtl-persianate-arabic-9d7db086-current-head-followup-20260706/","suggested-upload-target"
"next_actions","B3 may package this packet; R3 continues source-body recovery and source-gated draft/pretranslation only where independent Arabic/Persianate/adjacent gates are present.","next-recovery-action"
