qa_id,artifact,source_or_output_page,scope,inspection_resolution,status,notes
P04-S06-QA-001,german cumulative,output p56,compound Schlussausdruecke,300 dpi,passed,compound word visibly joins and line fits
P04-S07-QA-001,german cumulative,output p58,early rho <= n endpoint,300 dpi,passed,equality stroke visible in prose setup
P04-S07-QA-002,german cumulative,output p59,four dotted complementary symbols,300 dpi,passed,dots visible on q and all three p occurrences
P04-S07-QA-003,german cumulative,output p60,formula 54 rho <= n negative control,300 dpi,passed,later already-correct endpoint retained
P04-S07-QA-IS-001,interslavic Section 7,output p1,early rho <= n endpoint,300 dpi,passed,equality stroke visible
P04-S07-QA-IS-002,interslavic Section 7,output p2,four dotted complementary symbols,300 dpi,passed,dots visible in formula display and prose
P04-S07-QA-ISC-001,interslavic-cyrillic Section 7,output p1,early rho <= n endpoint,300 dpi,passed,equality stroke visible
P04-S07-QA-ISC-002,interslavic-cyrillic Section 7,output p2,four dotted complementary symbols,300 dpi,passed,dots visible in formula display and prose
P04-S07-QA-RU-001,russian Section 7,output p1,early rho <= n endpoint,300 dpi,passed,equality stroke visible
P04-S07-QA-RU-002,russian Section 7,output p2,four dotted complementary symbols,300 dpi,passed,dots visible in formula display and prose
P04-S07-QA-UK-001,ukrainian Section 7,output p1,early rho <= n endpoint,300 dpi,passed,equality stroke visible
P04-S07-QA-UK-002,ukrainian Section 7,output p2,four dotted complementary symbols,300 dpi,passed,dots visible in formula display and prose
