disposition_id,language,section,source_defect_ids,body_action,current_lines,postrepair_sha256,build_pages,rendered_locus_pages,status
SLISV-P04-S06-DISP-IS-001,interslavic,6,N04-S06-SRCDEF-001,no_body_change,,0938003A743B6DBAE4BF1E7F9B329D0E90668EA13FA88C8D43A45463B0888644,3,,sense already correct; rebuilt twice
SLISV-P04-S06-DISP-ISC-001,interslavic-cyrillic,6,N04-S06-SRCDEF-001,no_body_change,,30E4C7F065D77173073279385F04B093F99669A4705393CF431EDF6EF5B86828,3,,sense already correct; rebuilt twice
SLISV-P04-S06-DISP-RU-001,russian,6,N04-S06-SRCDEF-001,no_body_change,,4BCD007C28226970CE627897581284610490B7157AEA7F8097DCAEEF953A3B04,3,,sense already correct; rebuilt twice
SLISV-P04-S06-DISP-UK-001,ukrainian,6,N04-S06-SRCDEF-001,no_body_change,,2F078E404989AD8B714A42FAC03DA0C7F0D762F1EE1500D3C36E5875E0C69032,3,,sense already correct; rebuilt twice
SLISV-P04-S07-DISP-IS-001,interslavic,7,N04-S07-SRCDEF-005,body_repair,29,EEB1D081C8AFBFC8B08C5D91B32D1AFDB1D197E84CB0F42F538343D0308239FB,4,1,confirmed repaired and visually checked
SLISV-P04-S07-DISP-IS-002,interslavic,7,N04-S07-SRCDEF-001;N04-S07-SRCDEF-002;N04-S07-SRCDEF-003;N04-S07-SRCDEF-004,body_repair,105;109;111,EEB1D081C8AFBFC8B08C5D91B32D1AFDB1D197E84CB0F42F538343D0308239FB,4,2,confirmed repaired and visually checked
SLISV-P04-S07-DISP-ISC-001,interslavic-cyrillic,7,N04-S07-SRCDEF-005,body_repair,29,992D0FD6AE7ADF0571F928892D068B50A083A487E04BA5424F74E585DCB2AD79,4,1,confirmed repaired and visually checked
SLISV-P04-S07-DISP-ISC-002,interslavic-cyrillic,7,N04-S07-SRCDEF-001;N04-S07-SRCDEF-002;N04-S07-SRCDEF-003;N04-S07-SRCDEF-004,body_repair,105;109;111,992D0FD6AE7ADF0571F928892D068B50A083A487E04BA5424F74E585DCB2AD79,4,2,confirmed repaired and visually checked
SLISV-P04-S07-DISP-RU-001,russian,7,N04-S07-SRCDEF-005,body_repair,29,8B2B7E08B97625D4A6647DF51DFEAC597B058B752EC4D1E135C506567223FC1C,4,1,confirmed repaired and visually checked
SLISV-P04-S07-DISP-RU-002,russian,7,N04-S07-SRCDEF-001;N04-S07-SRCDEF-002;N04-S07-SRCDEF-003;N04-S07-SRCDEF-004,body_repair,105;109;111,8B2B7E08B97625D4A6647DF51DFEAC597B058B752EC4D1E135C506567223FC1C,4,2,confirmed repaired and visually checked
SLISV-P04-S07-DISP-UK-001,ukrainian,7,N04-S07-SRCDEF-005,body_repair,29,AC0B680254702FFF3F967118482843BB0EC8EB26F35D06773503EC8D9F436FC0,4,1,confirmed repaired and visually checked
SLISV-P04-S07-DISP-UK-002,ukrainian,7,N04-S07-SRCDEF-001;N04-S07-SRCDEF-002;N04-S07-SRCDEF-003;N04-S07-SRCDEF-004,body_repair,105;109;111,AC0B680254702FFF3F967118482843BB0EC8EB26F35D06773503EC8D9F436FC0,4,2,confirmed repaired and visually checked
