feature,decision,alternatives_considered,supporting_rationale,adverse_evidence,status
section_scope,retain both representationes irreducibile and de sistems commutativ in the section heading,shorten to representationes; modernize systems to algebras,the source fixes both irreducibility and commutativity while preserving historical System terminology,modernization can silently strengthen the algebraic category,test_only
field_hypothesis,render Omega as a corp de extension algebraicamente claudite of P,call Omega only commutative; reuse the earlier extension-ring condition,section 6 explicitly replaces the broader section 5 Omega hypothesis with an algebraically closed extension field,field and extension-ring wording are easy to conflate across adjacent sections,test_only
two_direction_reduction,mark the forward construction from Z to Z_Omega and the converse containment as distinct directions,collapse both to an assertion that the representation sets are identical,the source supplies a reason for each direction before allowing the reduced question,an equality claim would exceed the compact historical argument,test_only
basis_sufficiency_literalism,retain the compact clause about basis elements already contained in P without inventing a primitive element,resolve the historical wording into a modern primitive-element theorem,the source itself states only sufficiency for constructing the whole representation,the Chapter II introduction mentions generating systems and can invite an unsupported modernization,test_only
regular_representation_definition,keep the source's own definition that Z_Omega itself is used as representation module,use regular to mean nonsingular; omit the defining apposition,the apposition fixes the representation-theoretic sense locally,regular has ordinary and matrix senses that are adverse here,test_only
radical_scope,use radical C and do not add Jacobson or nilradical,choose a modern subtype from context,the printed source names only das Radikal von Z_Omega,the likely historical interpretation does not authorize a silent subtype label,test_only
reducibility_chain,preserve the inference fully reducible therefore direct sum of finite-degree fields then algebraic closure therefore Omega-isomorphic summands,compress directly to a product of copies of Omega,the source displays each logical stage and its reason,compression would conceal both finite degree and the algebraic-closure premise,test_only
identity_sense,render Einheit as elemento identitate and bind it to T60-S1,render as unitate meaning arbitrary invertible element,the e_nu are components of the multiplicative identity in the displayed decomposition,T60-S4 is an adverse competing sense and must not be inherited,test_only
class_count_scope,preserve exactly t distinct irreducible representation classes all of degree one and t at most n,report t representations without classes; omit the upper bound,the source distinguishes classes then proves each class has one representation,the later singleton result must not be back-projected into the theorem statement,test_only
singleton_conjugation,preserve the degree-one commutative-field hypothesis and literal pi inverse alpha pi equals alpha,describe every representation class in every field as a singleton,the scalar conjugation argument is scoped to degree one in a commutative field,removing either hypothesis creates a false general claim,test_only
homomorphism_codomain,preserve exactly t distinct homomorphic maps from Z_Omega onto subrings of Omega,upgrade maps to isomorphisms or automorphisms; make the codomain all of Omega,section 6 concludes only homomorphisms with subring images,section 7 later strengthens the restriction to Z and must remain separate,test_only
anti_dominance_surface,use invariant le articles and invariant iste without plural istes plus mixed Romance morphology including cata; per consequente; perque; claudite; summa; corp; subanellos,normalize the prose to standard Spanish or standard French; restore the rejected Italian-pivot dunque or Latin nam; introduce a number-inflected demonstrative,the lane objective requires an actual controlled Romance candidate and function carriers now require living support in at least two branches while le remains an explicit held risk,number inflection in istes would contradict the reusable controlled-language contract; invariant le and held ubi retain known cohort risk pending evidence,test_only
zero_human_boundary,state zero human observations and no native pilot or marginal-intelligibility result,omit the boundary because source and build checks pass,the v10 access ledger contains no human observations and no form promotions,machine source fidelity cannot certify reader access,test_only
