path,role,language,status
ar/Noether_Paper06_Opening_ar_v001.tex,translated TeX,ar,working translation
fa_IR/Noether_Paper06_Opening_fa_IR_v001.tex,translated TeX,fa_IR,working translation
output/pdf/Noether_Paper06_Opening_ar_v001.pdf,compiled PDF,ar,build and render pass
output/pdf/Noether_Paper06_Opening_fa_IR_v001.pdf,compiled PDF,fa_IR,build and render pass
output/pdf/Noether_Paper06_Opening_ar_v001.log,compile log,ar,clean final pass
output/pdf/Noether_Paper06_Opening_fa_IR_v001.log,compile log,fa_IR,clean final pass
SOURCE_USE.md,source provenance,multilingual,current
TERMINOLOGY.md,terminology decisions,multilingual,current
decisions/DECISION_FIELD_AR.json,schema-validated term decision,ar,candidate
decisions/DECISION_FIELD_FA_IR.json,schema-validated term decision,fa_IR,candidate
BIDI_INVARIANTS.md,script and direction QA,multilingual,pass
RENDER_CHECK.md,visual QA,multilingual,pass
BUILD_RESULTS.csv,build results,multilingual,pass
SHA256SUMS.txt,package hashes,multilingual,current
SESSION_LOG.md,production log,multilingual,current
STATUS.md,continuation cursor,multilingual,current
