candidate_id,decision,reason,target_id,target_kind,scope,expose_number,section_context,visible_locator,visible_tex,component_relpath,upstream_line,rescribe_idx,printed_page,source_pdf_page,authority_layer,upstream_component_sha256,source_span_sha256,document_order
target-candidate-00001,excluded,reader_editorial_status_label,,bold,front,,front,,Editorial status (22 July 2026).,SGA6_English_Complete_Layered_Terminal_SourceBacked_20260722.tex,100,,,,reader_scaffold,C8C015D13BEB9B0372BB441ABFE2C2D2EF038ED2BD2884B8C83E1F10334556C9,F3E28E298D2296CEBD09CB1218B70E6D2664D6AF6C8B5ECC62A4020EA092C780,1
target-candidate-00002,accepted,structural_heading,sga6.front.preface,section,front,,preface,preface,Preface,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,14,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,11A78298D22E1817CFF8C555B56FDC2A9E06258DDDC5357F6D3201F80D177B2E,2
target-candidate-00003,accepted,structural_heading,sga6.front.introduction,section,front,,introduction,introduction,Introduction,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,21,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,41B3D2026BE3307FA1403CC854BCF4286F972E2F4E5AB25365D69425CC96C327,3
target-candidate-00004,accepted,structural_heading,sga6.front.table-of-contents,section,front,,table-of-contents,table-of-contents,Table of contents,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,36,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,3C3FBAEDE961CA86ABC0936C8D972982E77C0CCF79B4898EC552FD82689F84F9,4
target-candidate-00005,accepted,structural_heading,sga6.e00.expose,section,e00,0,expose,0,Exposé 0,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,60,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,1D90F5F22D5E64621400A0040C5B5ECA83BFD0459353F5E7E0018AAA0CB321A1,5
target-candidate-00006,accepted,structural_heading,sga6.e00.sec.1,subsection,e00,0,1,1,1. Reminder on the Riemann--Roch formula,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,68,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,123A983E2D6E9FEDF08F18CE8F6199BB5AE6BC60383DE16F55EA4C20EB826280,6
target-candidate-00007,accepted,explicit_equation_tag,sga6.e00.eq.1-1,equation,e00,0,1,1.1,1.1,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,74,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,E83A775558823E74B7207C33891DFB2AF607D54C5A97293CF36783774DE22D66,7
target-candidate-00008,accepted,explicit_equation_tag,sga6.e00.eq.1-2,equation,e00,0,1,1.2,1.2,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,86,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,96F423803D11FA9FC2851C552F4916D622D863A1BFBACFE7FEE7CD3CC28700F6,8
target-candidate-00009,accepted,explicit_equation_tag,sga6.e00.eq.1-3,equation,e00,0,1,1.3,1.3,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,90,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,3A6EA84518A65311F989E9D76CE7BF2EB09E3D7AA4D11F03B7A8EE1D78A0E7EC,9
target-candidate-00010,accepted,structural_heading,sga6.e00.sec.2,subsection,e00,0,2,2,2. Removing the base field,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,109,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,9ECD14ABD3F962198F0DDA6F0E6C73E87A82AD73EED9EF638FC9A7A2A14A6653,10
target-candidate-00011,accepted,structural_heading,sga6.e00.sec.2.1,subsubsection,e00,0,2.1,2.1,2.1,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,125,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,19C01D29B6B075A6688905CF94D938F07AC4B81123C994F1D108B3427D532E11,11
target-candidate-00012,accepted,explicit_equation_tag,sga6.e00.eq.2-1,equation,e00,0,2.1,2.1,2.1,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,131,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,DA101FAF433B5164E5D97C772302010689F9031B4D92B17786B28F8FC1684ECB,12
target-candidate-00013,accepted,structural_heading,sga6.e00.sec.2.2,subsubsection,e00,0,2.2,2.2,2.2,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,136,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,90DAD06BD2DA5B04F010DA59FBB72D2A9524A593DC1B5A193606CF2438526CFF,13
target-candidate-00014,accepted,structural_heading,sga6.e00.sec.2.3,subsubsection,e00,0,2.3,2.3,2.3,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,147,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,93FC765238102A79E457414EF6D335065719A373FAAE46050E68E966388279A6,14
target-candidate-00015,accepted,explicit_equation_tag,sga6.e00.eq.2-3,equation,e00,0,2.3,2.3,2.3,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,149,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,35F38F070344A93661568D5ACC11D5267AFD4E48C4AD568416546FF016075BDF,15
target-candidate-00016,accepted,explicit_equation_tag,sga6.e00.eq.2-4,equation,e00,0,2.3,2.4,2.4,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,157,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,522941855EBA50F6DD0B2D8AFDDFC68FA9EFCB0708D6779A83A0D38BFD26EFCA,16
target-candidate-00017,accepted,structural_heading,sga6.e00.sec.2.4,subsubsection,e00,0,2.4,2.4,2.4,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,162,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,13A7E6CE95A67D2B4CCD0755D01BAE55978C576DAFA379225A843C9E22EC56B6,17
target-candidate-00018,accepted,explicit_equation_tag,sga6.e00.eq.2-5,equation,e00,0,2.4,2.5,2.5,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,168,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,DE81A97B55BFA6B7FF10C1BE1F3FC47B0583D5C1874C8EFBE44E93F0B6994C54,18
target-candidate-00019,accepted,structural_heading,sga6.e00.sec.3,subsection,e00,0,3,3,3. The case of general schemes,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,175,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,0DF40DF2545FE6C7C47E2F6DC9AD8991646AF98BF01154F20BD05EC30F3E3DA5,19
target-candidate-00020,accepted,structural_heading,sga6.e00.sec.3.1,subsubsection,e00,0,3.1,3.1,3.1,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,178,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,E8E9B61780D78E458A607CCA2365E3685CDC18DE26FD1D774AD2325E216DA31A,20
target-candidate-00021,accepted,explicit_equation_tag,sga6.e00.eq.3-1,equation,e00,0,3.1,3.1,3.1,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,184,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,1B808DD7D6E2F882B73FB8ECF8BCE43FFFD6212398DFA235DB2BD09A4FAF6F94,21
target-candidate-00022,accepted,structural_heading,sga6.e00.sec.3.2,subsubsection,e00,0,3.2,3.2,3.2,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,221,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,6E5D9FD6180FBC96CD1A1E81668DD19DC7841344CDBB50E5B61A4A543BDBFB98,22
target-candidate-00023,accepted,explicit_equation_tag,sga6.e00.eq.3-4,equation,e00,0,3.2,3.4,3.4,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,235,,,,inherited_partially_source_synchronized,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,4C3E9670325B954F64432C92CADEC76615E16F664D378DE75C46961ED746D697,23
