"pdf_page","before_sha256","after_sha256","disposition"
"11","89977C4017E55F12C8D98ECE27C3A81237DBA3FD2BEE821861299A82D0B018BE","89977C4017E55F12C8D98ECE27C3A81237DBA3FD2BEE821861299A82D0B018BE","pixel_identical_same_renderer"
"12","98E62D7EFC8CD2A952434385C218CFE0E68DC9049BCA937A1BB18F822E51C8C4","98E62D7EFC8CD2A952434385C218CFE0E68DC9049BCA937A1BB18F822E51C8C4","pixel_identical_same_renderer"
"13","64EDCF6170022809D503F9F01381A4F91CC532E7217DBCE455961341C3FA9D62","4176BEF351BAB7C6EB16BE137CB9F577207F62D4C30C5D94BFD60CAF900B9FAA","pixel_changed_same_renderer_visually_reopened"
"14","33F8C7E43B02EFFB947D38BC72381918CF2D837F875278482BE6AF47A9D4D681","409A3A1093510E24E3EC734B3E95CE49AC5F01B0F892789C8E18E904AFDE16E6","pixel_changed_same_renderer_visually_reopened"
"15","609A6A6BBDDF597336403C1F9E4431A63DF5A4D4E3716390AC40CAB4487630D3","73111AC7F9C7D94B61E6555E7A1609D2D28D49E497EA6AD02DB9B5CD8595C70F","pixel_changed_same_renderer_visually_reopened"
"16","B6F41B4E1709AB4A97F2525685040F0CAC2633E485272A621493C9EBF5768F09","2E95242C0817BF7EB83346054B1BBC2E9A995D982E5BC7AF1226D9DEDC8C19A8","pixel_changed_same_renderer_visually_reopened"
"17","C079C8CEA5F332017251AE8DA93CA31B83859F5090C4C10678E712A95A9C4E4C","0D722FE588BB18B20D5764A651F5D100F2231F5AEE5A6EAFA40FDE241170E0B3","pixel_changed_same_renderer_visually_reopened"
"18","5B884C5984725C33868E1F12255F350CCB5CF4B3A8ED818C06215C6FEE6E79C9","5B884C5984725C33868E1F12255F350CCB5CF4B3A8ED818C06215C6FEE6E79C9","pixel_identical_same_renderer"
"19","1124CD2B8DADA45115D17784333745EBF92F3EA0DB4FCAE694E1A2BB4EA56B7E","1124CD2B8DADA45115D17784333745EBF92F3EA0DB4FCAE694E1A2BB4EA56B7E","pixel_identical_same_renderer"
"20","4DBC1966D3EE0D5B8A7A0BCF74D952D3C86EC305B418E84AF8EB4F5CCA5B0539","4DBC1966D3EE0D5B8A7A0BCF74D952D3C86EC305B418E84AF8EB4F5CCA5B0539","pixel_identical_same_renderer"
"21","F4605ECACC2E2E3B9E83BB0E4A5EABA1AB2929BE183114688040373E7044026D","F4605ECACC2E2E3B9E83BB0E4A5EABA1AB2929BE183114688040373E7044026D","pixel_identical_same_renderer"
"22","9B3F52BF8C92DA06050CADF39EC84C046C29453A38428154323101DA64B10033","9B3F52BF8C92DA06050CADF39EC84C046C29453A38428154323101DA64B10033","pixel_identical_same_renderer"
