"slice_page","source_pdf_page","printed_page","role"
"1","5","27","closed_boundary_control"
"2","6","28","closed_predecessor_current_head"
"3","7","29","closed_predecessor_current_head"
"4","8","30","closed_predecessor_current_head"
"5","9","31","closed_predecessor_current_head"
"6","10","32","closed_predecessor_current_head"
"7","11","33","closed_predecessor_current_head"
"8","12","34","closed_predecessor_current_head"
"9","13","35","closed_in_this_checkpoint"
"10","14","36","closed_in_this_checkpoint"
"11","15","37","closed_in_this_checkpoint"
"12","16","38","closed_in_this_checkpoint"
"13","17","39","closed_in_this_checkpoint"
"14","18","40","closed_in_this_checkpoint"
"15","19","41","closed_in_this_checkpoint"
"16","20","42","open_next_lane"
"17","21","43","open_next_lane"
"18","22","44","open_next_lane"
"19","23","45","open_next_lane"
"20","24","46","open_next_lane"
"21","25","47","open_next_lane"
"22","26","48","open_next_lane"
"23","27","49","open_next_lane"
"24","28","50","open_next_lane"
"25","29","51","open_next_lane"
"26","30","52","open_next_lane"
"27","31","53","open_next_lane"
"28","32","54","open_next_lane"
"29","33","55","open_next_lane"
"30","34","56","open_next_lane"
"31","35","57","open_next_lane"
"32","36","58","closed_boundary_control"
